@c 0.50565192467
@x1 -8.18564606537
@x0 0.000389799426419
@z 0.0956948656428
@t0 58446.1829604
time band flux fluxerr zp zpsys
58442.1829604 smg 5551.94663237 888.90004135 28.4968534445 ab
58446.1829604 smg 3665.50892987 1745.52130827 27.3244406654 ab
58451.1829604 smg 765.130415964 81.0299296726 26.3908631932 ab
58456.1829604 smg 1496.64088403 161.760742134 28.1059054943 ab
58460.1829604 smg -3631.16825078 3434.76137424 25.9655527134 ab
58465.1829604 smg -1700.72811993 968.949626754 27.2133797882 ab
58470.1829604 smg -39.479351142 113.709757868 26.5442201191 ab
58474.1829604 smg -2722.40419015 2797.16302665 27.0880933605 ab
58478.1829604 smg -126.441210302 137.564708918 27.4817258554 ab
58482.1829604 smg 2257.06090942 1362.50651646 26.1669088786 ab
58486.1829604 smg 92.2746481608 393.029269448 26.9486798544 ab
58491.1829604 smg -643.978615545 1131.14966352 26.8775845308 ab
58496.1829604 smg 201.065867701 190.176075652 27.0802272915 ab
58501.1829604 smg 115.078495322 497.657987935 26.5425821843 ab
58442.1830993 smr 618.876853081 886.321647238 24.6504102625 ab
58446.1830993 smr 2693.47445006 1745.0314485 25.2578657412 ab
58451.1830993 smr 708.113143332 81.2955290073 25.6892669483 ab
58456.1830993 smr 276.674222191 158.520225406 25.3912531389 ab
58460.1830993 smr 997.707357362 3434.78133183 24.9741473263 ab
58465.1830993 smr -186.741658454 968.916940099 24.9493355378 ab
58470.1830993 smr 225.018644273 113.729216926 25.3147448103 ab
58474.1830993 smr -3487.24133183 2797.13436493 25.014485424 ab
58478.1830993 smr 11.5305008229 136.919747302 24.8917892025 ab
58482.1830993 smr -1350.78684985 1362.53151982 25.5336037381 ab
58486.1830993 smr -43.8310296559 393.058456215 25.0204322739 ab
58491.1830993 smr -2124.95085398 1131.153473 25.0413270601 ab
58496.1830993 smr 117.91928214 190.182612321 25.5184504192 ab
58501.1830993 smr -305.424307858 497.657987935 24.8863488844 ab
58442.1832382 smi 1663.95063891 886.882016994 25.8967699323 ab
58446.1832382 smi 5756.20534015 1746.6113945 27.5907719495 ab
58451.1832382 smi 2004.14607289 88.6052722933 26.661210995 ab
58456.1832382 smi 1037.1427416 160.741244805 26.6637946863 ab
58460.1832382 smi 1820.32184068 3435.13982275 27.5207165723 ab
58465.1832382 smi 3126.22245829 970.364145141 27.3274714091 ab
58470.1832382 smi 1035.53526681 118.028017814 26.2271205217 ab
58474.1832382 smi -413.712749419 2797.26494135 26.4649101443 ab
58478.1832382 smi 167.523155653 136.948045811 25.8762747331 ab
58482.1832382 smi -1925.34093743 1362.57401173 26.7001290538 ab
58486.1832382 smi -377.193298892 393.249147636 26.3824770862 ab
58491.1832382 smi 2295.09225861 1131.21395765 27.2014876265 ab
58496.1832382 smi -80.9433256652 190.214592866 26.0755121457 ab
58501.1832382 smi -794.334905781 497.657987935 26.077752488 ab
