@c -0.25116255292
@x1 1.32994615362
@x0 0.00244642229689
@z 0.0397544738405
@t0 58521.7552208
time band flux fluxerr zp zpsys
58512.7552208 smg 2165.01501443 1570.89864493 26.5276638625 ab
58516.7552208 smg 4430.19519472 147.032276219 26.2808394438 ab
58520.7552208 smg 11758.9084552 1652.35581373 27.2221499145 ab
58524.7552208 smg 7366.00025478 4861.77743316 27.123728175 ab
58528.7552208 smg 2257.89125187 267.156546126 25.6103305321 ab
58532.7552208 smg 5864.84564892 2461.95876058 26.370850816 ab
58537.7552208 smg 3443.35877068 1025.90089052 26.4432926996 ab
58542.7552208 smg 4070.17281919 3910.1005397 27.300737125 ab
58512.7553597 smr -1811.46828459 1569.91970576 25.1892522504 ab
58516.7553597 smr 1146.03115404 136.718503486 25.4554980165 ab
58520.7553597 smr 2431.04793899 1649.36633138 25.169773347 ab
58524.7553597 smr -812.082057971 4860.96508576 25.5912885542 ab
58528.7553597 smr 1216.02603997 265.53401023 25.3237250929 ab
58532.7553597 smr 78.9055220891 2461.44937989 25.2411934488 ab
58537.7553597 smr 907.007959296 1025.07787452 25.4557655499 ab
58542.7553597 smr 805.684989293 3909.66736622 25.033617342 ab
58512.7554986 smi 1466.75179483 1570.40278907 26.7896637128 ab
58516.7554986 smi 7186.20887472 156.727230149 27.8235466464 ab
58520.7554986 smi 6194.43160144 1650.35998203 27.3600450576 ab
58524.7554986 smi -2334.40361643 4860.92659854 26.1743991723 ab
58528.7554986 smi 573.620024566 264.659757098 25.6682431123 ab
58532.7554986 smi 8841.35222651 2461.56190359 26.6551283497 ab
58537.7554986 smi 4771.57311494 1025.87607076 27.5097984111 ab
58542.7554986 smi 634.093506047 3909.70018471 26.2403159053 ab
