@c -0.293271540565
@x1 0.159790429062
@x0 0.000503784651249
@z 0.0848211258989
@t0 58642.5473965
time band flux fluxerr zp zpsys
58627.5473965 smg 1245.17165394 944.383652735 27.0556452774 ab
58629.5473965 smg -3335.82699501 4046.34599237 28.1871166399 ab
58630.5473965 smg 586.477673682 777.010882031 27.0690485434 ab
58632.5473965 smg 1822.12567415 930.244711888 26.9686261975 ab
58633.5473965 smg -690.466201048 2353.95117827 26.3275329242 ab
58634.5473965 smg -10.9734637799 879.040926247 26.7960354282 ab
58635.5473965 smg 646.4995791 1841.13000146 27.363054126 ab
58636.5473965 smg 1654.73577965 346.719030326 26.9982553741 ab
58638.5473965 smg 622.539355386 875.159780529 26.7310248436 ab
58639.5473965 smg 2467.36192556 996.362056599 27.8078805233 ab
58641.5473965 smg 5760.83941144 1648.04454628 28.1578479079 ab
58643.5473965 smg 316.782160603 3706.46559967 26.226211054 ab
58645.5473965 smg -449.981445224 1092.23570758 25.4113825185 ab
58646.5473965 smg 3132.58493008 1776.68050711 26.3249433626 ab
58648.5473965 smg 6778.63298753 2300.29326199 27.2543104102 ab
58650.5473965 smg 1152.64862395 6355.67106317 27.1512558179 ab
58652.5473965 smg 3340.38376292 1746.11906298 27.8322170113 ab
58627.5475353 smr 684.156010537 944.251506059 25.318868111 ab
58629.5475353 smr -3788.56486046 4046.15104402 25.222502732 ab
58630.5475353 smr 581.620811019 776.592416012 25.2880061518 ab
58632.5475353 smr 336.901613149 929.784586893 25.2874944648 ab
58633.5475353 smr -821.528591317 2353.85175177 25.3872719953 ab
58634.5475353 smr 294.58528896 878.555754105 25.7655329831 ab
58635.5475353 smr 4368.37781359 1840.56676289 24.2775489928 ab
58636.5475353 smr 325.767082476 344.805602101 25.7550154771 ab
58638.5475353 smr -79.0624675879 874.454513918 25.1661720678 ab
58639.5475353 smr 496.648528854 994.439269494 25.2282814008 ab
58641.5475353 smr -4054.10131372 1646.3627559 25.2544920404 ab
58643.5475353 smr 1058.30880412 3706.37016712 25.1677691801 ab
58645.5475353 smr 1965.03681946 1092.2410621 25.7608108368 ab
58646.5475353 smr 538.937335767 1776.48003097 25.2006569167 ab
58648.5475353 smr 1449.04653976 2299.88770747 25.1449364212 ab
58650.5475353 smr -3749.43937205 6355.55356368 25.156955288 ab
58652.5475353 smr 2890.46935672 1745.43291218 25.9741214864 ab
58627.5476742 smi 204.170732839 944.261631088 26.0725603361 ab
58629.5476742 smi -2640.54465961 4046.14700213 24.8699077746 ab
58630.5476742 smi 464.930876556 776.677660051 26.4892248091 ab
58632.5476742 smi 1388.47076601 929.748902722 24.9100430732 ab
58633.5476742 smi -933.412151598 2353.96867051 27.2280293478 ab
58634.5476742 smi -1140.30827481 878.704191453 26.8070713943 ab
58635.5476742 smi -2297.01260927 1840.70864721 26.8107631013 ab
58636.5476742 smi 554.356612385 345.559409145 27.148995953 ab
58638.5476742 smi 1555.58870875 874.833150445 27.1281738855 ab
58639.5476742 smi -482.150275877 994.801617062 27.2262390205 ab
58641.5476742 smi 1071.97083445 1646.5698407 27.2156181162 ab
58643.5476742 smi -425.67244411 3706.40293512 26.5354631805 ab
58645.5476742 smi -891.118323141 1092.19096907 26.1278461125 ab
58646.5476742 smi -1056.44623092 1776.55537563 26.6330603485 ab
58648.5476742 smi -829.166018837 2299.96418102 26.8088974866 ab
58650.5476742 smi 7685.16687579 6355.60459686 27.3511542425 ab
58652.5476742 smi 1072.36940285 1745.82009979 28.2855769753 ab
