@c -0.198095685583
@x1 -1.62819504989
@x0 0.00225829570909
@z 0.0413298036686
@t0 58548.3761625
time band flux fluxerr zp zpsys
58540.3761625 smg 2592.44896779 1803.07615899 26.7120946107 ab
58542.3761625 smg 6543.50487643 612.321985065 27.0363557438 ab
58543.3761625 smg 6892.7664017 1041.59482019 27.1267354947 ab
58545.3761625 smg 5462.43357915 2083.28564766 25.9641505649 ab
58547.3761625 smg 5354.65059917 2079.61053016 26.9984027746 ab
58549.3761625 smg 9572.74081238 626.023489627 27.0811705757 ab
58551.3761625 smg 22933.2565168 503.165545613 28.1908436722 ab
58553.3761625 smg 10637.7681172 647.033039346 27.4357658097 ab
58555.3761625 smg 1758.57524976 1855.50704215 26.408031644 ab
58557.3761625 smg 3668.42150074 1874.09269438 26.741827712 ab
58558.3761625 smg 11477.8061999 783.266041523 27.7642755856 ab
58560.3761625 smg 8626.2470481 582.922535072 27.6643614112 ab
58561.3761625 smg 3837.75936617 567.975570053 26.9605507486 ab
58563.3761625 smg 3568.12737511 1211.20981755 26.0714645752 ab
58565.3761625 smg 3256.73582888 3413.46805498 25.8614440588 ab
58566.3761625 smg 2033.75859883 89.1027232704 26.8950381724 ab
58540.3763014 smr 919.566909971 1802.30170381 25.0398512795 ab
58542.3763014 smr -455.434106203 607.701265314 24.8175396306 ab
58543.3763014 smr -1065.21466191 1038.18197585 24.4542957144 ab
58545.3763014 smr 2002.77823213 2082.74743459 24.7934936361 ab
58547.3763014 smr 354.358173017 2078.01448636 25.5865018451 ab
58549.3763014 smr 2273.20728618 620.130900897 25.5039675785 ab
58551.3763014 smr 1607.71122049 479.954190648 24.7651689273 ab
58553.3763014 smr 733.487826014 639.570775937 25.1651768558 ab
58555.3763014 smr 4551.84607995 1854.71213487 24.7921924944 ab
58557.3763014 smr -679.627938964 1873.19513944 25.1847694647 ab
58558.3763014 smr 1443.89809446 777.63872485 25.6017570969 ab
58560.3763014 smr 97.6045347018 576.930569588 25.0687512759 ab
58561.3763014 smr 1009.52892329 565.412320689 25.1911962679 ab
58563.3763014 smr -89.9899869972 1210.8523548 24.7248758531 ab
58565.3763014 smr 3257.47666509 3413.38716541 24.4428375897 ab
58566.3763014 smr 515.923542816 80.0608351815 24.98314223 ab
58540.3764403 smi 570.837653905 1802.473273 26.1409515085 ab
58542.3764403 smi 2719.79348806 608.723155591 26.3576156219 ab
58543.3764403 smi 3466.08199504 1039.75384487 27.0448958835 ab
58545.3764403 smi 2155.00418538 2082.85187551 25.7668728238 ab
58547.3764403 smi 6595.26154889 2078.74973588 27.2586521926 ab
58549.3764403 smi 3622.20585584 621.525303093 26.9038663411 ab
58551.3764403 smi 2631.66368544 481.299908375 26.449437813 ab
58553.3764403 smi 3650.97519832 640.333637273 26.5258098199 ab
58555.3764403 smi 2579.20200303 1855.28892705 27.0068180686 ab
58557.3764403 smi 4383.99307634 1873.41611716 26.660688857 ab
58558.3764403 smi 2832.34363794 778.754465804 27.3414462675 ab
58560.3764403 smi 622.540824517 577.215529714 26.2604876431 ab
58561.3764403 smi 2469.46183192 566.471821319 26.9820549882 ab
58563.3764403 smi -46.7105542327 1210.86023242 25.3992872288 ab
58565.3764403 smi 1368.99848824 3413.47034142 26.0815909544 ab
58566.3764403 smi 1294.44449888 84.046463912 26.3575960808 ab
