@c 0.321637518165
@x1 -1.73346907373
@x0 0.000496924779985
@z 0.085371452931
@t0 58316.2971493
time band flux fluxerr zp zpsys
58307.2971493 smg 495.198422207 117.285984753 26.1322678714 ab
58308.2971493 smg 1630.31177118 2218.58142509 26.4840756702 ab
58310.2971493 smg 258.349974076 1964.34557283 25.947421807 ab
58312.2971493 smg 2921.81147646 140.879150726 27.4615066992 ab
58313.2971493 smg 5582.41200706 2217.61215057 27.1139055289 ab
58315.2971493 smg 1842.40571769 1394.77063155 25.3359683079 ab
58317.2971493 smg 3019.45685837 2019.58785225 25.959609072 ab
58319.2971493 smg 2596.20761993 982.726197837 26.9698820035 ab
58320.2971493 smg 1196.75913541 1639.04749227 27.0320022803 ab
58322.2971493 smg -773.961630287 1373.15059245 26.8430555703 ab
58324.2971493 smg 7967.60850857 4352.92070964 26.8980315778 ab
58326.2971493 smg -4771.00488536 2704.32505011 27.2556707651 ab
58328.2971493 smg 2383.0629376 843.77889282 28.3808871071 ab
58330.2971493 smg 1652.71002088 664.040984569 27.3357527738 ab
58332.2971493 smg 2892.79575314 1095.06023313 28.5269553767 ab
58333.2971493 smg 664.267007085 2095.03690908 27.667819598 ab
58307.2972882 smr 190.988528267 116.290040081 24.9468298875 ab
58308.2972882 smr -1555.03818274 2218.49415528 25.3571418959 ab
58310.2972882 smr 2047.01629151 1964.30033875 25.280682795 ab
58312.2972882 smr 65.5652524115 131.4719111 24.8017013564 ab
58313.2972882 smr -731.603328911 2217.23422041 25.3094920598 ab
58315.2972882 smr 2211.10235349 1394.8904257 25.6440858805 ab
58317.2972882 smr 939.151192741 2019.55198069 25.4156772159 ab
58319.2972882 smr 1469.09170446 981.9466209 24.8917680987 ab
58320.2972882 smr -985.898643618 1638.63027578 25.3298467093 ab
58322.2972882 smr 2458.264312 1372.75929573 24.9723558289 ab
58324.2972882 smr 5019.98835713 4352.83034571 25.4534537999 ab
58326.2972882 smr 248.990348981 2704.09602142 25.0631174378 ab
58328.2972882 smr -139.778407297 841.898557782 25.6974404535 ab
58330.2972882 smr -686.658739359 663.416634927 25.2594444971 ab
58332.2972882 smr 365.701071429 1093.92283153 25.3331488796 ab
58333.2972882 smr 569.330935489 2094.84272988 25.3751968571 ab
58307.2974271 smi 879.695384383 119.048177554 26.3985837561 ab
58308.2974271 smi 130.612523969 2219.23398664 27.7989307196 ab
58310.2974271 smi 4247.83660221 1964.36134573 25.7156878016 ab
58312.2974271 smi 2252.4078279 138.814606459 26.9699887835 ab
58313.2974271 smi 3047.83638901 2217.53149054 26.7181278298 ab
58315.2974271 smi 1402.66182344 1395.54640977 27.0915175222 ab
58317.2974271 smi 3994.38148038 2020.18654141 27.3597934196 ab
58319.2974271 smi -144.053644248 982.642515125 26.7569529143 ab
58320.2974271 smi 2093.66336706 1639.15761583 27.0735707412 ab
58322.2974271 smi 918.766181358 1372.81430127 25.595908172 ab
58324.2974271 smi 2982.46697529 4353.44623683 28.3327046135 ab
58326.2974271 smi 4296.9180035 2704.23536819 26.7094701977 ab
58328.2974271 smi 1700.07021656 842.131289001 26.6650891726 ab
58330.2974271 smi 2501.17769624 664.517030118 27.370659289 ab
58332.2974271 smi 393.166983127 1094.23089012 26.7057492923 ab
58333.2974271 smi 5667.91917305 2095.11326684 27.097360076 ab
