@c -0.131508777958
@x1 6.25660047902
@x0 0.00529944929491
@z 0.0272587984159
@t0 58636.1792618
time band flux fluxerr zp zpsys
58630.1792618 smg 31024.2897552 179.877218966 27.3684168799 ab
58635.1792618 smg 47313.0341118 2048.0707882 27.9082647225 ab
58639.1792618 smg 19169.1150403 2761.52360223 27.2068525284 ab
58643.1792618 smg 29579.8825048 1777.69262976 27.5628911255 ab
58647.1792618 smg 39212.4236659 3866.76974216 27.8875448325 ab
58651.1792618 smg 6128.37883891 1095.7941819 26.0579568781 ab
58656.1792618 smg 34889.3744025 1513.94808282 28.212404618 ab
58661.1792618 smg 3777.78260728 433.42449258 26.0745174246 ab
58666.1792618 smg 2835.26430389 5871.84910937 25.9776215444 ab
58671.1792618 smg 2813.1226413 486.531774226 26.3981701472 ab
58675.1792618 smg 3235.88817244 1484.36544425 27.3737670718 ab
58630.1794007 smr 2026.11976517 57.803307833 24.8882216915 ab
58635.1794007 smr 6214.82774622 2037.6008574 25.3424680032 ab
58639.1794007 smr 3443.34119751 2757.78716506 25.2155476773 ab
58643.1794007 smr 2636.54897901 1769.56235168 25.4338911844 ab
58647.1794007 smr 4681.39259777 3861.77164696 25.1525466411 ab
58651.1794007 smr 2255.08280316 1093.49730835 24.771888807 ab
58656.1794007 smr 494.108034196 1502.51171063 24.7839571052 ab
58661.1794007 smr 1571.03737054 430.671695729 24.6930303965 ab
58666.1794007 smr 3233.96346888 5871.8581068 25.4394736409 ab
58671.1794007 smr 2262.48625567 486.899418779 25.7154603401 ab
58675.1794007 smr 3405.21785129 1483.14029549 25.1714309933 ab
58630.1795396 smi 11026.8475441 110.846722424 27.2831354424 ab
58635.1795396 smi 2818.74438792 2037.89865585 26.5322220513 ab
58639.1795396 smi 4252.86510023 2758.84573096 27.5311080345 ab
58643.1795396 smi -321.043245099 1769.03329835 25.6304798548 ab
58647.1795396 smi -2239.18973688 3861.69192992 25.912243126 ab
58651.1795396 smi 2003.34513305 1093.94717092 26.8484447774 ab
58656.1795396 smi 2818.409231 1502.83923433 27.3169785237 ab
58661.1795396 smi 4382.28523073 434.965458478 27.5196232571 ab
58666.1795396 smi 9002.66432935 5872.55604277 27.5019361791 ab
58671.1795396 smi 13157.1185645 496.965169244 27.598752206 ab
58675.1795396 smi 8867.39975651 1485.39741096 27.3042542238 ab
58620.1792618 kst 845.00282313 30.3834120957 25.47 ab
58620.4292618 kst 1004.93970372 32.0692709847 25.47 ab
58620.6792618 kst 1182.71172981 33.7277057291 25.47 ab
58620.9292618 kst 1330.30041188 35.3529387007 25.47 ab
58621.1792618 kst 1407.40142575 36.9635502061 25.47 ab
58621.4292618 kst 1429.68871447 38.5541580936 25.47 ab
58621.6792618 kst 1635.05431787 40.118009357 25.47 ab
58621.9292618 kst 1701.13591484 41.6578789408 25.47 ab
58622.1792618 kst 1851.14623172 43.2006615242 25.47 ab
58622.4292618 kst 2009.96828504 44.7160495014 25.47 ab
58622.6792618 kst 2109.8949509 46.1703740952 25.47 ab
58622.9292618 kst 2329.52910922 47.5427476537 25.47 ab
58623.1792618 kst 2413.03044328 48.8777905436 25.47 ab
58623.4292618 kst 2460.55188674 50.1579695182 25.47 ab
58623.6792618 kst 2569.72788242 51.3512386464 25.47 ab
58623.9292618 kst 2708.2556234 52.4302165971 25.47 ab
58624.1792618 kst 2951.03216226 53.409595557 25.47 ab
58624.4292618 kst 2959.76082623 54.3079160147 25.47 ab
58624.6792618 kst 3091.77962411 55.1352596663 25.47 ab
58624.9292618 kst 3195.66535811 55.9005708723 25.47 ab
58625.1792618 kst 3300.90457285 56.603586057 25.47 ab
58625.4292618 kst 3281.88543889 57.2457801291 25.47 ab
