@c -0.374829552545
@x1 -3.85359349977
@x0 0.00269543968975
@z 0.0379241804104
@t0 58366.9281766
time band flux fluxerr zp zpsys
58356.9281766 smg -3072.93099694 2016.75202085 27.5444814663 ab
58360.9281766 smg 3778.8944519 991.527211688 26.5124489178 ab
58365.9281766 smg 2804.84402 2577.53945238 25.9288350958 ab
58370.9281766 smg 2658.1876392 763.144606226 25.7977058973 ab
58375.9281766 smg 2796.95226187 1406.40661941 26.1498318838 ab
58380.9281766 smg -704.348632222 3091.804595 25.1210695179 ab
58384.9281766 smg 808.42479507 2511.83165833 27.0797201284 ab
58389.9281766 smg 1383.22406978 790.948702148 27.3048778936 ab
58393.9281766 smg 3206.55519974 454.522286172 28.7346360227 ab
58356.9283154 smr 265.714066586 2016.37900103 25.4809448643 ab
58360.9283154 smr 683.388999298 990.009163929 25.0350299471 ab
58365.9283154 smr 2851.39234278 2577.07081306 25.1492041472 ab
58370.9283154 smr -212.635589395 762.439402498 25.6201419591 ab
58375.9283154 smr 1699.15134442 1405.83090427 25.1332355283 ab
58380.9283154 smr -320.088177387 3091.87475027 25.6210810729 ab
58384.9283154 smr 2500.61259043 2511.73085336 25.8297624207 ab
58389.9283154 smr 712.052913503 790.432713868 24.8095190984 ab
58393.9283154 smr 358.501882277 452.399523422 25.60058153 ab
58356.9284543 smi 1962.9567127 2017.8303484 29.0213402139 ab
58360.9284543 smi 521.687627686 990.562807759 26.4485683818 ab
58365.9284543 smi 858.761762988 2577.41477292 26.763820894 ab
58370.9284543 smi 2112.93830992 762.589329699 26.4213604774 ab
58375.9284543 smi 3401.50749292 1406.17514198 26.8184895548 ab
58380.9284543 smi -2968.56104577 3091.90011002 26.3910197589 ab
58384.9284543 smi 6028.54433963 2512.50890877 27.8928480644 ab
58389.9284543 smi 687.010576748 790.860965872 26.0699663498 ab
58393.9284543 smi 903.825396386 453.165231792 26.5480828004 ab
58350.9281766 kst -96.217565614 10.8476635485 25.47 ab
58351.1781766 kst -146.530191269 10.9177540911 25.47 ab
58351.4281766 kst -121.652570052 10.9301791463 25.47 ab
58351.6781766 kst -124.5732709 10.8759295031 25.47 ab
58351.9281766 kst -129.720171624 10.757249011 25.47 ab
58352.1781766 kst -107.877207932 10.5825347345 25.47 ab
58352.4281766 kst -133.291401912 10.3597884885 25.47 ab
58352.6781766 kst -105.690996119 10.0948336646 25.47 ab
58352.9281766 kst -81.6297449654 9.77346611571 25.47 ab
58353.1781766 kst -101.927012365 9.37239951361 25.47 ab
58353.4281766 kst -92.435473065 8.86234170048 25.47 ab
58353.6781766 kst -70.2052334394 8.23472855932 25.47 ab
58353.9281766 kst -56.6975907481 7.46894906205 25.47 ab
58354.1781766 kst -52.1716753591 6.4771914041 25.47 ab
58354.4281766 kst -42.026009959 5.0799898358 25.47 ab
58354.6781766 kst -8.85356525444 2.66466917143 25.47 ab
58354.9281766 kst 16.1818068474 3.72438729558 25.47 ab
58355.1781766 kst 30.1565652203 6.08411762465 25.47 ab
58355.4281766 kst 64.4791419393 7.89392004051 25.47 ab
58355.6781766 kst 76.9603935061 9.47211863703 25.47 ab
58355.9281766 kst 124.934126793 10.9197611235 25.47 ab
58356.1781766 kst 173.731801185 12.2854707377 25.47 ab
58356.4281766 kst 199.462671997 13.5961850564 25.47 ab
58356.6781766 kst 239.055744608 14.8676542146 25.47 ab
58356.9281766 kst 267.720757544 16.1069100125 25.47 ab
58357.1781766 kst 287.214209109 17.322409132 25.47 ab
58357.4281766 kst 336.252600495 18.5208719473 25.47 ab
58357.6781766 kst 382.81133427 19.7107348484 25.47 ab
58357.9281766 kst 442.519533148 20.9174419611 25.47 ab
58358.1781766 kst 457.102022497 22.1119786321 25.47 ab
58358.4281766 kst 580.666176822 23.2600016176 25.47 ab
58358.6781766 kst 595.978167402 24.3351432648 25.47 ab
58358.9281766 kst 664.91740643 25.364592493 25.47 ab
58359.1781766 kst 674.291719248 26.3568064907 25.47 ab
58359.4281766 kst 722.29723239 27.3001301628 25.47 ab
58359.6781766 kst 832.07076264 28.1842943387 25.47 ab
58359.9281766 kst 844.919750405 29.0150120216 25.47 ab
58360.1781766 kst 859.088358055 29.8032297224 25.47 ab
58360.4281766 kst 932.224206238 30.5510393765 25.47 ab
58360.6781766 kst 919.526891696 31.2601705001 25.47 ab
58360.9281766 kst 1010.8377835 31.9337079695 25.47 ab
58361.1781766 kst 1083.23555415 32.574560415 25.47 ab
58361.4281766 kst 1155.38824573 33.1828039025 25.47 ab
58361.6781766 kst 1159.24537514 33.7583981714 25.47 ab
58361.9281766 kst 1177.25127742 34.3024767671 25.47 ab
58362.1781766 kst 1194.68694025 34.8179589563 25.47 ab
58362.4281766 kst 1237.91712057 35.3049367167 25.47 ab
58362.6781766 kst 1321.41979191 35.7633100186 25.47 ab
58362.9281766 kst 1296.45212475 36.1934407074 25.47 ab
58363.1781766 kst 1314.09174244 36.5973893874 25.47 ab
58363.4281766 kst 1361.5389271 36.9754984251 25.47 ab
58363.6781766 kst 1435.29003417 37.32784151 25.47 ab
58363.9281766 kst 1419.08376726 37.6548066087 25.47 ab
58364.1781766 kst 1523.78395352 37.9585407301 25.47 ab
58364.4281766 kst 1499.51465476 38.238193923 25.47 ab
58364.6781766 kst 1457.65718385 38.492314143 25.47 ab
58364.9281766 kst 1499.45615362 38.7196577599 25.47 ab
58365.1781766 kst 1512.8272516 38.9222551879 25.47 ab
58365.4281766 kst 1485.3379515 39.1001720997 25.47 ab
58365.6781766 kst 1549.76820605 39.2523302157 25.47 ab
58365.9281766 kst 1629.06669431 39.3775821805 25.47 ab
58366.1781766 kst 1541.56693292 39.4739556663 25.47 ab
58366.4281766 kst 1596.75477281 39.5437727205 25.47 ab
58366.6781766 kst 1539.79975277 39.591053273 25.47 ab
58366.9281766 kst 1566.0612 39.6197546258 25.47 ab
58367.1781766 kst 1581.30602513 39.6287076955 25.47 ab
58367.4281766 kst 1520.00753378 39.6163626764 25.47 ab
58367.6781766 kst 1532.7226678 39.5860490321 25.47 ab
58367.9281766 kst 1605.05870225 39.5410786331 25.47 ab
58368.1781766 kst 1504.39397082 39.4824387858 25.47 ab
58368.4281766 kst 1578.02482988 39.4078967245 25.47 ab
58368.6781766 kst 1550.62227951 39.3180753074 25.47 ab
58368.9281766 kst 1535.07799827 39.2136494864 25.47 ab
58369.1781766 kst 1600.01423635 39.0946597883 25.47 ab
58369.4281766 kst 1516.48663405 38.9600910351 25.47 ab
58369.6781766 kst 1540.68750159 38.8108026432 25.47 ab
58369.9281766 kst 1527.64819638 38.6477752149 25.47 ab
58370.1781766 kst 1435.07544146 38.4714271467 25.47 ab
58370.4281766 kst 1449.78739613 38.2800814944 25.47 ab
58370.6781766 kst 1392.64478389 38.0747655625 25.47 ab
58370.9281766 kst 1417.36841762 37.8569293634 25.47 ab
58371.1781766 kst 1412.21691878 37.6277373458 25.47 ab
58371.4281766 kst 1390.0436442 37.385553871 25.47 ab
58371.6781766 kst 1387.98805837 37.1305526541 25.47 ab
58371.9281766 kst 1298.47671979 36.8636057399 25.47 ab
58372.1781766 kst 1257.68539777 36.5855224602 25.47 ab
58372.4281766 kst 1363.8605207 36.2952974905 25.47 ab
58372.6781766 kst 1315.5759323 35.9926385359 25.47 ab
58372.9281766 kst 1212.12529406 35.6779547756 25.47 ab
58373.1781766 kst 1276.51891587 35.351650402 25.47 ab
58373.4281766 kst 1266.73211525 35.013077312 25.47 ab
58373.6781766 kst 1207.94040534 34.6617006128 25.47 ab
58373.9281766 kst 1153.33337834 34.2976601235 25.47 ab
58374.1781766 kst 1210.27383764 33.9210873768 25.47 ab
58374.4281766 kst 1187.02257465 33.5261597201 25.47 ab
58374.6781766 kst 1077.5156066 33.1122403971 25.47 ab
58374.9281766 kst 1082.45133573 32.6906277324 25.47 ab
58375.1781766 kst 1043.19520173 32.2732299138 25.47 ab
58375.4281766 kst 1016.98723285 31.8637815861 25.47 ab
58375.6781766 kst 986.055579018 31.4530975046 25.47 ab
58375.9281766 kst 1006.92969916 31.0479060882 25.47 ab
58376.1781766 kst 909.83871285 30.6559230352 25.47 ab
58376.4281766 kst 889.071056824 30.2830163887 25.47 ab
58376.6781766 kst 875.752608131 29.9255529209 25.47 ab
58376.9281766 kst 869.053233868 29.582641078 25.47 ab
58377.1781766 kst 871.711307725 29.2538963449 25.47 ab
58377.4281766 kst 845.291466839 28.9391223775 25.47 ab
58377.6781766 kst 840.011262348 28.6395079515 25.47 ab
58377.9281766 kst 838.90556946 28.3553232514 25.47 ab
58378.1781766 kst 764.622978119 28.0865776915 25.47 ab
58378.4281766 kst 772.373401285 27.8334036915 25.47 ab
58378.6781766 kst 742.477921938 27.597396866 25.47 ab
58378.9281766 kst 720.726166462 27.3780951183 25.47 ab
58379.1781766 kst 739.915528228 27.1742862124 25.47 ab
58379.4281766 kst 705.975433047 26.9849627029 25.47 ab
58379.6781766 kst 742.079954459 26.8175260042 25.47 ab
58379.9281766 kst 749.96075507 26.6681517877 25.47 ab
58380.1781766 kst 677.50748793 26.5261179424 25.47 ab
58380.4281766 kst 680.108353476 26.3804622272 25.47 ab
58380.6781766 kst 672.698031058 26.2313625135 25.47 ab
58380.9281766 kst 644.373857689 26.0839392245 25.47 ab
58381.1781766 kst 633.805570896 25.9359424685 25.47 ab
58381.4281766 kst 636.493904383 25.7850705651 25.47 ab
58381.6781766 kst 666.926837773 25.6305127663 25.47 ab
58381.9281766 kst 664.594617858 25.47362052 25.47 ab
58382.1781766 kst 625.579074961 25.3142258125 25.47 ab
58382.4281766 kst 589.119201052 25.1521298491 25.47 ab
58382.6781766 kst 613.325553502 24.9871981665 25.47 ab
58382.9281766 kst 615.160001722 24.819476687 25.47 ab
58383.1781766 kst 564.198753302 24.6488988532 25.47 ab
58383.4281766 kst 582.61572873 24.4753866244 25.47 ab
58383.6781766 kst 600.965639609 24.2981299228 25.47 ab
58383.9281766 kst 636.628765746 24.1152595048 25.47 ab
58384.1781766 kst 575.496667082 23.9299243884 25.47 ab
58384.4281766 kst 556.616248896 23.7459018749 25.47 ab
58384.6781766 kst 570.938143601 23.5662460549 25.47 ab
58384.9281766 kst 511.995745625 23.3875147193 25.47 ab
58385.1781766 kst 538.047427756 23.2111039052 25.47 ab
