@c 0.067651123823
@x1 3.34549661653
@x0 0.000202738621661
@z 0.129614324527
@t0 58421.0949559
time band flux fluxerr zp zpsys
58416.0949559 smg 1232.18910581 2120.2217798 27.9120033797 ab
58417.0949559 smg 1177.97117087 1590.88902219 26.3353887926 ab
58418.0949559 smg -27.3864470077 2757.99237504 26.2667348082 ab
58420.0949559 smg 6034.2807198 5063.06535401 27.2895908584 ab
58421.0949559 smg -599.439985963 1155.0472995 26.9076602747 ab
58423.0949559 smg -981.050536744 2544.88284783 26.6272605853 ab
58425.0949559 smg 1396.26096725 1048.20074049 27.0192080858 ab
58426.0949559 smg -272.70635434 2836.13297645 25.8651970783 ab
58428.0949559 smg -98.7631167663 1473.12801235 26.8480911027 ab
58430.0949559 smg 1136.5374735 1293.57761906 26.547360627 ab
58432.0949559 smg -751.576752127 1693.43530282 26.5046034985 ab
58434.0949559 smg 1793.09980565 5826.56275572 27.1060368516 ab
58436.0949559 smg 3380.00419551 2825.55523524 25.3272184847 ab
58437.0949559 smg 384.00208125 1455.99867758 26.2812126353 ab
58439.0949559 smg 1013.85084233 724.906078484 26.7072890619 ab
58440.0949559 smg 936.979040707 422.08054932 25.5936065745 ab
58441.0949559 smg 315.466283921 1068.90345562 27.6297168106 ab
58443.0949559 smg -422.641846953 421.071707102 26.0227296531 ab
58445.0949559 smg -782.813085716 842.512769665 26.6591291235 ab
58446.0949559 smg 600.341597016 5914.50842459 26.5942384621 ab
58447.0949559 smg 1824.39907067 345.446256203 29.5253425569 ab
58448.0949559 smg -4730.86420599 14176.6528371 25.7895307823 ab
58450.0949559 smg -149.443580289 1178.34186212 26.6408137704 ab
58451.0949559 smg -2006.8015844 1418.76216001 28.4967862221 ab
58452.0949559 smg -1173.5893399 1657.81501721 27.6538782849 ab
58454.0949559 smg -218.015357971 152.391483228 25.2119652945 ab
58455.0949559 smg -545.703294829 995.68667728 27.4649107597 ab
58457.0949559 smg 772.352460984 701.401699363 28.1294377506 ab
58416.0950948 smr 879.715296169 2119.78033951 25.2493415628 ab
58417.0950948 smr -1937.56439039 1590.78333864 25.0367143863 ab
58418.0950948 smr 731.646588882 2758.00620768 26.4318948873 ab
58420.0950948 smr 807.189604108 5062.98093023 25.7409223061 ab
58421.0950948 smr 571.788579317 1154.79640436 25.4273324792 ab
58423.0950948 smr 2270.9083359 2544.79280141 24.9551032928 ab
58425.0950948 smr 1069.06606259 1047.84600011 24.4240395475 ab
