@c 0.0715170133333
@x1 -2.11543794133
@x0 0.00426302621162
@z 0.0303239516336
@t0 58650.7862749
time band flux fluxerr zp zpsys
58646.7862749 smg 1687.51160881 6554.79163799 25.1078398634 ab
58647.7862749 smg 16500.6822774 1601.19419008 27.1648810756 ab
58648.7862749 smg 3259.84641495 64.6450171789 25.2751903436 ab
58650.7862749 smg 13101.7471816 883.699288874 26.7480799054 ab
58651.7862749 smg 22267.5761419 4891.00453002 27.3996865504 ab
58652.7862749 smg 20546.3104882 5440.74286562 27.1918148794 ab
58653.7862749 smg 26323.3995685 3803.19038325 27.582432258 ab
58655.7862749 smg 7385.68102671 1337.75456501 26.2717137032 ab
58656.7862749 smg 5325.25761803 804.297313076 25.8515141963 ab
58658.7862749 smg 19959.5990693 1533.35770209 27.7823618961 ab
58659.7862749 smg 20445.8491304 2960.73381472 27.6840937061 ab
58661.7862749 smg 4503.01212677 955.893742897 26.3533086973 ab
58663.7862749 smg 6743.50019378 1151.91688506 27.1486699962 ab
58664.7862749 smg 18247.622874 153.041136637 28.0634581186 ab
58665.7862749 smg 7422.20845147 6647.73131546 26.6793375109 ab
58667.7862749 smg 5455.91313517 2263.51580425 26.7413796331 ab
58669.7862749 smg 7331.17257365 1181.04455424 27.5218119959 ab
58671.7862749 smg 5115.57879651 1919.60339657 27.2443516503 ab
58646.7864138 smr 13419.5621372 6554.72057884 24.5782893103 ab
58647.7864138 smr 4228.46929008 1596.67909733 25.4057246837 ab
58648.7864138 smr 2825.08119912 61.1910129117 25.125667618 ab
58650.7864138 smr 4196.74322402 878.395654553 25.4461092651 ab
58651.7864138 smr -6113.33011293 4888.9998842 25.5851055771 ab
58652.7864138 smr 2351.22386519 5439.41474223 25.710198845 ab
58653.7864138 smr 5704.67231449 3800.15080213 25.4828196253 ab
58655.7864138 smr 2088.32012836 1335.52391975 24.4041076816 ab
58656.7864138 smr 3879.7397762 803.228094539 25.258486913 ab
58658.7864138 smr 6054.12212621 1526.50062462 25.4786632502 ab
58659.7864138 smr 1804.1991282 2957.70762584 25.2405408999 ab
58661.7864138 smr 640.433843681 954.351822955 25.2449878889 ab
58663.7864138 smr 3269.80406339 1149.75109129 25.9495558944 ab
58664.7864138 smr 1367.62766348 81.4999643226 24.8444981745 ab
58665.7864138 smr -5382.78734662 6647.49781948 25.0123678593 ab
58667.7864138 smr 4268.95350936 2263.32130889 25.8557429777 ab
58669.7864138 smr 2299.05761024 1178.92836852 25.1810756362 ab
58671.7864138 smr -2634.14363427 1918.99437635 25.4643016696 ab
58646.7865527 smi 2959.56622701 6554.84964704 25.7085280418 ab
58647.7865527 smi 15101.8022085 1599.73470055 27.2258147745 ab
58648.7865527 smi 10335.1763612 105.972500678 26.9476473387 ab
58650.7865527 smi 13886.9264007 882.759256569 27.0870093707 ab
58651.7865527 smi 8519.56373809 4889.98756481 27.3128330835 ab
58652.7865527 smi 4723.43783305 5439.28988771 25.9018421714 ab
58653.7865527 smi 2219.85886194 3800.34834158 26.3577487133 ab
58655.7865527 smi 9942.28038396 1338.9694502 27.145026973 ab
58656.7865527 smi 12333.1139859 809.19711385 27.3990066449 ab
58658.7865527 smi 26451.2477388 1533.86185315 28.3591931299 ab
58659.7865527 smi 6562.37641482 2957.8405097 26.1767017228 ab
58661.7865527 smi 5713.67627385 956.779814968 27.1474498926 ab
58663.7865527 smi 5945.38458296 1150.22376172 26.7834498247 ab
58664.7865527 smi 2367.47058792 87.3853607305 25.9747053427 ab
58665.7865527 smi 10506.9533926 6647.74599624 26.7561932561 ab
58667.7865527 smi 553.812337349 2263.06152301 25.68932232 ab
58669.7865527 smi 6606.46964374 1180.5869296 26.8069378638 ab
58671.7865527 smi 2914.12052716 1919.64346087 26.52497544 ab
58634.7862749 kst -86.867502557 8.64529046861 25.47 ab
58635.0362749 kst -67.8560240652 7.71090788358 25.47 ab
58635.2862749 kst -41.2559123408 6.37013266869 25.47 ab
58635.5362749 kst -14.0912233674 4.26216867512 25.47 ab
58635.7862749 kst 6.62223738186 2.88348080337 25.47 ab
58636.0362749 kst 33.6276688932 6.1820348816 25.47 ab
58636.2862749 kst 60.874478 8.42191216793 25.47 ab
58636.5362749 kst 100.639133406 10.2991887303 25.47 ab
58636.7862749 kst 132.809052887 12.0025262305 25.47 ab
58637.0362749 kst 159.783397552 13.5973442466 25.47 ab
58637.2862749 kst 232.417575454 15.1166183284 25.47 ab
58637.5362749 kst 261.822255497 16.5786043232 25.47 ab
58637.7862749 kst 332.479870162 17.9945255836 25.47 ab
58638.0362749 kst 401.148164533 19.3805275078 25.47 ab
58638.2862749 kst 419.556810475 20.7490079512 25.47 ab
58638.5362749 kst 509.038977872 22.1081403916 25.47 ab
58638.7862749 kst 527.630929251 23.456184119 25.47 ab
58639.0362749 kst 574.467863851 24.7947387619 25.47 ab
58639.2862749 kst 672.327761325 26.1261720742 25.47 ab
58639.5362749 kst 703.47185182 27.4520763606 25.47 ab
58639.7862749 kst 786.897139771 28.7709344735 25.47 ab
58640.0362749 kst 919.070614973 30.0854568444 25.47 ab
58640.2862749 kst 984.735382633 31.3991309453 25.47 ab
58640.5362749 kst 1107.5198375 32.7147155761 25.47 ab
58640.7862749 kst 1184.89722455 34.0298879497 25.47 ab
58641.0362749 kst 1304.4320681 35.3449590357 25.47 ab
58641.2862749 kst 1338.03652595 36.6622164115 25.47 ab
58641.5362749 kst 1449.20903622 37.9838593818 25.47 ab
58641.7862749 kst 1545.00259416 39.3336626903 25.47 ab
58642.0362749 kst 1683.97306668 40.6955641915 25.47 ab
58642.2862749 kst 1787.19184568 42.0296053518 25.47 ab
58642.5362749 kst 1890.37990458 43.3007129723 25.47 ab
58642.7862749 kst 1996.86772501 44.516335454 25.47 ab
58643.0362749 kst 2148.15081788 45.6986348298 25.47 ab
58643.2862749 kst 2195.6686586 46.8320652324 25.47 ab
58643.5362749 kst 2302.05967135 47.9023981196 25.47 ab
58643.7862749 kst 2378.87862926 48.9076298371 25.47 ab
58644.0362749 kst 2487.67358062 49.8623222405 25.47 ab
58644.2862749 kst 2527.81556078 50.7675621238 25.47 ab
58644.5362749 kst 2748.16798107 51.6239355739 25.47 ab
58644.7862749 kst 2774.85542931 52.4336185412 25.47 ab
58645.0362749 kst 2897.45322996 53.2008480451 25.47 ab
58645.2862749 kst 2792.62568579 53.9247145823 25.47 ab
58645.5362749 kst 3049.99246244 54.6040050016 25.47 ab
58645.7862749 kst 2990.33198127 55.238053816 25.47 ab
58646.0362749 kst 3204.6234958 55.8296147195 25.47 ab
58646.2862749 kst 3211.96696371 56.3812938309 25.47 ab
58646.5362749 kst 3171.1433615 56.8953673315 25.47 ab
