SN1: c:0.0249668603262 t0:0.0229917417177 x0:8.32008950428e-05 x1:0.0195007408024 
SN2: c:0.0368364628175 t0:0.0464572078415 x0:9.13177343935e-05 x1:0.0794287222201 
SN3: c:0.0129587272021 t0:0.00963187942651 x0:0.000107717808152 x1:0.00901715307445 
SN4: c:0.0442582546675 t0:0.0648373131003 x0:1.81193009968e-05 x1:0.0573798994438 
SN5: c:0.0155171815513 t0:0.017273000678 x0:0.000397167058481 x1:0.0271072336386 
SN6: c:0.383067820607 t0:0.289132562385 x0:2.50144111109e-19 x1:0.13467832026 
SN7: c:0.0156741331004 t0:0.0141547485897 x0:0.0002954128407 x1:0.0304291031276 
SN8: c:0.0456871730378 t0:0.0453933613814 x0:5.97231326691e-05 x1:0.065729188091 
SN9: c:0.0492011888951 t0:0.130728471488 x0:2.6119338553e-05 x1:0.0818874790115 
SN10: c:0.0601628594955 t0:0.067747881915 x0:3.82016806447e-05 x1:0.103331725466 
SN11: c:0.0524375429342 t0:0.0616090434423 x0:4.61520479958e-05 x1:0.0958954066378 
SN12: c:0.046869416689 t0:0.0438784429708 x0:5.58138008956e-05 x1:0.0606127966444 
SN13: c:0.0446595335209 t0:0.0412482296619 x0:0.000281834712345 x1:0.0414923934072 
SN14: c:0.0215710206304 t0:0.0209808527984 x0:9.00543165452e-05 x1:0.01631310527 
SN15: c:0.154422795459 t0:0.136984442505 x0:0.00504153529545 x1:0.318814887809 
SN16: c:0.0433231627725 t0:0.0688217238294 x0:1.73114886263e-05 x1:0.189549196306 
SN17: c:0.0313676990636 t0:0.0277637294238 x0:0.000101122222258 x1:0.0270585583291 
SN18: c:0.0357836911683 t0:0.0435410393273 x0:0.000529309649426 x1:0.0544578843275 
SN19: c:0.0258081918251 t0:0.0401686142073 x0:4.3157756564e-05 x1:0.102131368851 
SN20: c:0.0650558295724 t0:0.0947325177395 x0:1.47366745085e-05 x1:0.115944099019 
SN21: c:0.0662875921132 t0:0.154451021251 x0:2.73057245594e-05 x1:0.0842396345062 
SN22: c:0.0433305692657 t0:0.0509911397737 x0:0.00014620535462 x1:0.0869019191263 
SN23: c:0.00276772487493 t0:0.00261659556229 x0:0.00148967951584 x1:0.00404523067957 
SN24: c:0 t0:0 x0:0 x1:0
SN25: c:0.045306093206 t0:0.0573778717545 x0:5.07855267214e-05 x1:0.103190491958 
SN26: c:0.0641209142594 t0:0.0684594303754 x0:1.58219882039e-05 x1:0.122512159828 
SN27: c:0.0723909958517 t0:0.117457030752 x0:0.000112061305282 x1:0.0389584003016 
