@c -0.159788645658
@x1 0.191071535927
@x0 0.000414246923654
@z 0.0930032984823
@t0 58618.9252995
time band flux fluxerr zp zpsys
58602.9252995 kst 27.6331846938 5.6740452092 25.47 ab
58603.1752995 kst 33.0166892379 6.04589269461 25.47 ab
58603.4252995 kst 40.2860345673 6.41429047082 25.47 ab
58603.6752995 kst 46.7309323915 6.77656673565 25.47 ab
58603.9252995 kst 56.356271183 7.1375952193 25.47 ab
58604.1752995 kst 40.7987545065 7.49674901749 25.47 ab
58604.4252995 kst 66.6108540727 7.85016101326 25.47 ab
58604.6752995 kst 69.886810857 8.19462275427 25.47 ab
58604.9252995 kst 75.7082786225 8.53105358695 25.47 ab
58605.1752995 kst 82.7749936735 8.86339431024 25.47 ab
58605.4252995 kst 77.1934633879 9.18922533408 25.47 ab
58605.6752995 kst 81.1799481173 9.50632533654 25.47 ab
58605.9252995 kst 103.932422603 9.81311617769 25.47 ab
58606.1752995 kst 98.6034993073 10.1115980275 25.47 ab
58606.4252995 kst 108.069989425 10.4035391219 25.47 ab
58606.6752995 kst 133.028564729 10.6901978186 25.47 ab
58606.9252995 kst 117.450982501 10.9726831931 25.47 ab
58607.1752995 kst 113.771652993 11.2508189159 25.47 ab
58607.4252995 kst 136.921321143 11.5247890989 25.47 ab
58607.6752995 kst 144.227047635 11.7955528845 25.47 ab
58607.9252995 kst 133.717866278 12.0639801649 25.47 ab
58608.1752995 kst 164.318108798 12.3304467368 25.47 ab
58608.4252995 kst 159.48161816 12.5944975 25.47 ab
58608.6752995 kst 170.944856384 12.8566339114 25.47 ab
58608.9252995 kst 153.987965619 13.1173728909 25.47 ab
58609.1752995 kst 199.771810644 13.3775816275 25.47 ab
58609.4252995 kst 166.441969081 13.6405953086 25.47 ab
58609.6752995 kst 195.997636258 13.9028855066 25.47 ab
58609.9252995 kst 191.205582646 14.1595095286 25.47 ab
58610.1752995 kst 215.039676474 14.4058723861 25.47 ab
58610.4252995 kst 224.078994203 14.6431656229 25.47 ab
58610.6752995 kst 237.76246802 14.874443748 25.47 ab
58610.9252995 kst 211.977388822 15.097468333 25.47 ab
58611.1752995 kst 226.795163561 15.3101171717 25.47 ab
58611.4252995 kst 259.134193638 15.5112110305 25.47 ab
58611.6752995 kst 277.758620137 15.7030014101 25.47 ab
58611.9252995 kst 258.111908853 15.8856893531 25.47 ab
58612.1752995 kst 254.957541235 16.0591510476 25.47 ab
58612.4252995 kst 244.798118967 16.223293941 25.47 ab
58612.6752995 kst 296.618293582 16.3789564297 25.47 ab
58612.9252995 kst 289.094280912 16.5262167283 25.47 ab
58613.1752995 kst 279.109349595 16.6646743738 25.47 ab
58613.4252995 kst 293.287915548 16.7939286781 25.47 ab
58613.6752995 kst 279.953754976 16.9137010702 25.47 ab
58613.9252995 kst 290.257775734 17.0245002039 25.47 ab
58614.1752995 kst 281.882898595 17.1271190007 25.47 ab
58614.4252995 kst 290.504738101 17.2223197804 25.47 ab
