@c 0.00271548337294
@x1 5.37832137727
@x0 0.00674516742604
@z 0.0242157610359
@t0 58319.4037752
time band flux fluxerr zp zpsys
58302.4037752 kst 712.682487336 26.6115344946 25.47 ab
58302.6537752 kst 824.424575455 28.5449176507 25.47 ab
58302.9037752 kst 889.78886201 30.4794371983 25.47 ab
58303.1537752 kst 1060.68880385 32.4212723931 25.47 ab
58303.4037752 kst 1187.43909636 34.3798932276 25.47 ab
58303.6537752 kst 1351.25371824 36.3326475708 25.47 ab
58303.9037752 kst 1463.51646698 38.258339062 25.47 ab
58304.1537752 kst 1546.65091635 40.144631929 25.47 ab
58304.4037752 kst 1775.6672935 42.0132461527 25.47 ab
58304.6537752 kst 1976.35794882 43.8610878117 25.47 ab
58304.9037752 kst 2037.16841501 45.6797232888 25.47 ab
58305.1537752 kst 2184.6126129 47.4665269978 25.47 ab
58305.4037752 kst 2363.6871363 49.2551500955 25.47 ab
58305.6537752 kst 2582.84391089 51.0195128732 25.47 ab
58305.9037752 kst 2849.99742311 52.7214275488 25.47 ab
58306.1537752 kst 2842.46947693 54.3311212787 25.47 ab
58306.4037752 kst 3145.01258962 55.8930188543 25.47 ab
58306.6537752 kst 3322.68875303 57.3996391517 25.47 ab
58306.9037752 kst 3418.7606851 58.8152619866 25.47 ab
58307.1537752 kst 3588.02436212 60.1078115125 25.47 ab
58307.4037752 kst 3809.71106312 61.2856222453 25.47 ab
58307.6537752 kst 3843.88210139 62.3725489916 25.47 ab
58307.9037752 kst 4014.54765851 63.3802065033 25.47 ab
58308.1537752 kst 4155.44322258 64.3191281491 25.47 ab
58308.4037752 kst 4271.110677 65.1906850659 25.47 ab
58308.6537752 kst 4347.72892142 65.9953291533 25.47 ab
58308.9037752 kst 4436.93089792 66.7386202614 25.47 ab
58309.1537752 kst 4535.8298015 67.4256950199 25.47 ab
58309.4037752 kst 4739.08848732 68.0584818927 25.47 ab
58309.6537752 kst 4777.29600288 68.636907449 25.47 ab
58309.9037752 kst 4705.56715245 69.1631660885 25.47 ab
58310.1537752 kst 4833.08472553 69.6392678541 25.47 ab
