@c -0.455788644829
@x1 -4.4416971298
@x0 0.00037933431892
@z 0.096922631754
@t0 58579.1696207
time band flux fluxerr zp zpsys
58563.1696207 kst -28.0006348457 5.2722435759 25.47 ab
58563.4196207 kst -31.0979378583 5.2747835572 25.47 ab
58563.6696207 kst -31.1976899606 5.26211228812 25.47 ab
58563.9196207 kst -34.5109179914 5.23728448547 25.47 ab
58564.1696207 kst -22.4829198956 5.20192030478 25.47 ab
58564.4196207 kst -21.1051654593 5.15129327542 25.47 ab
58564.6696207 kst -22.6340817591 5.07955000598 25.47 ab
58564.9196207 kst -21.9075140964 4.98029006318 25.47 ab
58565.1696207 kst -22.5582836612 4.85676132294 25.47 ab
58565.4196207 kst -26.6609185036 4.7085630199 25.47 ab
58565.6696207 kst -27.3178875657 4.52420333942 25.47 ab
58565.9196207 kst -10.2379868893 4.28946409585 25.47 ab
58566.1696207 kst -20.3569545773 3.98858810987 25.47 ab
58566.4196207 kst -15.8404691625 3.61223820523 25.47 ab
58566.6696207 kst -6.89067556722 3.13559110632 25.47 ab
58566.9196207 kst -2.62912458122 2.50361164509 25.47 ab
58567.1696207 kst 0.518643127399 1.53780273534 25.47 ab
58567.4196207 kst 2.22934712764 1.37673090481 25.47 ab
58567.6696207 kst 5.54738222587 2.54546525305 25.47 ab
58567.9196207 kst 16.3064996879 3.37857291083 25.47 ab
58568.1696207 kst 13.0383118173 4.08767032893 25.47 ab
58568.4196207 kst 29.9124516716 4.72862903751 25.47 ab
58568.6696207 kst 29.2816165283 5.3255162899 25.47 ab
58568.9196207 kst 31.2162174602 5.89263112743 25.47 ab
58569.1696207 kst 37.5632637605 6.43867600943 25.47 ab
58569.4196207 kst 41.5426837445 6.97190312591 25.47 ab
58569.6696207 kst 49.7817468359 7.50431831114 25.47 ab
58569.9196207 kst 58.129705688 8.024196801 25.47 ab
58570.1696207 kst 68.5904843225 8.51974080184 25.47 ab
58570.4196207 kst 72.5664124181 8.98176010991 25.47 ab
58570.6696207 kst 87.1454900735 9.42044227867 25.47 ab
58570.9196207 kst 96.9395530991 9.84285855645 25.47 ab
58571.1696207 kst 88.2901483199 10.2450950677 25.47 ab
58571.4196207 kst 103.534031384 10.6237291307 25.47 ab
58571.6696207 kst 123.785270836 10.9781936384 25.47 ab
58571.9196207 kst 159.147090956 11.3145947439 25.47 ab
58572.1696207 kst 149.142817724 11.6344366917 25.47 ab
58572.4196207 kst 176.022897233 11.9386810055 25.47 ab
58572.6696207 kst 168.489501631 12.2282067923 25.47 ab
58572.9196207 kst 140.469895463 12.5046057445 25.47 ab
58573.1696207 kst 173.295247206 12.7684552782 25.47 ab
58573.4196207 kst 174.793680346 13.0199267796 25.47 ab
58573.6696207 kst 155.369585237 13.2591436442 25.47 ab
58573.9196207 kst 186.770045181 13.4870865431 25.47 ab
58574.1696207 kst 180.294671142 13.7046777515 25.47 ab
58574.4196207 kst 201.748579895 13.9115391625 25.47 ab
58574.6696207 kst 188.682269817 14.107287034 25.47 ab
58574.9196207 kst 203.906954793 14.2919469841 25.47 ab
58575.1696207 kst 219.642805696 14.4670436476 25.47 ab
58575.4196207 kst 227.527546041 14.6321747396 25.47 ab
58575.6696207 kst 229.36053169 14.7866637962 25.47 ab
58575.9196207 kst 201.424575893 14.9298757172 25.47 ab
58576.1696207 kst 228.885473615 15.0628544374 25.47 ab
58576.4196207 kst 234.81903399 15.1859692611 25.47 ab
58576.6696207 kst 243.979218787 15.2986762608 25.47 ab
58576.9196207 kst 229.388803004 15.4004270467 25.47 ab
58577.1696207 kst 214.761255738 15.4912647374 25.47 ab
58577.4196207 kst 239.411202108 15.5720645494 25.47 ab
58577.6696207 kst 239.51111317 15.6424828307 25.47 ab
58577.9196207 kst 240.368238384 15.7021141322 25.47 ab
58578.1696207 kst 217.519537267 15.7504502682 25.47 ab
58578.4196207 kst 281.260096432 15.786859208 25.47 ab
58578.6696207 kst 258.740039433 15.8125918277 25.47 ab
58578.9196207 kst 238.048634671 15.8292123373 25.47 ab
58579.1696207 kst 208.559237999 15.8382606995 25.47 ab
58579.4196207 kst 253.416513639 15.8391662904 25.47 ab
58579.6696207 kst 250.665880688 15.8312103219 25.47 ab
58579.9196207 kst 256.04702297 15.815688185 25.47 ab
58580.1696207 kst 238.589049489 15.7938881423 25.47 ab
58580.4196207 kst 229.200988148 15.766613984 25.47 ab
58580.6696207 kst 274.014092582 15.7328130169 25.47 ab
58580.9196207 kst 263.444311004 15.6925839061 25.47 ab
58581.1696207 kst 218.831606453 15.6461880913 25.47 ab
58581.4196207 kst 271.80648288 15.5938540945 25.47 ab
58581.6696207 kst 239.262105073 15.535109823 25.47 ab
58581.9196207 kst 227.094006235 15.4699962877 25.47 ab
58582.1696207 kst 243.693164184 15.3989070579 25.47 ab
58582.4196207 kst 197.395285671 15.3222356982 25.47 ab
58582.6696207 kst 230.024818325 15.2397251742 25.47 ab
58582.9196207 kst 214.085774249 15.1507899792 25.47 ab
58583.1696207 kst 201.168830477 15.0561679328 25.47 ab
58583.4196207 kst 211.214597984 14.956635422 25.47 ab
58583.6696207 kst 236.226202799 14.8527762853 25.47 ab
58583.9196207 kst 214.509788182 14.7436984483 25.47 ab
