@c 0.0420574037207
@x1 -2.30377754929
@x0 0.000162867541944
@z 0.143274107015
@t0 58359.3394608
time band flux fluxerr zp zpsys
58343.3394608 kst 0.842700759652 1.16255890066 25.47 ab
58343.5894608 kst 5.35952381766 1.60649683649 25.47 ab
58343.8394608 kst 0.832973450126 1.97573855864 25.47 ab
58344.0894608 kst 5.68956332866 2.30750977339 25.47 ab
58344.3394608 kst 2.26180604322 2.61704670377 25.47 ab
58344.5894608 kst 9.77231760684 2.91177966533 25.47 ab
58344.8394608 kst 5.52206344982 3.19369435996 25.47 ab
58345.0894608 kst 11.6098929019 3.46744165713 25.47 ab
58345.3394608 kst 16.6687785083 3.73690096248 25.47 ab
58345.5894608 kst 22.4029836029 4.00488191838 25.47 ab
58345.8394608 kst 12.4394277159 4.27218090485 25.47 ab
58346.0894608 kst 19.1157499934 4.53772307112 25.47 ab
58346.3394608 kst 24.2780714603 4.80183804102 25.47 ab
58346.5894608 kst 20.284293227 5.06480310445 25.47 ab
58346.8394608 kst 28.9330524145 5.32680130827 25.47 ab
58347.0894608 kst 34.7946663631 5.58757986818 25.47 ab
58347.3394608 kst 49.632229904 5.84756388412 25.47 ab
58347.5894608 kst 41.484078816 6.10731561598 25.47 ab
58347.8394608 kst 38.0192107657 6.36730545954 25.47 ab
58348.0894608 kst 41.944602391 6.62758795169 25.47 ab
58348.3394608 kst 38.6051773658 6.88767493089 25.47 ab
58348.5894608 kst 43.5600462449 7.14792832851 25.47 ab
58348.8394608 kst 47.2842997501 7.40870053674 25.47 ab
58349.0894608 kst 58.1779034136 7.67041693575 25.47 ab
58349.3394608 kst 63.1339662767 7.93768478093 25.47 ab
58349.5894608 kst 68.1516212236 8.2074672268 25.47 ab
58349.8394608 kst 77.5107627763 8.4732082439 25.47 ab
58350.0894608 kst 91.3437830545 8.72914571196 25.47 ab
58350.3394608 kst 65.1020732724 8.97260593933 25.47 ab
58350.5894608 kst 73.3856213389 9.21033087573 25.47 ab
58350.8394608 kst 97.3509208022 9.44092519009 25.47 ab
58351.0894608 kst 104.779647532 9.66204107594 25.47 ab
58351.3394608 kst 87.5508203601 9.87151805656 25.47 ab
58351.5894608 kst 77.6907573613 10.0701336085 25.47 ab
58351.8394608 kst 111.62594307 10.2600619631 25.47 ab
58352.0894608 kst 113.458767598 10.4414883756 25.47 ab
58352.3394608 kst 93.0567683233 10.6145647062 25.47 ab
58352.5894608 kst 142.197933942 10.779517267 25.47 ab
58352.8394608 kst 122.214717109 10.9371761053 25.47 ab
58353.0894608 kst 111.419539504 11.0875941748 25.47 ab
58353.3394608 kst 137.925338801 11.2306358877 25.47 ab
58353.5894608 kst 125.850082121 11.3661582948 25.47 ab
58353.8394608 kst 151.474986431 11.4943157112 25.47 ab
58354.0894608 kst 138.072943026 11.6156481694 25.47 ab
58354.3394608 kst 137.160844493 11.7303267251 25.47 ab
58354.5894608 kst 159.06631348 11.8384983162 25.47 ab
58354.8394608 kst 147.597983949 11.9402795413 25.47 ab
58355.0894608 kst 119.14134931 12.0356451695 25.47 ab
58355.3394608 kst 143.629860907 12.1249183921 25.47 ab
58355.5894608 kst 158.834536781 12.2085119709 25.47 ab
58355.8394608 kst 142.788733135 12.2868191627 25.47 ab
58356.0894608 kst 170.474161173 12.3602187916 25.47 ab
58356.3394608 kst 172.554734873 12.428754672 25.47 ab
58356.5894608 kst 137.179603931 12.4921333448 25.47 ab
58356.8394608 kst 150.394493266 12.5500521894 25.47 ab
58357.0894608 kst 172.567500422 12.6022180767 25.47 ab
58357.3394608 kst 163.251199736 12.6489736894 25.47 ab
58357.5894608 kst 181.067171039 12.6904546929 25.47 ab
58357.8394608 kst 187.365422231 12.7264366495 25.47 ab
58358.0894608 kst 143.889357498 12.7566907315 25.47 ab
58358.3394608 kst 176.720589434 12.7808974685 25.47 ab
58358.5894608 kst 167.778426413 12.7988497177 25.47 ab
58358.8394608 kst 188.357151711 12.8112371663 25.47 ab
58359.0894608 kst 168.269623279 12.8188169808 25.47 ab
58359.3394608 kst 178.928684365 12.8223385176 25.47 ab
58359.5894608 kst 171.805046688 12.8214719362 25.47 ab
58359.8394608 kst 189.040931557 12.8158210916 25.47 ab
58360.0894608 kst 198.001116997 12.8060284594 25.47 ab
58360.3394608 kst 168.951942686 12.792734011 25.47 ab
58360.5894608 kst 156.572505446 12.7764577623 25.47 ab
58360.8394608 kst 162.664352829 12.7566972818 25.47 ab
58361.0894608 kst 173.714421785 12.7334113466 25.47 ab
58361.3394608 kst 156.005662375 12.7067450132 25.47 ab
58361.5894608 kst 134.588113113 12.6768417755 25.47 ab
58361.8394608 kst 132.659416009 12.6436352371 25.47 ab
58362.0894608 kst 162.323416164 12.6069380965 25.47 ab
58362.3394608 kst 168.407712998 12.5669354532 25.47 ab
58362.5894608 kst 153.620074082 12.5238184299 25.47 ab
58362.8394608 kst 138.219458692 12.4777548602 25.47 ab
58363.0894608 kst 135.042524248 12.4284998005 25.47 ab
58363.3394608 kst 132.215256017 12.3760301216 25.47 ab
58363.5894608 kst 166.219057813 12.3204708622 25.47 ab
58363.8394608 kst 140.193096804 12.2619469275 25.47 ab
58364.0894608 kst 156.895720264 12.2004453764 25.47 ab
58364.3394608 kst 126.01131306 12.1357129204 25.47 ab
58364.5894608 kst 152.707469149 12.0678741807 25.47 ab
58364.8394608 kst 143.552005325 11.9970785314 25.47 ab
58365.0894608 kst 118.981814094 11.9234715243 25.47 ab
58365.3394608 kst 148.535078537 11.846847796 25.47 ab
58365.5894608 kst 137.033636116 11.7671066962 25.47 ab
58365.8394608 kst 144.410840168 11.6843526717 25.47 ab
58366.0894608 kst 133.667195611 11.5986907472 25.47 ab
58366.3394608 kst 110.630251569 11.5101556278 25.47 ab
58366.5894608 kst 138.281169467 11.4184917327 25.47 ab
58366.8394608 kst 104.37147254 11.3237017344 25.47 ab
58367.0894608 kst 117.035749012 11.2258286291 25.47 ab
58367.3394608 kst 153.573766838 11.1249143384 25.47 ab
58367.5894608 kst 122.117012477 11.0195124512 25.47 ab
58367.8394608 kst 111.618079816 10.9095299482 25.47 ab
58368.0894608 kst 106.382016148 10.797230957 25.47 ab
58368.3394608 kst 125.130266054 10.6849720874 25.47 ab
58368.5894608 kst 104.762256724 10.574687294 25.47 ab
58368.8394608 kst 126.081010956 10.4640254597 25.47 ab
58369.0894608 kst 113.416249116 10.3534328019 25.47 ab
58369.3394608 kst 127.754320386 10.2443834592 25.47 ab
58369.5894608 kst 99.2406711588 10.1384145236 25.47 ab
58369.8394608 kst 109.588409835 10.0362449672 25.47 ab
58370.0894608 kst 101.25829146 9.93695854697 25.47 ab
58370.3394608 kst 121.809692384 9.84043159825 25.47 ab
58370.5894608 kst 78.7870908582 9.74655781267 25.47 ab
58370.8394608 kst 86.7559593284 9.65524121663 25.47 ab
58371.0894608 kst 103.809171638 9.56671016679 25.47 ab
58371.3394608 kst 89.629772087 9.48105083167 25.47 ab
58371.5894608 kst 96.8932278341 9.39823066941 25.47 ab
58371.8394608 kst 91.8540446037 9.31821336609 25.47 ab
58372.0894608 kst 96.1245354758 9.24108418158 25.47 ab
58372.3394608 kst 88.1520385429 9.16710876246 25.47 ab
58372.5894608 kst 90.8710150833 9.09613935293 25.47 ab
58372.8394608 kst 66.7690717482 9.02799382756 25.47 ab
58373.0894608 kst 80.821431657 8.96250161859 25.47 ab
58373.3394608 kst 93.7057878914 8.90081243172 25.47 ab
58373.5894608 kst 74.380313158 8.84266820967 25.47 ab
58373.8394608 kst 88.7693053808 8.78660164518 25.47 ab
58374.0894608 kst 82.6772081938 8.73110531391 25.47 ab
58374.3394608 kst 83.4883274432 8.67509477136 25.47 ab
58374.5894608 kst 71.9068325879 8.61980101051 25.47 ab
58374.8394608 kst 70.7713606537 8.5652078639 25.47 ab
58375.0894608 kst 60.6247868066 8.51102602905 25.47 ab
58375.3394608 kst 65.5616986769 8.45695869142 25.47 ab
58375.5894608 kst 74.9260354408 8.40296037042 25.47 ab
58375.8394608 kst 78.1669595689 8.3492237596 25.47 ab
58376.0894608 kst 66.8298067214 8.29577458718 25.47 ab
58376.3394608 kst 64.663800269 8.24263909972 25.47 ab
58376.5894608 kst 73.228228106 8.18983509732 25.47 ab
58376.8394608 kst 75.6058223216 8.13731818689 25.47 ab
58377.0894608 kst 58.8265558182 8.08512801266 25.47 ab
58377.3394608 kst 65.7927511203 8.03332756415 25.47 ab
58377.5894608 kst 53.8644753947 7.98198141451 25.47 ab
58377.8394608 kst 57.3889088602 7.93105413588 25.47 ab
58378.0894608 kst 66.8971853094 7.8804755164 25.47 ab
58378.3394608 kst 68.3473238142 7.83040290807 25.47 ab
58378.5894608 kst 59.3999229045 7.78100241722 25.47 ab
58378.8394608 kst 50.336748012 7.73242854245 25.47 ab
58379.0894608 kst 62.3227050644 7.68452450975 25.47 ab
58379.3394608 kst 58.4407987488 7.63732632737 25.47 ab
58379.5894608 kst 59.0495909979 7.59100354039 25.47 ab
58379.8394608 kst 47.9681719095 7.54572958806 25.47 ab
58380.0894608 kst 58.0248285672 7.50158495534 25.47 ab
58380.3394608 kst 51.3523388558 7.4584258532 25.47 ab
58380.5894608 kst 52.0667413045 7.4163556277 25.47 ab
58380.8394608 kst 44.7146570713 7.37549957847 25.47 ab
58381.0894608 kst 60.814543274 7.33598383501 25.47 ab
58381.3394608 kst 51.6755800473 7.29778778805 25.47 ab
58381.5894608 kst 54.9638862438 7.26089091613 25.47 ab
58381.8394608 kst 60.3849569284 7.22535324684 25.47 ab
58382.0894608 kst 69.0131317441 7.19123524582 25.47 ab
58382.3394608 kst 47.234669263 7.15889518467 25.47 ab
58382.5894608 kst 60.9269592384 7.12930135223 25.47 ab
58382.8394608 kst 57.501642774 7.10117535114 25.47 ab
58383.0894608 kst 53.6930020064 7.07293658332 25.47 ab
58383.3394608 kst 45.3943119181 7.04297879162 25.47 ab
58383.5894608 kst 37.6377918087 7.01148859165 25.47 ab
58383.8394608 kst 46.9194456868 6.97946279204 25.47 ab
58384.0894608 kst 56.656732238 6.94611178272 25.47 ab
58384.3394608 kst 42.1144576312 6.91062790037 25.47 ab
58384.5894608 kst 52.4290012581 6.87225948894 25.47 ab
58384.8394608 kst 39.2451635121 6.83121664248 25.47 ab
58385.0894608 kst 44.318871024 6.78781765748 25.47 ab
58385.3394608 kst 39.3003282414 6.74226939473 25.47 ab
58385.5894608 kst 56.5878817841 6.69478213532 25.47 ab
58385.8394608 kst 49.9232681407 6.6453104776 25.47 ab
58386.0894608 kst 52.6210034497 6.59355883322 25.47 ab
58386.3394608 kst 43.3468068476 6.53971601606 25.47 ab
58386.5894608 kst 34.4946349167 6.4839879838 25.47 ab
58386.8394608 kst 40.1538731475 6.42653772889 25.47 ab
58387.0894608 kst 42.1724243691 6.36661998538 25.47 ab
58387.3394608 kst 29.7682472791 6.30448190932 25.47 ab
58387.5894608 kst 41.0822806289 6.24090168125 25.47 ab
58387.8394608 kst 51.7721019139 6.17668805132 25.47 ab
58388.0894608 kst 23.290638297 6.11196024002 25.47 ab
58388.3394608 kst 35.2457974289 6.0454518277 25.47 ab
58388.5894608 kst 26.2800120577 5.97824852108 25.47 ab
58388.8394608 kst 22.4703984021 5.91166992206 25.47 ab
58389.0894608 kst 38.8949985914 5.84708599255 25.47 ab
58389.3394608 kst 29.4831038293 5.78448646471 25.47 ab
58389.5894608 kst 30.7937783858 5.72321395133 25.47 ab
58389.8394608 kst 33.8220751536 5.66317986858 25.47 ab
58390.0894608 kst 33.9980158294 5.60429097535 25.47 ab
58390.3394608 kst 35.3933428041 5.54651137049 25.47 ab
58390.5894608 kst 36.3113406082 5.49006824465 25.47 ab
58390.8394608 kst 32.3845957852 5.4348896155 25.47 ab
58391.0894608 kst 35.5431251975 5.38084676236 25.47 ab
58391.3394608 kst 32.1444992577 5.32780495746 25.47 ab
58391.5894608 kst 25.2757739606 5.27584653311 25.47 ab
58391.8394608 kst 30.034588571 5.22511722089 25.47 ab
58392.0894608 kst 31.9240908065 5.17550496304 25.47 ab
58392.3394608 kst 37.7278322374 5.12689204129 25.47 ab
58392.5894608 kst 33.9058532259 5.07918628059 25.47 ab
58392.8394608 kst 30.9511575852 5.03258435679 25.47 ab
58393.0894608 kst 28.7017527227 4.98707146969 25.47 ab
58393.3394608 kst 31.4330547155 4.94254950335 25.47 ab
58393.5894608 kst 20.9034454723 4.89891613212 25.47 ab
58393.8394608 kst 24.9451671675 4.85614259673 25.47 ab
58394.0894608 kst 32.1594546518 4.81434767086 25.47 ab
58394.3394608 kst 29.0038085811 4.77355691776 25.47 ab
58394.5894608 kst 20.3950438613 4.73379240251 25.47 ab
58394.8394608 kst 30.4470112523 4.69507759984 25.47 ab
58395.0894608 kst 23.2428846299 4.65746143291 25.47 ab
58395.3394608 kst 21.9624250869 4.62095807568 25.47 ab
58395.5894608 kst 25.7602653951 4.58556428521 25.47 ab
58395.8394608 kst 23.0246870426 4.5512759046 25.47 ab
58396.0894608 kst 19.2661323509 4.51812701606 25.47 ab
58396.3394608 kst 26.4052583625 4.48621228503 25.47 ab
58396.5894608 kst 26.3122400833 4.45547155335 25.47 ab
58396.8394608 kst 14.20455305 4.42583018972 25.47 ab
58397.0894608 kst 19.5180975202 4.39721177126 25.47 ab
58397.3394608 kst 20.4886366613 4.36970317899 25.47 ab
58397.5894608 kst 21.0684906039 4.34335632355 25.47 ab
58397.8394608 kst 19.338039529 4.31810654851 25.47 ab
58398.0894608 kst 20.8237065461 4.2938868017 25.47 ab
58398.3394608 kst 22.1737315172 4.27066076069 25.47 ab
58398.5894608 kst 17.772591322 4.24854972881 25.47 ab
58398.8394608 kst 17.6847307953 4.22752423635 25.47 ab
58399.0894608 kst 18.4213760466 4.20752402695 25.47 ab
58399.3394608 kst 13.8097048912 4.18848691006 25.47 ab
58399.5894608 kst 9.37338416685 4.17044871804 25.47 ab
58399.8394608 kst 13.785683281 4.153475744 25.47 ab
58400.0894608 kst 19.6881351975 4.13751211242 25.47 ab
58400.3394608 kst 12.011382651 4.12249992939 25.47 ab
58400.5894608 kst 17.3729103612 4.10839365542 25.47 ab
58400.8394608 kst 15.012473439 4.09528480255 25.47 ab
