@c 0.101086102935
@x1 3.03944955207
@x0 0.000726710294972
@z 0.0713026369716
@t0 58341.3658551
time band flux fluxerr zp zpsys
58332.3658551 smg 1298.30079576 789.93321743 26.1271639435 ab
58337.3658551 smg 3676.06711292 855.831952192 27.29436706 ab
58342.3658551 smg 1462.65873218 607.846383229 26.474490584 ab
58347.3658551 smg 1658.29119399 3509.72504017 25.4790502902 ab
58352.3658551 smg 1093.83345093 228.479014736 26.3195169592 ab
58357.3658551 smg 4294.44354418 6261.69428454 28.376128096 ab
58362.3658551 smg 3645.70651355 158.238844502 28.108318332 ab
58366.3658551 smg 154.691796497 2603.80689527 26.5121727075 ab
58371.3658551 smg -1533.47473341 1393.58314124 26.6486903912 ab
58375.3658551 smg -10552.0764234 5655.27917995 26.9449790313 ab
58380.3658551 smg 94.8791696368 418.303161694 26.6206114259 ab
58384.3658551 smg -8160.46800547 2980.52133907 26.2538158983 ab
58389.3658551 smg 1172.60231068 806.063702708 27.8014435499 ab
58393.3658551 smg -264.110999633 487.519389181 26.4902468457 ab
58332.365994 smr 508.407125312 789.404664083 24.6917661024 ab
58337.365994 smr 809.402096356 853.944172367 25.5178849831 ab
58342.365994 smr -1030.31568692 606.764259349 25.0863299426 ab
58347.365994 smr 3557.88669188 3509.70393538 25.1186558894 ab
58352.365994 smr 219.140925999 226.476960096 24.7739511754 ab
58357.365994 smr -1795.26411577 6261.23885699 25.234917996 ab
58362.365994 smr 345.68433839 148.450359722 25.5238900073 ab
58366.365994 smr 2261.90310149 2603.73547782 24.6921937986 ab
58371.365994 smr 254.622989496 1393.58622643 25.7031529283 ab
58375.365994 smr -2668.61466655 5655.2726148 25.6833489065 ab
58380.365994 smr -271.949695217 418.141717414 24.7456938277 ab
58384.365994 smr -3923.13071406 2980.51409966 24.8627151565 ab
58389.365994 smr 1177.80828896 805.748741054 24.9688213234 ab
58393.365994 smr 640.27418833 487.444124816 25.0113857506 ab
58332.3661329 smi 2796.23353728 790.959007064 27.4228449913 ab
58337.3661329 smi 401.075459371 854.004373297 26.1467503235 ab
58342.3661329 smi 2249.02631931 607.151542826 26.420117602 ab
58347.3661329 smi 2163.56485832 3509.88932864 27.101845509 ab
58352.3661329 smi 3292.66939537 233.043908467 27.9463031473 ab
58357.3661329 smi -1922.08942716 6261.24118365 26.2082623219 ab
58362.3661329 smi 964.91370252 150.906074914 27.3559656949 ab
58366.3661329 smi 5003.9336586 2603.82814879 26.6332235906 ab
58371.3661329 smi 3874.20070828 1394.01472472 27.2246475299 ab
58375.3661329 smi 1404.59628921 5655.29982893 26.3059811229 ab
58380.3661329 smi 221.917187148 418.914686049 26.5732964468 ab
58384.3661329 smi 4162.05025031 2980.5685613 26.2551481155 ab
58389.3661329 smi 357.257889895 805.788038788 25.5315427416 ab
58393.3661329 smi -189.403213209 488.060924519 27.200863712 ab
