@c -0.586273646855
@x1 -6.59074981351
@x0 0.000563388999998
@z 0.0804564757556
@t0 58359.9577706
time band flux fluxerr zp zpsys
58344.9577706 smg 323.169634946 1010.81234471 26.424211918 ab
58349.9577706 smg 796.022032027 1275.71353504 26.2052622814 ab
58353.9577706 smg -1369.50367418 4640.42946794 25.7238599625 ab
58357.9577706 smg 2235.63446692 274.801237527 26.852619884 ab
58361.9577706 smg 1979.74267929 1674.23887276 27.6326368479 ab
58366.9577706 smg 2485.46630623 995.004875105 27.652316211 ab
58370.9577706 smg -1018.76237771 1472.1068949 27.0300944044 ab
58374.9577706 smg -1729.74626017 3610.622046 25.231618271 ab
58378.9577706 smg 1809.14183922 915.929813297 25.7668501421 ab
58382.9577706 smg -442.104550021 465.440546323 27.5438878971 ab
58387.9577706 smg 550.713601701 846.913969662 26.3244227086 ab
58344.9579095 smr 1833.20325584 1010.66216305 24.8248464324 ab
58349.9579095 smr -48.6941811316 1275.6750006 24.7493096031 ab
58353.9579095 smr -5496.15736308 4640.39876217 24.371035686 ab
58357.9579095 smr 167.449029656 271.891517932 25.0138036737 ab
58361.9579095 smr 3308.0487776 1673.1908897 24.393265666 ab
58366.9579095 smr 1724.60657113 993.96228514 24.8310218553 ab
58370.9579095 smr 396.0737571 1471.97414169 25.0992500093 ab
58374.9579095 smr 2450.08350419 3610.64260512 25.7402913085 ab
58378.9579095 smr 501.099595569 915.983437122 25.6955921179 ab
58382.9579095 smr -147.744678528 465.322027554 24.8840084453 ab
58387.9579095 smr -1550.35033001 846.893169815 25.39691783 ab
58344.9580484 smi 440.969211236 1010.70773801 27.0858089488 ab
58349.9580484 smi 30.4546596992 1275.69896049 26.1705100004 ab
58353.9580484 smi 7766.46264383 4640.48238336 27.4149386595 ab
58357.9580484 smi 2127.33722292 275.636055819 28.1692929019 ab
58361.9580484 smi -928.464880301 1673.39932234 27.1941425955 ab
58366.9580484 smi 220.94644066 994.038022452 26.3754605514 ab
58370.9580484 smi 2689.27546913 1472.0497419 27.1507413771 ab
58374.9580484 smi -1595.17275281 3610.7206282 27.6842341962 ab
58378.9580484 smi -1234.1391234 915.987657357 25.7317469929 ab
58382.9580484 smi 313.423670819 465.853372674 27.1423844257 ab
58387.9580484 smi -80.9797452169 847.227193763 27.8397639879 ab
