@c 0.0813584833361
@x1 -3.45419678385
@x0 0.000247193408616
@z 0.118297459611
@t0 58348.3267883
time band flux fluxerr zp zpsys
58333.3267883 smg -1228.65254546 976.090519286 26.6117197399 ab
58337.3267883 smg -444.296052397 692.939014017 27.2743687676 ab
58342.3267883 smg 1258.31205456 1139.74500508 27.3291177323 ab
58347.3267883 smg 1606.6451512 53.1591079441 27.5727861592 ab
58351.3267883 smg 3375.20982555 1240.63760852 27.7704214885 ab
58356.3267883 smg -4502.5196463 8326.36766157 26.6980820079 ab
58360.3267883 smg -4012.90423794 2928.88283965 26.6854540617 ab
58365.3267883 smg -8802.39730751 3594.35846464 27.0188406961 ab
58369.3267883 smg 636.037335391 968.562315692 27.4383039333 ab
58373.3267883 smg -2124.35295525 3899.5303656 28.3060107621 ab
58333.3269272 smr -766.242897117 976.065678678 25.0957148665 ab
58337.3269272 smr 574.986068474 692.847107269 24.7071439947 ab
58342.3269272 smr 1301.65625134 1139.37224831 24.675141684 ab
58347.3269272 smr 142.443452666 36.69476615 25.3789799533 ab
58351.3269272 smr 273.654263438 1239.93571007 24.9105741107 ab
58356.3269272 smr 9243.87905633 8326.35263587 25.5398913683 ab
58360.3269272 smr 3836.04985291 2928.85229803 25.0212688211 ab
58365.3269272 smr 2239.30556951 3594.3448878 25.0569529616 ab
58369.3269272 smr 419.643059314 968.528173937 25.1836907354 ab
58373.3269272 smr 2056.10451966 3899.50692994 25.1916667553 ab
58333.327066 smi 1388.57107657 976.068755203 26.8540888218 ab
58337.327066 smi -376.211283507 692.980379964 26.5618438431 ab
58342.327066 smi 2543.39252139 1140.14777813 27.840678108 ab
58347.327066 smi 2430.49173016 59.0478186192 27.9081573346 ab
58351.327066 smi -1267.14739435 1239.93388544 25.0394641132 ab
58356.327066 smi -5402.91492042 8326.37753963 26.899994141 ab
58360.327066 smi -244.599836925 2928.95944856 27.3983439301 ab
58365.327066 smi -994.69280789 3594.40411666 26.8889237618 ab
58369.327066 smi -95.5821459391 968.644277005 26.3457474805 ab
58373.327066 smi 2984.65544285 3899.56848662 26.9736243949 ab
