@c -0.100286964495
@x1 3.64886168707
@x0 0.0123488426616
@z 0.0179796386536
@t0 58409.4367191
time band flux fluxerr zp zpsys
58398.4367191 smg 12257.8625163 7180.96886582 26.6365154916 ab
58403.4367191 smg 17328.6141831 1405.82346441 25.8251289354 ab
58408.4367191 smg 34113.7335383 1770.70052168 26.6959494252 ab
58413.4367191 smg 56691.2253215 3212.87186457 27.2680943614 ab
58417.4367191 smg 23751.2196946 261.691585759 26.4246708351 ab
58421.4367191 smg 21945.1516317 698.814536148 26.4896391063 ab
58398.436858 smr 15609.5390429 7179.91393166 25.6944251715 ab
58403.436858 smr 6194.66895587 1402.31958851 25.0628825155 ab
58408.436858 smr 5693.59688993 1763.00678789 25.3122413135 ab
58413.436858 smr 8261.11374528 3205.21137754 25.1971296234 ab
58417.436858 smr 8373.56167306 229.759341334 25.4689500186 ab
58421.436858 smr 5281.43898139 686.187015229 24.9549554694 ab
58398.4369969 smi 34752.4904817 7182.47087104 28.0505922233 ab
58403.4369969 smi 37601.0761291 1413.98975067 27.6905561526 ab
58408.4369969 smi 13842.1607072 1764.59205434 26.6077376791 ab
58413.4369969 smi 30324.0520739 3208.42745174 27.6142382616 ab
58417.4369969 smi 13086.7711367 240.211316991 26.9041149409 ab
58421.4369969 smi 5652.93659111 687.871833753 26.4297707694 ab
