@c 0.0876005766203
@x1 2.61758023152
@x0 0.000530188292485
@z 0.0828000873047
@t0 58574.6143735
time band flux fluxerr zp zpsys
58571.6143735 smg 1809.96724331 52.6567303836 26.7199508858 ab
58572.6143735 smg 4171.00313858 1306.44346835 27.7687679381 ab
58573.6143735 smg 833.445838153 1011.67205766 26.4243963595 ab
58574.6143735 smg 8728.96399465 110.544456617 28.5161407252 ab
58576.6143735 smg 4005.21411847 6672.15539968 27.0222480915 ab
58577.6143735 smg 750.577899034 994.932639432 25.8357025723 ab
58579.6143735 smg 1657.90402038 477.36809717 26.802986279 ab
58580.6143735 smg 4041.16681058 2887.65229613 26.9379815638 ab
58581.6143735 smg 3747.9208411 529.181438617 27.447526822 ab
58582.6143735 smg 2735.58668599 1853.23363834 25.8601982968 ab
58584.6143735 smg -2074.72094299 2039.1538668 25.844081527 ab
58586.6143735 smg 3363.77032402 657.681817175 27.3019614393 ab
58588.6143735 smg -248.538151397 1542.40291944 26.1020593171 ab
58590.6143735 smg 1753.61777033 865.954329975 27.7927233659 ab
58592.6143735 smg -488.179183576 2444.75764823 26.1837239376 ab
58594.6143735 smg 2569.82820898 533.4343216 27.9713337425 ab
58595.6143735 smg 847.120055518 1550.93712545 27.0997564149 ab
58596.6143735 smg -178.858970012 765.428963584 26.3242252921 ab
58597.6143735 smg 400.633364498 494.142945213 26.3457964702 ab
58598.6143735 smg -314.068813947 1977.77529619 27.2855683131 ab
58599.6143735 smg 2189.53558578 1153.86639679 27.0598984609 ab
58600.6143735 smg 3207.9739632 4142.69361176 26.4412678938 ab
58601.6143735 smg 1367.20771173 1071.86187215 27.2902220201 ab
58602.6143735 smg 831.253887156 864.067338676 26.8531449846 ab
58603.6143735 smg 148.69132553 627.292042995 27.5904210835 ab
58571.6145124 smr 296.56656744 36.1935514308 24.6390376323 ab
58572.6145124 smr -2464.17230201 1304.85988079 25.0614282574 ab
58573.6145124 smr -226.024049775 1011.2004332 24.9919265491 ab
58574.6145124 smr 303.523245756 59.7016847908 24.6275696343 ab
58576.6145124 smr 840.202852265 6672.01316542 24.8172026798 ab
58577.6145124 smr -36.1501800512 994.759350244 25.0719544533 ab
58579.6145124 smr 698.636221625 475.843684086 24.5893099952 ab
58580.6145124 smr -2695.10926395 2887.39407646 25.0964455375 ab
58581.6145124 smr 667.473595732 526.952950613 25.5256806887 ab
58582.6145124 smr 1543.15884848 1853.20077244 25.5156681228 ab
58584.6145124 smr 1144.13179846 2039.10471954 25.2663621797 ab
58586.6145124 smr -1344.63719821 656.367429148 25.2113384544 ab
58588.6145124 smr -1320.90454048 1542.28392033 24.9291349191 ab
58590.6145124 smr 324.833866972 864.623680627 24.8311730515 ab
58592.6145124 smr -3194.5395087 2444.69174796 24.800134092 ab
58594.6145124 smr 630.817328914 531.605317103 25.4876008008 ab
58595.6145124 smr 2231.4528491 1550.76491842 25.7768412809 ab
58596.6145124 smr 859.100131807 765.310535408 25.2346340293 ab
58597.6145124 smr -147.635401431 494.132054166 25.7508079774 ab
58598.6145124 smr 1022.53816427 1977.60539801 25.0340138511 ab
58599.6145124 smr 2971.83614095 1153.66751101 25.0355378005 ab
58600.6145124 smr 1727.92258744 4142.6791644 25.2015996041 ab
58601.6145124 smr -375.091547901 1071.58265897 24.4998235752 ab
58602.6145124 smr 1011.43517933 863.924852503 25.1272899372 ab
58603.6145124 smr 206.386557435 626.779191545 25.1464309144 ab
58571.6146513 smi 820.495726106 42.7154108454 26.3835826253 ab
58572.6146513 smi 1426.84655264 1304.85521059 25.5857816588 ab
58573.6146513 smi 1958.28677884 1011.4680721 26.588508266 ab
58574.6146513 smi 662.808074531 62.9650139278 26.2433196032 ab
58576.6146513 smi 6734.60919767 6672.07383696 26.8052605719 ab
58577.6146513 smi 2119.45132824 995.271180302 27.0536332419 ab
58579.6146513 smi 731.789374039 476.61022842 26.6678674729 ab
58580.6146513 smi 1708.79473184 2887.41544382 25.9661527759 ab
58581.6146513 smi 654.906532577 527.878142082 27.2028096826 ab
58582.6146513 smi -838.7422992 1853.13764114 25.4573307622 ab
58584.6146513 smi -485.947146801 2039.16658808 26.4043681423 ab
58586.6146513 smi 2000.93252036 656.785901942 26.8967236762 ab
58588.6146513 smi 2025.95984867 1542.47409097 27.0155885165 ab
58590.6146513 smi 2268.88349125 865.08623025 27.4009228862 ab
58592.6146513 smi 1566.3617158 2444.74563904 26.5589520639 ab
58594.6146513 smi 1850.29534241 532.407139987 27.5773380485 ab
58595.6146513 smi 514.552910939 1550.71779526 25.9392192711 ab
58596.6146513 smi 2389.84170547 766.183031859 27.8849312413 ab
58597.6146513 smi 1092.63211249 494.576960798 27.1793914451 ab
58598.6146513 smi 589.816263227 1977.68759012 26.6576302439 ab
58599.6146513 smi 2011.51976346 1153.98265756 27.2235714461 ab
58600.6146513 smi 113.736285976 4142.73018905 26.7709355678 ab
58601.6146513 smi 871.834143467 1071.66226383 25.8074124292 ab
58602.6146513 smi 760.614360952 864.109315337 26.3828318918 ab
58603.6146513 smi 114.691433253 627.112133387 26.5159340009 ab
