@c 0.284907140932
@x1 -4.82753782849
@x0 0.00137240121049
@z 0.0525861629978
@t0 58340.064236
time band flux fluxerr zp zpsys
58332.064236 smg 634.809026394 3116.69269391 26.6619473637 ab
58333.064236 smg 774.596508571 2745.89058271 26.1742442209 ab
58334.064236 smg 1913.5762615 453.222517693 26.284927499 ab
58335.064236 smg 2078.65179854 568.117857322 26.0855644893 ab
58337.064236 smg 7305.18498756 517.525963536 27.4263071459 ab
58339.064236 smg 3731.83230432 2585.82859248 25.843378233 ab
58340.064236 smg 4030.28574775 1041.15619301 26.7181945041 ab
58341.064236 smg 5588.36347477 549.827516842 26.7016482093 ab
58343.064236 smg 1258.47116261 2309.47776905 26.1819453738 ab
58344.064236 smg 4996.48581868 1725.45807982 27.214891945 ab
58345.064236 smg 7445.96486379 2038.72275123 27.6219167893 ab
58346.064236 smg 690.721593315 315.02159289 25.468667748 ab
58347.064236 smg 4170.31810585 1725.36766738 27.254575421 ab
58348.064236 smg 3241.14969884 137.9616528 26.9033992112 ab
58349.064236 smg 4913.12324776 633.250397157 27.3432977733 ab
58351.064236 smg 1574.00377024 503.198072489 26.5471542674 ab
58353.064236 smg 4559.21562034 1594.39714881 27.7169253528 ab
58355.064236 smg -580.743066885 1250.65124058 27.4010692534 ab
58356.064236 smg 5857.85496594 2840.53488659 27.7010240705 ab
58357.064236 smg -1872.57876693 1350.75979718 26.2415302055 ab
58358.064236 smg -753.593261108 1163.40040287 26.3223350222 ab
58360.064236 smg 352.190716293 695.528396194 26.9468256785 ab
58362.064236 smg 464.091399537 703.620683093 27.3778522774 ab
58363.064236 smg 812.651935374 336.410029426 27.9462967397 ab
58364.064236 smg 885.823962902 3481.73880456 26.8067280217 ab
58366.064236 smg -22.6549575918 257.396385293 25.967810822 ab
58367.064236 smg -1178.08376126 2184.71031141 27.2658671764 ab
58369.064236 smg -1102.77017733 1405.11214622 26.6310606454 ab
58371.064236 smg -1977.68468922 1808.77917635 26.9193018195 ab
58372.064236 smg 979.061998387 1551.62371099 27.1831087843 ab
58374.064236 smg 1219.01207293 1240.92480527 27.9155953979 ab
58376.064236 smg -214.84262798 439.163117186 26.0798889699 ab
58377.064236 smg 1123.16617314 1811.04118447 25.8361946545 ab
58379.064236 smg 1795.21831376 1185.2759121 25.660878909 ab
58381.064236 smg 435.28705487 926.728995356 26.2396203014 ab
58383.064236 smg 166.166619254 1033.12302937 27.0778241947 ab
58385.064236 smg -2229.24425056 3131.67607653 26.5608223586 ab
58332.0643748 smr -141.27523886 3116.65027761 25.7819076074 ab
58333.0643748 smr -975.460849968 2745.77355672 24.8185786496 ab
58334.0643748 smr 1697.63395423 452.59289515 25.4101000964 ab
58335.0643748 smr 1940.97176529 567.686271012 25.346963127 ab
58337.0643748 smr 1214.35376707 511.199142329 25.0550129515 ab
58339.0643748 smr -291.930042922 2585.60649535 24.6476153318 ab
58340.0643748 smr 334.977749428 1039.46943992 24.8157248054 ab
58341.0643748 smr 269.191996437 546.690029117 24.7622877612 ab
58343.0643748 smr 3862.12844003 2309.16879314 24.9478398406 ab
58344.0643748 smr 626.107337238 1724.21595339 25.5693700114 ab
58345.0643748 smr 1120.05884954 2036.99780423 25.2584056357 ab
58346.0643748 smr 1367.51886589 315.410480984 25.2513777133 ab
58347.0643748 smr 2010.8175987 1724.58960662 25.9584267772 ab
58348.0643748 smr 774.18373625 129.295669151 25.0562239792 ab
58349.0643748 smr 2677.67569478 631.40613056 25.9840910047 ab
58351.0643748 smr 1626.26101912 502.755480665 25.5786603747 ab
58353.0643748 smr 1029.34458586 1593.49637438 24.9613024809 ab
58355.0643748 smr -1014.64201639 1250.3206156 25.6089846938 ab
58356.0643748 smr -1682.50936356 2840.25030128 24.7795953616 ab
58357.0643748 smr -163.265346008 1350.96592338 25.5619636648 ab
58358.0643748 smr 275.534784884 1163.49492421 25.0523244505 ab
58360.0643748 smr 327.564648485 695.8697554 25.594898395 ab
58362.0643748 smr 446.463527649 703.623067081 25.1495831517 ab
58363.0643748 smr 377.197007298 336.181641576 25.539643135 ab
58364.0643748 smr 3116.69532641 3481.7571164 25.0157285805 ab
58366.0643748 smr 340.945325735 257.757418261 24.8910024181 ab
58367.0643748 smr -584.552008001 2184.73485481 25.205271095 ab
58369.0643748 smr -995.833119617 1405.17937253 25.4653221338 ab
58371.0643748 smr 1303.41420559 1808.79133192 24.9717265307 ab
58372.0643748 smr 958.278914289 1551.61102878 24.2174366835 ab
58374.0643748 smr -846.728222775 1240.83454382 24.9693325857 ab
58376.0643748 smr 692.862036304 439.107656344 24.6967370721 ab
58377.0643748 smr -4196.01529714 1811.02973757 24.7069340333 ab
58379.0643748 smr -208.463903347 1185.2696267 25.3475863575 ab
58381.0643748 smr 290.23515044 926.718797048 25.615090818 ab
58383.0643748 smr -375.815164712 1033.06104631 25.5682795845 ab
58385.0643748 smr 1553.93996778 3131.6701184 25.3836566978 ab
58332.0645137 smi 4135.84796361 3116.7377785 26.170479612 ab
58333.0645137 smi -1413.73053051 2746.1272889 26.4104232578 ab
58334.0645137 smi 2429.11880697 453.722565723 26.0738736058 ab
58335.0645137 smi 2304.04775906 569.030967137 26.2216272652 ab
58337.0645137 smi 7376.01700501 517.129686968 27.154134117 ab
58339.0645137 smi 4225.0023957 2586.17832464 26.422520528 ab
58340.0645137 smi 2873.48840302 1039.92423722 25.7070312652 ab
58341.0645137 smi 6164.43428946 552.001143574 27.080849366 ab
58343.0645137 smi 5616.04174688 2309.74649635 26.507198401 ab
58344.0645137 smi 782.036421741 1724.20255471 25.7950886313 ab
58345.0645137 smi 2195.75910254 2037.4770787 26.4737682184 ab
58346.0645137 smi 5095.37393029 321.237857214 26.995855858 ab
58347.0645137 smi 4035.79094356 1725.18819972 26.9623577646 ab
58348.0645137 smi 978.6200176 130.305739268 25.6840979609 ab
58349.0645137 smi 1466.05285666 631.352334551 26.3449648941 ab
58351.0645137 smi 1868.23193619 503.885950446 26.766865847 ab
58353.0645137 smi -949.985757037 1593.49969622 25.2865168791 ab
58355.0645137 smi -151.444214729 1250.37934225 25.8808289839 ab
58356.0645137 smi 10394.7025358 2842.12914566 28.2088930486 ab
58357.0645137 smi -1565.46754965 1351.03865476 25.7443781163 ab
58358.0645137 smi 296.642096563 1163.71190424 25.6259168899 ab
58360.0645137 smi 3754.59826519 697.175396791 26.5548251488 ab
58362.0645137 smi 1897.89434082 703.925892666 25.4054701459 ab
58363.0645137 smi 2543.25998903 339.072031464 26.5141718406 ab
58364.0645137 smi -928.069792026 3481.94355005 26.0677870745 ab
58366.0645137 smi 2042.8335504 261.610712693 26.5732957062 ab
58367.0645137 smi 727.020959456 2185.13175738 26.6007873855 ab
58369.0645137 smi 4172.95939939 1405.39657964 25.9981694393 ab
58371.0645137 smi 2251.55812387 1809.38021649 27.4845100051 ab
58372.0645137 smi 2100.7961258 1552.07173943 27.303057782 ab
58374.0645137 smi 850.9684999 1240.8595857 25.0180485463 ab
58376.0645137 smi 220.683371143 439.268246916 26.3392953484 ab
58377.0645137 smi 149.238145442 1811.1157305 27.4848872019 ab
58379.0645137 smi 928.963950482 1185.27941053 25.9745219122 ab
58381.0645137 smi -429.319546442 926.757304178 26.4856599135 ab
58383.0645137 smi 6.40517319613 1033.24317156 27.4078644889 ab
58385.0645137 smi 1797.10424558 3131.75376289 27.6159086635 ab
