@c -0.250502817806
@x1 -1.31400213708
@x0 0.0018275285543
@z 0.0457945105104
@t0 58364.4471151
time band flux fluxerr zp zpsys
58352.4471151 smg 1457.18524903 572.947028009 26.4528530405 ab
58354.4471151 smg 3181.09489994 865.909155925 27.5736626905 ab
58355.4471151 smg -174.419719266 613.958678203 25.7420892758 ab
58356.4471151 smg 2289.47759988 1698.24903583 26.7773365038 ab
58358.4471151 smg 8694.24743588 96.8376713213 27.5820344329 ab
58359.4471151 smg 11864.1276991 333.102565989 27.8676019332 ab
58361.4471151 smg 5608.7406438 304.167049269 26.7981682776 ab
58362.4471151 smg 8822.73224876 1358.72782103 27.4573471959 ab
58364.4471151 smg 11690.0913481 114.383320202 27.6081855395 ab
58366.4471151 smg 8997.12965247 11056.3741441 26.6066604988 ab
58368.4471151 smg 3086.67408325 1221.57992787 26.198714507 ab
58370.4471151 smg 2005.12319166 763.422399398 26.1243601915 ab
58372.4471151 smg 3600.96668569 2622.0278993 26.5349528474 ab
58373.4471151 smg 12221.5949323 4948.97881886 26.2988237723 ab
58375.4471151 smg 10671.8320466 746.304877857 28.1493731085 ab
58376.4471151 smg 3674.06341978 537.200965852 26.8716821313 ab
58378.4471151 smg -785.056664446 3656.20416476 26.1921916171 ab
58379.4471151 smg 1766.09713941 93.1959916783 26.5764553293 ab
58352.447254 smr -732.556478277 572.47274125 25.3520363121 ab
58354.447254 smr -689.814847878 863.886715976 25.5735309283 ab
58355.447254 smr 653.863876135 613.509613441 25.0982583324 ab
58356.447254 smr 2156.3781428 1697.49300211 25.0882286359 ab
58358.447254 smr 909.856609261 41.0858955751 25.4862421261 ab
58359.447254 smr 845.112672512 314.799321022 24.7485168783 ab
58361.447254 smr 1019.37940314 296.81032915 25.1996271376 ab
58362.447254 smr -1261.12960616 1355.24625504 24.8067190048 ab
58364.447254 smr 724.171026968 44.254914418 24.949071347 ab
58366.447254 smr -18049.3310561 11056.1966082 24.7998947352 ab
58368.447254 smr -311.656088288 1220.58145748 24.5017382752 ab
58370.447254 smr 2593.79030752 762.543090478 25.4851583138 ab
58372.447254 smr 985.04885911 2621.65557732 25.6674158182 ab
58373.447254 smr -468.45717779 4948.88051152 25.9037531887 ab
58375.447254 smr 398.810774022 739.493582837 25.1949421054 ab
58376.447254 smr 819.615916203 534.662570779 24.4978620369 ab
58378.447254 smr 2642.35030201 3656.11034023 25.3969740456 ab
58379.447254 smr 660.331275245 87.3510949382 25.4592977647 ab
58352.4473929 smi 639.266750058 572.744558736 26.580428554 ab
58354.4473929 smi 1115.53093796 863.902576077 25.9426202237 ab
58355.4473929 smi -40.616833593 613.979289422 26.3969252005 ab
58356.4473929 smi -987.780782475 1697.65508517 26.2589802852 ab
58358.4473929 smi 2238.58337725 55.173183907 26.8669153111 ab
58359.4473929 smi 877.940415587 315.335029352 25.7279344343 ab
58361.4473929 smi 664.471597462 296.612694241 25.5489046188 ab
58362.4473929 smi 3299.82749417 1356.68802146 27.5167621844 ab
58364.4473929 smi 2600.0622584 60.9703714833 26.8880868629 ab
58366.4473929 smi -5254.89417072 11056.286592 26.9888691832 ab
58368.4473929 smi 4369.39903664 1222.43582061 27.743709267 ab
58370.4473929 smi 2952.09669048 764.04058345 27.4230753221 ab
58372.4473929 smi 2028.59763375 2621.73327535 26.7588036267 ab
58373.4473929 smi -1313.12478906 4948.8808638 26.6959046194 ab
58375.4473929 smi 1440.3165448 740.008265464 26.882670535 ab
58376.4473929 smi -409.171963758 534.842326888 25.8239300589 ab
58378.4473929 smi -66.0965298644 3656.21582494 26.9697301874 ab
58379.4473929 smi 321.901015733 86.2440658354 25.7728300023 ab
