@c -0.0629293196947
@x1 4.29875489415
@x0 0.0147874560575
@z 0.0164490022439
@t0 58570.9857604
time band flux fluxerr zp zpsys
58558.9857604 smg 18063.7368352 1804.92271334 26.413698657 ab
58560.9857604 smg 45996.8988112 927.782129973 27.0531963564 ab
58562.9857604 smg 19837.4694753 340.538426661 25.929293818 ab
58564.9857604 smg 30137.3981877 787.510820813 26.3171158422 ab
58565.9857604 smg 28173.3046882 265.231993848 26.2448934802 ab
58566.9857604 smg 54762.8892267 3106.99987881 26.9260589477 ab
58567.9857604 smg 80767.5134374 2371.28590327 27.3862753262 ab
58569.9857604 smg 23510.1958307 755.668627513 26.0928960143 ab
58571.9857604 smg 34811.4550625 2182.29518402 26.5039127747 ab
58573.9857604 smg 15501.5333847 709.718722955 25.6395903683 ab
58574.9857604 smg 9269.34757849 1001.61017384 25.1257292829 ab
58575.9857604 smg 19700.3691256 773.271929709 25.9418323042 ab
58577.9857604 smg 33290.3822674 971.011047765 26.6127052373 ab
58579.9857604 smg 39506.8079445 712.36795607 26.7574094013 ab
58581.9857604 smg 33202.1595325 605.30944075 26.6412254378 ab
58582.9857604 smg 36244.6255567 439.265920077 26.7791950502 ab
58583.9857604 smg 89374.4636392 377.551584128 27.8472426557 ab
58584.9857604 smg 68048.3407502 302.427009834 27.6224623688 ab
58586.9857604 smg 69971.0879533 778.176881819 27.775354023 ab
58588.9857604 smg 29201.3589333 178.148974042 26.9202895312 ab
58590.9857604 smg 12553.1236557 1207.19796573 26.0318813182 ab
58591.9857604 smg 26122.5887488 504.545121059 27.042932731 ab
58592.9857604 smg 51320.640287 444.77521763 27.8205555874 ab
58593.9857604 smg 4297.09031995 175.867091188 25.2045302004 ab
58595.9857604 smg 17018.12356 2456.67949783 26.8385406741 ab
58597.9857604 smg 9247.42422257 1816.96911031 25.8994212205 ab
58599.9857604 smg 6787.92724143 6672.21946453 25.966723297 ab
58601.9857604 smg 5448.55402095 3969.96114031 26.0277573366 ab
58602.9857604 smg 29680.2654602 6610.74813533 27.8979126481 ab
58603.9857604 smg 33632.5658341 1283.18687052 27.9875555935 ab
58605.9857604 smg 13166.8878204 537.119829167 27.1341412615 ab
58607.9857604 smg 10757.865593 459.742962034 26.98654477 ab
58608.9857604 smg 4390.24957964 2059.34625206 25.9878445304 ab
58609.9857604 smg 25592.1529155 253.85305755 28.1213471325 ab
58611.9857604 smg 6699.16931231 1544.09139714 26.8917193002 ab
58613.9857604 smg 17903.7893581 2040.38383989 27.8366990666 ab
58614.9857604 smg 19144.8985189 1168.59081786 27.9493328947 ab
58615.9857604 smg -3342.1662666 5391.6988935 25.6417184855 ab
58558.9858993 smr 5865.77229194 1801.22997642 25.530930153 ab
58560.9858993 smr 7574.08252379 906.383143616 25.4207979886 ab
58562.9858993 smr 7157.03841338 321.901377111 25.1790062059 ab
58564.9858993 smr 9791.19906338 774.409708091 25.4265845553 ab
58565.9858993 smr 6514.80859626 220.268400941 25.0147517269 ab
58566.9858993 smr 5876.96116447 3099.51309666 25.0283420859 ab
58567.9858993 smr 12152.9589782 2356.27714057 25.3877585574 ab
58569.9858993 smr 10002.0011581 745.720322025 25.310996713 ab
58571.9858993 smr 5904.67996176 2176.11056943 25.1046369284 ab
58573.9858993 smr 7183.29079741 704.828192287 25.1896429395 ab
58574.9858993 smr 11311.1325642 1002.94756937 25.5840818508 ab
58575.9858993 smr 9844.61666212 766.28095704 25.2786835358 ab
58577.9858993 smr 9078.47575882 957.087918999 25.2868583543 ab
58579.9858993 smr 5993.74365911 688.4080764 24.8446289874 ab
58581.9858993 smr 11205.7629923 586.884417864 25.6723853551 ab
58582.9858993 smr 4862.19402671 403.692871975 25.0140920668 ab
58583.9858993 smr 4749.83148371 240.755951513 24.9666258794 ab
58584.9858993 smr 5920.69271975 170.444569375 25.2955303225 ab
58586.9858993 smr 4489.07136891 734.719809606 25.1468869066 ab
58588.9858993 smr 3838.23614444 80.516014906 24.9940809368 ab
58590.9858993 smr 8724.52364395 1205.46382438 25.6754451004 ab
58591.9858993 smr 5020.21142595 481.885544694 25.2187699898 ab
58592.9858993 smr 4765.47152478 388.831605706 25.2617282183 ab
