@c -0.194849515799
@x1 2.04759025594
@x0 0.00019798386556
@z 0.131034305481
@t0 58204.7391336
time band flux fluxerr zp zpsys
58231.4782672 kst 56.7761530472 7.72252799269 25.47 ab
58231.7282672 kst 59.7162228542 7.70167108143 25.47 ab
58231.9782672 kst 68.8892076082 7.68249305375 25.47 ab
58232.2282672 kst 49.5921176214 7.66565205718 25.47 ab
58232.4782672 kst 63.2020022959 7.65066104752 25.47 ab
58232.7282672 kst 51.0999427043 7.63671849988 25.47 ab
58232.9782672 kst 63.8238142736 7.62301628803 25.47 ab
58233.2282672 kst 62.8974690855 7.60985656442 25.47 ab
58233.4782672 kst 53.9769012131 7.59806171325 25.47 ab
58233.7282672 kst 57.7330207795 7.58635676435 25.47 ab
58233.9782672 kst 55.612921211 7.57342356812 25.47 ab
58234.2282672 kst 61.5311593424 7.55804057717 25.47 ab
58234.4782672 kst 59.4803708851 7.54071135221 25.47 ab
58234.7282672 kst 55.9872523466 7.52188448014 25.47 ab
58234.9782672 kst 53.9172582068 7.50167702975 25.47 ab
58235.2282672 kst 63.0445301575 7.48020652538 25.47 ab
58235.4782672 kst 63.3734140043 7.45746184621 25.47 ab
58235.7282672 kst 63.2474138804 7.43330195504 25.47 ab
58235.9782672 kst 46.8820001678 7.40784329702 25.47 ab
58236.2282672 kst 40.2743098122 7.38121092973 25.47 ab
58236.4782672 kst 56.3923690959 7.35351634468 25.47 ab
58236.7282672 kst 45.5352233458 7.32461420229 25.47 ab
58236.9782672 kst 40.5690840777 7.29450366006 25.47 ab
58237.2282672 kst 49.7948550679 7.26327875197 25.47 ab
58237.4782672 kst 60.3763575545 7.2310345908 25.47 ab
58237.7282672 kst 55.5032611789 7.1977801502 25.47 ab
58237.9782672 kst 48.7662732372 7.1633910934 25.47 ab
58238.2282672 kst 38.6614967965 7.1279318178 25.47 ab
58238.4782672 kst 56.77629139 7.09147647537 25.47 ab
58238.7282672 kst 65.6246508202 7.05407592101 25.47 ab
58238.9782672 kst 47.6321891728 7.01530231101 25.47 ab
58239.2282672 kst 50.3977470356 6.97535670038 25.47 ab
58239.4782672 kst 53.0901370833 6.93475862356 25.47 ab
58239.7282672 kst 50.2299994907 6.89403953012 25.47 ab
58239.9782672 kst 57.9205656529 6.85339856026 25.47 ab
58240.2282672 kst 47.341527599 6.81230439831 25.47 ab
58240.4782672 kst 34.2266899204 6.77102874443 25.47 ab
58240.7282672 kst 43.2249734399 6.72990640968 25.47 ab
58240.9782672 kst 44.3708330025 6.68927215153 25.47 ab
58241.2282672 kst 43.1158288886 6.64907046579 25.47 ab
58241.4782672 kst 46.8276870986 6.60915452216 25.47 ab
58241.7282672 kst 49.893353084 6.56949725159 25.47 ab
58241.9782672 kst 43.5626112413 6.53007089449 25.47 ab
58242.2282672 kst 45.1524145983 6.49086645886 25.47 ab
58242.4782672 kst 44.2147002396 6.45192354725 25.47 ab
58242.7282672 kst 42.0507198432 6.41322613586 25.47 ab
58242.9782672 kst 40.0704946618 6.37475266103 25.47 ab
58243.2282672 kst 37.038037289 6.33648166167 25.47 ab
58243.4782672 kst 39.1258283834 6.29843557291 25.47 ab
58243.7282672 kst 45.5124576298 6.26062375159 25.47 ab
58243.9782672 kst 47.7022454132 6.22302964377 25.47 ab
58244.2282672 kst 35.8720162489 6.18563626888 25.47 ab
58244.4782672 kst 32.3131172357 6.14843699225 25.47 ab
58244.7282672 kst 30.855050714 6.11145889088 25.47 ab
58244.9782672 kst 38.7292384096 6.07469357351 25.47 ab
