@c 0.212672574986
@x1 3.33616283517
@x0 0.000170187135556
@z 0.140429712529
@t0 58181.9561495
time band flux fluxerr zp zpsys
58185.9122991 kst 171.005732826 13.5401129736 25.47 ab
58186.1622991 kst 147.59872239 13.5227582499 25.47 ab
58186.4122991 kst 169.544323148 13.5040829728 25.47 ab
58186.6622991 kst 192.196638388 13.4840047917 25.47 ab
58186.9122991 kst 197.088062737 13.4625530647 25.47 ab
58187.1622991 kst 172.022119259 13.4397745633 25.47 ab
58187.4122991 kst 192.119102791 13.4157118536 25.47 ab
58187.6622991 kst 164.403214536 13.3904074044 25.47 ab
58187.9122991 kst 191.301705011 13.3638068272 25.47 ab
58188.1622991 kst 185.680289782 13.3358822455 25.47 ab
58188.4122991 kst 158.320854202 13.3067066711 25.47 ab
58188.6622991 kst 209.833796847 13.2763533894 25.47 ab
58188.9122991 kst 187.570834823 13.2448755249 25.47 ab
58189.1622991 kst 138.604455153 13.2121851176 25.47 ab
58189.4122991 kst 141.046686224 13.178290786 25.47 ab
58189.6622991 kst 174.711856983 13.1432289038 25.47 ab
58189.9122991 kst 175.519258179 13.1070359152 25.47 ab
58190.1622991 kst 166.839525558 13.0699329812 25.47 ab
58190.4122991 kst 170.94810949 13.0319401144 25.47 ab
58190.6622991 kst 162.238760513 12.9926032675 25.47 ab
58190.9122991 kst 185.55804687 12.9514588806 25.47 ab
58191.1622991 kst 160.844891783 12.9081003281 25.47 ab
58191.4122991 kst 171.836003703 12.8629361936 25.47 ab
58191.6622991 kst 156.566579063 12.8158963409 25.47 ab
58191.9122991 kst 153.036429356 12.7666578122 25.47 ab
58192.1622991 kst 173.829635573 12.7148916104 25.47 ab
58192.4122991 kst 142.268961522 12.6604340648 25.47 ab
58192.6622991 kst 148.064898325 12.6034831637 25.47 ab
58192.9122991 kst 146.147805863 12.5439859809 25.47 ab
58193.1622991 kst 172.266260885 12.4818737744 25.47 ab
58193.4122991 kst 149.299072495 12.4170787002 25.47 ab
58193.6622991 kst 137.064682908 12.3496330208 25.47 ab
58193.9122991 kst 187.597238467 12.2794663827 25.47 ab
