@c 0.563581892147
@x1 1.16675004307
@x0 0.00021244643205
@z 0.126857378164
@t0 58186.3202306
time band flux fluxerr zp zpsys
58176.3202306 smg -1000.00031752 1123.13644495 26.7311551099 ab
58180.3202306 smg 715.792235473 660.835418617 26.8753516957 ab
58184.3202306 smg 718.269190959 1193.11017787 26.6110237699 ab
58189.3202306 smg 1966.32488835 504.747786147 27.7080330241 ab
58194.3202306 smg 3445.62613638 916.959999742 26.9631638689 ab
58198.3202306 smg 274.934115361 58.8073710526 26.1962928193 ab
58202.3202306 smg 774.72148678 842.568228137 27.1542900733 ab
58207.3202306 smg 681.969261843 313.819618162 27.1459531096 ab
58212.3202306 smg -98.7789503168 730.788913804 26.1501649131 ab
58216.3202306 smg -4074.1846126 3053.55159745 27.9803936148 ab
58220.3202306 smg -202.398860822 1608.14789858 25.3611704446 ab
58176.3203695 smr 1416.11150929 1123.05847356 25.6977984919 ab
58180.3203695 smr 1006.45110493 660.442335325 25.0062987699 ab
58184.3203695 smr -378.518148322 1193.00057997 25.4860037197 ab
58189.3203695 smr 1733.72748277 503.442044472 25.3528524845 ab
58194.3203695 smr -1510.23215462 916.715563936 25.1372052358 ab
58198.3203695 smr 244.549472495 58.387301284 25.2271297351 ab
58202.3203695 smr 1220.02370666 842.410090341 25.4785273281 ab
58207.3203695 smr 576.818373151 313.413342676 24.5771435055 ab
58212.3203695 smr 502.257694945 730.818316197 25.2411294866 ab
58216.3203695 smr -2884.11238658 3053.52757219 25.9679283208 ab
58220.3203695 smr 307.668644405 1608.1708019 25.2152587619 ab
58176.3205084 smi 4554.83797395 1123.442039 27.0404042863 ab
58180.3205084 smi 445.81592105 660.440256128 24.8840125217 ab
58184.3205084 smi 1982.3956876 1193.12758059 26.1559503272 ab
58189.3205084 smi 2226.22509833 504.624321152 27.0189194093 ab
58194.3205084 smi 1575.43518873 916.868759786 25.9970362801 ab
58198.3205084 smi 1085.34811682 65.254917434 27.0288925993 ab
58202.3205084 smi 139.953013568 842.561996989 26.4060317583 ab
58207.3205084 smi 869.498640817 314.256743388 26.6680293587 ab
58212.3205084 smi 1031.03848365 731.400086122 27.1829639656 ab
58216.3205084 smi 2710.07091299 3053.53921516 25.8507473601 ab
58220.3205084 smi -1173.88878863 1608.23514244 25.9503349235 ab
