@c -0.111464748465
@x1 0.390207644897
@x0 0.00043515389928
@z 0.0908770943502
@t0 58188.4700674
time band flux fluxerr zp zpsys
58182.4700674 smg 3461.74490717 852.341973701 27.6122833156 ab
58186.4700674 smg 2111.76243395 143.121680265 27.1048397731 ab
58190.4700674 smg -749.438733484 798.788626464 25.4890736833 ab
58195.4700674 smg 3936.09785589 1244.57552323 27.3680536257 ab
58199.4700674 smg -1861.10866284 2124.46380145 25.8890688853 ab
58203.4700674 smg -611.086827062 2188.61595401 26.8275622375 ab
58208.4700674 smg 1885.17675507 1387.21177557 25.3776168033 ab
58212.4700674 smg -166.576111483 2114.71929366 27.506982619 ab
58216.4700674 smg 3593.14814527 3251.56015706 26.9619385944 ab
58182.4702063 smr -729.565464132 850.8863991 24.8894077851 ab
58186.4702063 smr 137.424979823 137.334020586 25.3335149827 ab
58190.4702063 smr 232.217512528 798.720482977 25.3066830743 ab
58195.4702063 smr -478.525899963 1243.9281816 25.5996484071 ab
58199.4702063 smr 1619.44433438 2124.41400329 25.0417401137 ab
58203.4702063 smr 551.398741375 2188.50421452 25.337963903 ab
58208.4702063 smr -518.439060637 1387.2238706 25.2471576493 ab
58212.4702063 smr 3695.75238668 2114.61888269 25.5931933592 ab
58216.4702063 smr -1625.61437508 3251.53277483 25.0638507805 ab
58182.4703452 smi 3040.52023407 852.579480672 28.3196471879 ab
58186.4703452 smi 298.46862201 137.429577135 25.9017597352 ab
58190.4703452 smi 1799.76790029 799.367704547 27.4287067712 ab
58195.4703452 smi 194.404017094 1243.9316958 26.1964496146 ab
58199.4703452 smi 507.426886004 2124.46253161 26.5037916809 ab
58203.4703452 smi 5864.88210387 2188.49589994 25.761340972 ab
58208.4703452 smi -478.646228569 1387.32515965 26.8052045544 ab
58212.4703452 smi 781.404756541 2114.62925634 26.0822100073 ab
58216.4703452 smi 58.5767508952 3251.57424873 26.5744133593 ab
