@c -0.20104291897
@x1 -2.08076582925
@x0 0.000249956472676
@z 0.117690972799
@t0 58227.8421121
time band flux fluxerr zp zpsys
58220.8421121 smg 705.925922546 148.283299231 27.1724292967 ab
58221.8421121 smg 266.612184283 62.6912775447 25.9131293574 ab
58222.8421121 smg 1448.66702433 238.07380324 27.4592396451 ab
58224.8421121 smg 1530.10693764 1329.68281227 26.6700943615 ab
58226.8421121 smg -10127.1701901 4401.65442696 25.1851834803 ab
58228.8421121 smg -4425.1228702 6175.37719133 26.4787069579 ab
58230.8421121 smg -1660.13710663 1910.18578077 26.0525490801 ab
58231.8421121 smg 3801.90742959 3623.48147086 26.4413860461 ab
58233.8421121 smg 1701.76332495 1884.76705265 28.1428776891 ab
58234.8421121 smg 783.617495445 1161.5857903 27.359983453 ab
58235.8421121 smg 240.037466298 832.870425307 27.9806453536 ab
58237.8421121 smg -422.674361306 1746.39444859 28.4277640399 ab
58239.8421121 smg 531.24680746 1582.41599209 26.8222593645 ab
58241.8421121 smg -1264.44902785 2829.45057738 27.5481491912 ab
58242.8421121 smg 215.355801166 168.319881894 26.2570924415 ab
58243.8421121 smg -4200.74496363 3331.84999889 25.6197410542 ab
58244.8421121 smg 671.965611275 105.543854452 28.0509688536 ab
58246.8421121 smg 627.350056098 218.490915565 25.3070285884 ab
58248.8421121 smg -2820.34673854 4972.67113649 26.0326685719 ab
58249.8421121 smg 1953.46253765 895.235621887 25.7878345735 ab
58250.8421121 smg -119.418046838 868.716357673 27.1765287785 ab
58252.8421121 smg 854.306342235 2594.02510064 26.9620822324 ab
58254.8421121 smg 5791.97136605 2900.91276821 26.2904862072 ab
58256.8421121 smg 975.317268382 1153.95928345 28.4639264803 ab
58257.8421121 smg 2698.52610516 1669.73476908 25.5468059905 ab
58258.8421121 smg -175.775040717 595.286346425 25.194764101 ab
58220.842251 smr -24.0024562057 145.83745611 24.8871108405 ab
58221.842251 smr 103.04893351 61.2273515808 25.1023555025 ab
58222.842251 smr 73.6175247569 235.596882375 25.2164139483 ab
58224.842251 smr -88.5229632165 1329.45158923 24.8528160384 ab
58226.842251 smr -4529.03504397 4401.64909803 25.1686425561 ab
58228.842251 smr 6045.45603981 6175.33894648 25.1987414418 ab
58230.842251 smr 991.534581292 1910.13977337 25.5967386094 ab
58231.842251 smr -5843.86873415 3623.42339255 24.9462136396 ab
58233.842251 smr -3837.30470815 1884.21285559 25.5010530997 ab
58234.842251 smr 776.455983666 1161.21157842 25.3567826495 ab
58235.842251 smr 462.354933074 831.929695097 24.9478116821 ab
58237.842251 smr -1204.57209168 1745.8341246 25.1683468304 ab
58239.842251 smr 2896.72503214 1582.31199565 24.4989480783 ab
58241.842251 smr 1717.22409912 2829.36554074 25.4434293922 ab
58242.842251 smr 44.8726898779 168.083362163 25.1424102546 ab
58243.842251 smr 4870.2259013 3331.8473054 24.8897979463 ab
58244.842251 smr 161.001928238 102.784480251 25.201231819 ab
58246.842251 smr 189.903195945 218.559755082 25.2236095255 ab
58248.842251 smr -48.3231655215 4972.67392745 25.6165152812 ab
58249.842251 smr 542.930988178 895.270595982 25.8627545831 ab
58250.842251 smr -2676.30379779 868.645643363 24.5715320476 ab
58252.842251 smr -749.981265811 2594.01143438 24.9594851473 ab
58254.842251 smr 1407.63545926 2900.91122438 25.1606016004 ab
58256.842251 smr -1278.92329833 1153.83290448 24.7063757498 ab
58257.842251 smr -696.0272189 1669.73904158 25.1853307003 ab
58258.842251 smr -505.893794753 595.324549784 25.8620388485 ab
58220.8423899 smi 207.601427628 146.284439 26.0672493973 ab
58221.8423899 smi 529.990741991 64.1119979565 26.8568810621 ab
58222.8423899 smi 505.406182409 236.059557402 26.4581787155 ab
58224.8423899 smi 206.376907514 1329.58235518 26.6809278313 ab
58226.8423899 smi -12.8955785298 4401.65868988 25.9443113846 ab
58228.8423899 smi 3051.02879858 6175.35227328 26.337599374 ab
58230.8423899 smi 1093.22476087 1910.19761831 26.7397902729 ab
58231.8423899 smi -246.971788119 3623.66537807 28.331634761 ab
58233.8423899 smi -2748.43332215 1884.26687301 26.7092674648 ab
58234.8423899 smi 670.701271611 1161.17818236 25.031513178 ab
58235.8423899 smi 217.443723676 832.152289379 27.0598446072 ab
58237.8423899 smi 1293.37088656 1745.97867048 27.5406461944 ab
58239.8423899 smi -615.012998986 1582.3572565 26.4247851035 ab
58241.8423899 smi 482.253134592 2829.38641535 26.6216619649 ab
58242.8423899 smi 60.2550478573 168.200625487 25.9007695572 ab
58243.8423899 smi -2278.94212458 3331.88379644 26.8991161304 ab
58244.8423899 smi 85.5026038412 102.780025495 25.3905238571 ab
58246.8423899 smi 495.057930199 219.228880783 27.1009789027 ab
58248.8423899 smi 5548.87047816 4972.68111506 26.2407995986 ab
58249.8423899 smi 796.392794683 895.355261582 26.745661152 ab
58250.8423899 smi -595.246813733 868.782815455 26.7725082603 ab
58252.8423899 smi -3177.00868018 2594.02934972 26.0135493408 ab
58254.8423899 smi -793.667511904 2900.98392485 27.465503691 ab
58256.8423899 smi -222.822064449 1154.3963131 28.7791761516 ab
58257.8423899 smi -1013.46969756 1669.76467982 26.262736091 ab
58258.8423899 smi 613.585616981 595.395520468 26.5500136948 ab
