@c -0.469756365293
@x1 7.0847855062
@x0 0.000155430465294
@z 0.146356271575
@t0 58235.3856158
time band flux fluxerr zp zpsys
58224.3856158 smg 411.30801195 1607.87256363 27.1051144483 ab
58225.3856158 smg 1559.45689718 130.923315063 27.7018144644 ab
58227.3856158 smg -3660.96414008 2528.10033938 25.5081809811 ab
58229.3856158 smg -1088.59679729 1440.49825761 25.5404195756 ab
58230.3856158 smg 1071.1980504 1329.75618375 27.5972999081 ab
58231.3856158 smg 559.063707382 1031.85847002 26.597055119 ab
58233.3856158 smg -1091.27490733 1384.2771274 26.7275966383 ab
58235.3856158 smg -355.293940484 692.075062551 25.451214492 ab
58236.3856158 smg -779.549988162 1811.72557376 27.3294267122 ab
58238.3856158 smg 2859.10377142 1454.17584332 27.8337962752 ab
58239.3856158 smg 1214.49406028 687.093040866 26.6944009851 ab
58241.3856158 smg 426.105054847 36.4929526954 26.4189505233 ab
58242.3856158 smg 1045.1611328 1077.44234495 28.2790548328 ab
58243.3856158 smg 838.984220426 1113.99582076 28.0066019559 ab
58244.3856158 smg 1984.12656649 950.986200536 24.5170038125 ab
58245.3856158 smg -454.853308174 810.656578938 26.5901219932 ab
58246.3856158 smg 2449.88583617 1786.00347902 27.1097553551 ab
58247.3856158 smg 1245.70267572 83.3238949331 27.573207546 ab
58248.3856158 smg 1647.4274423 1080.00671605 27.1739964608 ab
58249.3856158 smg 572.059980266 838.956997205 26.5841837411 ab
58250.3856158 smg -3217.29908521 3396.51411785 26.0339979858 ab
58252.3856158 smg 3362.54062281 127.540189493 29.0160074793 ab
58253.3856158 smg -1039.17986171 1485.20345422 26.7469754048 ab
58254.3856158 smg -190.619850887 1742.88275883 27.6478924156 ab
58256.3856158 smg -394.672903656 357.5593497 26.8651144261 ab
58257.3856158 smg 3299.64208002 4329.46526707 25.9797096541 ab
58259.3856158 smg -148.563741393 869.901297651 27.1912431841 ab
58260.3856158 smg 212.611249659 765.642756684 27.3712298693 ab
58262.3856158 smg -716.610687056 1212.10351737 27.0346356763 ab
58263.3856158 smg 318.308991392 3268.6121167 27.3442013554 ab
58264.3856158 smg -2309.19438225 2638.09536468 25.549829322 ab
58224.3857547 smr -909.922366406 1607.61730777 25.3474560995 ab
58225.3857547 smr 71.185898946 124.783689627 25.1726282845 ab
58227.3857547 smr 645.62710316 2528.08373216 25.7292501901 ab
58229.3857547 smr -778.598881563 1440.4583596 25.4899117104 ab
58230.3857547 smr -670.127538938 1329.2292267 25.3463517808 ab
58231.3857547 smr 541.126587337 1031.62203163 25.229962334 ab
58233.3857547 smr 877.976212353 1384.10649368 25.6934458613 ab
58235.3857547 smr -532.684524759 692.005598212 25.1659420645 ab
58236.3857547 smr -1896.50621583 1811.46550764 24.2761160313 ab
58238.3857547 smr -1233.12496194 1453.67356328 25.1160615382 ab
58239.3857547 smr -686.384154445 686.749428205 25.031213688 ab
58241.3857547 smr 41.7901057632 31.0965159225 24.9204491323 ab
58242.3857547 smr 958.739620988 1076.37958061 25.3043103234 ab
58243.3857547 smr -779.721664726 1113.20216522 25.2344793718 ab
58244.3857547 smr 532.880281177 950.970255202 24.5350427151 ab
58245.3857547 smr -1110.17604649 810.415253259 25.4931065128 ab
58246.3857547 smr -2124.4362727 1785.79783645 24.7703913745 ab
58247.3857547 smr 59.037899165 76.5401427468 25.3677696421 ab
58248.3857547 smr -1721.25583684 1079.70762883 25.8565296176 ab
58249.3857547 smr -1788.81000476 838.770018811 25.7540424387 ab
58250.3857547 smr -1058.52175236 3396.49425647 25.7350054106 ab
58252.3857547 smr 41.0931173159 113.8071828 24.9127873383 ab
58253.3857547 smr -923.950148359 1485.10315104 25.6844580898 ab
58254.3857547 smr 1055.24487346 1742.66210797 25.4033070047 ab
58256.3857547 smr -525.55864584 357.14345268 25.2479588521 ab
58257.3857547 smr -9751.27519622 4329.45734626 25.5586573314 ab
58259.3857547 smr 345.709336724 869.723992434 25.4002922352 ab
58260.3857547 smr 215.17746265 765.40463701 24.7928465706 ab
58262.3857547 smr 410.035892178 1212.03878013 25.8292842901 ab
58263.3857547 smr -325.854474436 3268.57560825 25.5251012299 ab
58264.3857547 smr 1806.3169897 2638.08910794 24.2995237608 ab
58224.3858936 smi -1037.99029473 1607.63218136 26.5307105327 ab
58225.3858936 smi 100.757214852 125.099004125 26.6822579043 ab
58227.3858936 smi 539.039432041 2528.18527584 28.2760772275 ab
58229.3858936 smi 1118.13179399 1440.4460741 26.1055664829 ab
58230.3858936 smi -359.884913787 1329.28569319 27.4069979566 ab
58231.3858936 smi -832.733751521 1031.62588795 26.4625367496 ab
58233.3858936 smi 435.713156905 1384.07625239 25.8435274624 ab
58235.3858936 smi 255.003324609 692.020639716 26.5455160908 ab
58236.3858936 smi 1527.60413116 1811.50234644 27.0406742109 ab
58238.3858936 smi 547.122984727 1453.80897832 28.0468299427 ab
58239.3858936 smi -422.192761347 686.805763648 26.737554052 ab
58241.3858936 smi 218.663574046 33.1646979339 26.9830473139 ab
58242.3858936 smi -561.148308057 1076.37575566 26.0095534594 ab
58243.3858936 smi -247.77382403 1113.32270434 27.6035906856 ab
58244.3858936 smi -685.823530959 950.994392063 26.1261252394 ab
58245.3858936 smi 36.1707568389 810.428704017 26.5286829262 ab
58246.3858936 smi 589.538800393 1785.87864137 27.6456169321 ab
58247.3858936 smi 119.754775355 76.5578905935 26.3084814119 ab
58248.3858936 smi 1026.9843118 1079.69306631 26.549547579 ab
58249.3858936 smi 443.869196156 838.727523669 25.8327703741 ab
58250.3858936 smi 2292.13092545 3396.48128128 25.1856614955 ab
58252.3858936 smi 101.13016337 114.105655343 27.263165766 ab
58253.3858936 smi 1233.05308489 1485.085262 26.1114493183 ab
58254.3858936 smi 257.199901624 1742.66763297 26.9308915302 ab
58256.3858936 smi -421.444779126 357.103449826 25.5620172288 ab
58257.3858936 smi -8714.48801384 4329.4606207 26.8849510556 ab
58259.3858936 smi -1301.75806742 869.750625297 27.0148863416 ab
58260.3858936 smi -760.533025968 765.439243738 26.814222944 ab
58262.3858936 smi 771.057893817 1212.07702052 27.461286615 ab
58263.3858936 smi 790.321945032 3268.57160919 25.7335194408 ab
58264.3858936 smi 1662.83464637 2638.13914879 27.6412563353 ab
