@c 0.307656325073
@x1 -2.35869860956
@x0 0.000595457965647
@z 0.078375332851
@t0 58180.2503195
time band flux fluxerr zp zpsys
58165.2503195 smg 1919.40030233 870.962912555 25.8630719208 ab
58166.2503195 smg -1347.93755009 7198.17656591 27.0131006346 ab
58168.2503195 smg -1098.92414232 764.351305654 26.633400063 ab
58169.2503195 smg 6735.85220614 4040.40903775 27.7732878005 ab
58171.2503195 smg 813.708651065 303.138009334 26.0864838184 ab
58172.2503195 smg 89.0118638496 230.847929354 25.8428022459 ab
58174.2503195 smg 171.528963368 959.786958838 24.8689460056 ab
58175.2503195 smg 9043.04532009 3875.45971444 27.6923774916 ab
58177.2503195 smg 1769.59740281 1003.25654858 26.874831663 ab
58179.2503195 smg 5696.82407926 5261.33851343 26.0011724934 ab
58181.2503195 smg 2402.93924233 499.881857141 26.951014682 ab
58183.2503195 smg 5149.14183632 1479.76610044 27.8553253288 ab
58184.2503195 smg 240.708997842 947.831596422 26.3543181388 ab
58185.2503195 smg 2372.21415731 1221.61351429 27.2558153424 ab
58186.2503195 smg 1824.22779929 57.823295289 26.9180977597 ab
58188.2503195 smg 2438.84549097 711.495469051 27.0067863613 ab
58190.2503195 smg 1288.79310674 635.979742633 25.793553939 ab
58192.2503195 smg 1373.64904278 1084.96614675 27.2458027006 ab
58194.2503195 smg -1495.45370444 979.858323055 26.965230954 ab
58195.2503195 smg 8695.14418863 9186.03814224 27.4162612935 ab
58197.2503195 smg 694.402464479 832.984356815 26.5799695033 ab
58198.2503195 smg -5771.83323953 3001.56735109 26.455898562 ab
58200.2503195 smg -636.472777997 1190.59729255 26.2472807862 ab
58202.2503195 smg 142.130059389 46.7419184488 26.3282339155 ab
58204.2503195 smg 3273.15782817 2009.31205719 27.323271061 ab
58205.2503195 smg -1047.05702487 1392.4812722 27.4446166525 ab
58206.2503195 smg -714.47870105 811.891429505 26.1718215514 ab
58207.2503195 smg 65.4439606405 172.288436032 26.4424192448 ab
58209.2503195 smg 1020.89130428 1781.69240094 27.282058215 ab
58210.2503195 smg 800.787374226 1734.70715481 25.7956417339 ab
58212.2503195 smg 42.752419358 720.304041495 27.2838480757 ab
58213.2503195 smg 996.142906323 518.058014324 25.5617654904 ab
58214.2503195 smg -1770.56586019 2206.88897353 26.5369951588 ab
58165.2504584 smr -756.073845464 870.967973614 25.334674702 ab
58166.2504584 smr -151.270845095 7198.17562949 25.2677310708 ab
58168.2504584 smr 382.789298462 764.240747848 24.3626374087 ab
58169.2504584 smr 2240.62562843 4040.30546451 25.284848397 ab
58171.2504584 smr 6.60219609761 303.024697767 25.5284207359 ab
58172.2504584 smr 297.710468304 230.803849775 25.4599593589 ab
58174.2504584 smr -1002.78351179 959.841871776 24.9571387367 ab
58175.2504584 smr 2711.593171 3875.03007345 25.1877113499 ab
58177.2504584 smr 451.073684652 1002.63755041 25.6462498051 ab
58179.2504584 smr 2316.22990195 5261.3028398 25.2230413623 ab
58181.2504584 smr 1253.37089261 498.364076563 25.5581254118 ab
58183.2504584 smr 419.518927889 1478.23146508 25.2859594728 ab
58184.2504584 smr 1881.52444819 947.579963017 25.4365965727 ab
58185.2504584 smr -923.526455692 1220.8498213 25.568236814 ab
58186.2504584 smr 833.395223381 47.7186799295 25.5471030235 ab
58188.2504584 smr 2104.74132317 710.594166176 25.05890531 ab
58190.2504584 smr -520.023747196 635.830340372 24.7013732391 ab
58192.2504584 smr 1499.05362339 1084.71917654 26.1354239978 ab
58194.2504584 smr 282.035977987 979.933282995 26.3565164929 ab
58195.2504584 smr 2681.61589279 9185.99188758 25.3061818949 ab
58197.2504584 smr -244.655846703 832.828367602 24.6141834226 ab
58198.2504584 smr 803.677179208 3001.58097459 25.5448127592 ab
58200.2504584 smr -1948.20628449 1190.61346415 25.1140766164 ab
58202.2504584 smr 265.972340892 46.3391775509 24.713559277 ab
58204.2504584 smr 1557.32292067 2009.25816257 25.2008203486 ab
58205.2504584 smr -1958.71688094 1392.39496973 25.2341470724 ab
58206.2504584 smr 329.055689422 811.985132578 25.5379584015 ab
58207.2504584 smr 436.43996574 172.93365738 25.9385409863 ab
58209.2504584 smr 2646.23059777 1781.68545303 25.6955797632 ab
58210.2504584 smr -266.962640334 1734.72688829 25.1112299939 ab
58212.2504584 smr 963.222172985 720.234873862 25.2491404779 ab
58213.2504584 smr 216.700344736 518.157723095 25.494422896 ab
58214.2504584 smr 167.283249076 2206.87658036 24.4874480099 ab
58165.2505973 smi 1376.96463867 870.980646405 26.1407353315 ab
58166.2505973 smi 7150.35925037 7198.19506653 27.2776137433 ab
58168.2505973 smi 1211.55409124 764.535598819 26.6719428563 ab
58169.2505973 smi -3435.57283338 4040.33359295 26.0390144193 ab
58171.2505973 smi 1346.65848915 304.126612237 26.5284645319 ab
58172.2505973 smi 1848.62891208 234.006707967 26.9866346641 ab
58174.2505973 smi 1891.37153831 960.539544037 26.5888396649 ab
58175.2505973 smi 5132.52225116 3875.50311215 27.4847332019 ab
58177.2505973 smi 3292.85381242 1003.05475404 26.4435387926 ab
58179.2505973 smi -3505.78586987 5261.49245178 26.9141007664 ab
58181.2505973 smi 1754.49640793 499.338911931 26.5914840789 ab
58183.2505973 smi 4876.77560269 1479.77159921 27.7678832847 ab
58184.2505973 smi 2905.51537904 948.012464654 26.4999179364 ab
58185.2505973 smi 8905.8892766 1224.42359308 28.4839675933 ab
58186.2505973 smi 1178.22505809 52.5194502726 26.3533737316 ab
58188.2505973 smi -241.245215637 710.40500698 24.425567449 ab
58190.2505973 smi 3671.87697167 638.136502429 27.767944081 ab
58192.2505973 smi 1237.48282741 1084.91202134 26.9455647818 ab
58194.2505973 smi -426.925460686 979.663412454 25.9045626338 ab
58195.2505973 smi -1709.46192535 9186.09388234 27.4341870684 ab
58197.2505973 smi 95.2965428096 833.204898217 26.2766811184 ab
58198.2505973 smi -1304.29509717 3001.85635218 27.2734747426 ab
58200.2505973 smi 313.148283883 1191.09832669 26.8284561807 ab
58202.2505973 smi 726.864860852 51.4900905006 25.9928648657 ab
58204.2505973 smi -28.4466829615 2009.89736961 27.5451374665 ab
58205.2505973 smi 4138.26858701 1393.39571039 27.655335449 ab
58206.2505973 smi 2771.89522372 812.998179908 27.2210396226 ab
58207.2505973 smi 1062.44303226 174.696734148 26.565358066 ab
58209.2505973 smi -3110.4320751 1781.70786372 25.5406674947 ab
58210.2505973 smi 1139.33136075 1734.90326456 26.5235378967 ab
58212.2505973 smi 573.636395049 721.534191353 27.8072528071 ab
58213.2505973 smi 1278.48681945 518.892495896 27.0721250979 ab
58214.2505973 smi 3042.28302923 2207.10654567 27.3718362145 ab
