@c 0.378141257163
@x1 2.15672812285
@x0 0.000593903103784
@z 0.0784724615719
@t0 58220.0815565
time band flux fluxerr zp zpsys
58211.0815565 smg 3350.30907257 265.304770479 27.6522896501 ab
58213.0815565 smg -1929.97271732 1765.67199532 26.0897327809 ab
58214.0815565 smg 692.281433405 305.752588777 25.9089833965 ab
58215.0815565 smg 1532.55974198 683.25769557 26.8024435709 ab
58217.0815565 smg 3022.93529473 970.108244751 27.4121435463 ab
58219.0815565 smg 3180.53306253 1414.94336422 26.7765572944 ab
58221.0815565 smg 4440.34459609 759.035256595 27.4222827527 ab
58222.0815565 smg 8373.20366163 2890.79241439 27.6288235155 ab
58224.0815565 smg -5744.4600161 7660.52228046 27.7389724175 ab
58225.0815565 smg -455.111761851 1913.93343216 26.4204420899 ab
58227.0815565 smg 6130.772627 1527.70765168 27.974197363 ab
58228.0815565 smg 1892.75413496 1126.1394986 27.2310292067 ab
58230.0815565 smg 6899.50202611 1189.15828153 28.3666372605 ab
58232.0815565 smg 1912.89612873 951.493522056 27.3328161487 ab
58234.0815565 smg 496.177593362 851.756506081 26.2228215472 ab
58235.0815565 smg 3251.00277686 1206.10946736 27.1418646591 ab
58236.0815565 smg -908.431755605 1230.7539181 26.6754417648 ab
58237.0815565 smg -501.002951484 362.626215274 25.2483384639 ab
58239.0815565 smg 177.380246936 2252.09059893 25.7676078991 ab
58240.0815565 smg 1535.36633869 1288.45810866 26.4072007533 ab
58211.0816954 smr 397.022722982 259.282873252 25.0758865234 ab
58213.0816954 smr 578.410772397 1765.51315904 24.929164403 ab
58214.0816954 smr 1212.82733374 305.267380675 25.2042384155 ab
58215.0816954 smr 907.778808149 682.201615404 25.2543508133 ab
58217.0816954 smr 183.318847465 968.496086677 25.2087716205 ab
58219.0816954 smr 128.534627363 1414.39068096 25.0076753045 ab
58221.0816954 smr -234.196878325 757.097644496 25.46292143 ab
58222.0816954 smr 4311.80978599 2890.16211441 25.4988588136 ab
58224.0816954 smr -5298.82963865 7660.25617628 25.3201053118 ab
58225.0816954 smr 3118.29129943 1913.83853195 25.6879213717 ab
58227.0816954 smr -919.781446905 1526.14387801 25.3431121218 ab
58228.0816954 smr 138.415310861 1125.28069279 25.4087144538 ab
58230.0816954 smr 2954.76148131 1186.58276569 25.6990959983 ab
58232.0816954 smr 1743.20605843 950.761255184 25.9667350793 ab
58234.0816954 smr 468.654717126 851.498095196 24.8387955381 ab
58235.0816954 smr 1243.37129356 1205.61069135 25.2923799297 ab
58236.0816954 smr 2044.34487591 1230.50289496 25.1614083425 ab
58237.0816954 smr 639.722722215 362.899322693 25.3345635854 ab
58239.0816954 smr 2805.75235688 2252.08299184 25.0419945896 ab
58240.0816954 smr 1139.03987732 1288.41356936 25.5116715276 ab
58211.0818343 smi 1367.51025363 260.74680151 26.2574139647 ab
58213.0818343 smi 4670.88858593 1766.44047346 27.396014285 ab
58214.0818343 smi 2144.27130515 307.652997754 26.731891921 ab
58215.0818343 smi 1527.544533 683.212087153 26.719041321 ab
58217.0818343 smi 6827.40807203 971.392700515 28.0024781118 ab
58219.0818343 smi -520.347459528 1414.59981273 26.193223906 ab
58221.0818343 smi 2704.84012007 758.374393511 27.1578660091 ab
58222.0818343 smi 1332.73601153 2890.12786203 25.6428733015 ab
58224.0818343 smi -6729.56868066 7660.26806185 25.9726713802 ab
58225.0818343 smi 5306.72758 1914.70342856 27.6624946773 ab
58227.0818343 smi 2363.68247073 1527.12336293 27.5448707295 ab
58228.0818343 smi 2526.81774716 1125.68480033 26.7063494531 ab
58230.0818343 smi 2214.30329008 1186.71153669 26.4708074044 ab
58232.0818343 smi 3390.81950218 951.823189529 27.6250683228 ab
58234.0818343 smi 1056.27627785 851.960376938 26.7178485101 ab
58235.0818343 smi 2666.37168374 1206.81846312 28.0090408631 ab
58236.0818343 smi 509.262241798 1230.56385297 26.1066554077 ab
58237.0818343 smi 1237.26703941 364.526118755 27.3207152398 ab
58239.0818343 smi 2711.7900415 2252.07975134 25.512827133 ab
58240.0818343 smi 1464.60347478 1288.36109436 25.6511649549 ab
