@c -0.241174107654
@x1 -1.74051123651
@x0 0.00195311759389
@z 0.0443443421607
@t0 58512.8310376
time band flux fluxerr zp zpsys
58499.8310376 smg 1457.7887898 495.059047795 26.8347450572 ab
58501.8310376 smg 6099.46582328 255.341381616 28.3785858535 ab
58502.8310376 smg 2623.84774784 1529.68551152 26.5319161062 ab
58503.8310376 smg 1595.20502472 431.547848078 26.162315314 ab
58505.8310376 smg -370.664817974 1138.41946278 26.2514044096 ab
58506.8310376 smg 2311.31272532 1327.02540522 26.3887938241 ab
58507.8310376 smg 1721.89577244 284.037803338 25.6950932639 ab
58508.8310376 smg 3563.24818104 2272.95409269 26.9138655015 ab
58510.8310376 smg 5565.36272001 1854.9142867 26.7813965196 ab
58512.8310376 smg 10180.147747 241.605009285 27.3802976044 ab
58513.8310376 smg 6790.18174445 1442.06032267 26.8307826472 ab
58515.8310376 smg 4524.13519567 1620.94129887 26.890470036 ab
58517.8310376 smg 4226.38438694 1585.89466913 26.6545831141 ab
58519.8310376 smg 9441.36014491 1524.51278572 27.6412899749 ab
58520.8310376 smg 9177.0224379 473.315499109 27.8026437077 ab
58522.8310376 smg 3088.31365021 82.6881293917 26.6816221816 ab
58523.8310376 smg 2261.31347765 851.197250056 25.8274766301 ab
58524.8310376 smg 5535.32435335 1804.43153669 27.7469677372 ab
58525.8310376 smg 6271.46146356 1106.59050972 27.6460664767 ab
58527.8310376 smg 6794.24339563 1814.62113549 27.840532322 ab
58499.8311765 smr -17.2287560035 494.537492721 24.4443839714 ab
58501.8311765 smr 204.9252631 244.362983227 25.1456548374 ab
58502.8311765 smr -247.971575852 1529.28421814 24.7048722709 ab
58503.8311765 smr 397.251975956 430.422462876 25.0737854614 ab
58505.8311765 smr -392.321463584 1137.73483968 25.2902170248 ab
58506.8311765 smr 3236.12122663 1326.11136879 24.8533602673 ab
58507.8311765 smr 601.255489434 282.212250493 25.053830663 ab
58508.8311765 smr 6033.84493363 2271.83134935 25.0114802903 ab
58510.8311765 smr 1577.65687371 1853.69319319 25.4577559382 ab
58512.8311765 smr 1993.96373302 223.1226355 25.7545858203 ab
58513.8311765 smr -112.248905809 1440.29465687 25.2258532059 ab
58515.8311765 smr -355.74512157 1619.26512472 24.8073035972 ab
58517.8311765 smr 1587.77610446 1584.72156122 24.9442151756 ab
58519.8311765 smr 1931.62321974 1521.67266114 25.4616165253 ab
58520.8311765 smr 1248.16337754 463.860965912 25.9449922071 ab
58522.8311765 smr 1615.69607695 73.0735623505 26.1353698477 ab
58523.8311765 smr 1080.54821282 850.789352693 25.128960301 ab
58524.8311765 smr 3031.36177343 1802.68366809 25.2194262585 ab
58525.8311765 smr -21.8290077041 1104.17003908 24.7027878206 ab
58527.8311765 smr 858.756947931 1813.2429246 25.2231911125 ab
58499.8313154 smi 53.7316284903 494.792094363 26.5172600717 ab
58501.8313154 smi 4654.95394679 253.295305748 28.6308382984 ab
58502.8313154 smi 5246.63793012 1529.66603937 27.0080355863 ab
58503.8313154 smi 945.807588811 431.479709061 26.6808460073 ab
58505.8313154 smi 5269.51664168 1138.91733385 27.3361766437 ab
58506.8313154 smi 1951.17636815 1326.60870145 26.5685322808 ab
58507.8313154 smi 2445.25530704 285.155021442 26.7685027881 ab
58508.8313154 smi 3888.19758861 2272.38114364 27.0660080471 ab
58510.8313154 smi 6739.50125338 1854.27870947 27.1000187758 ab
58512.8313154 smi 2396.40929509 224.861447814 26.7631236219 ab
58513.8313154 smi 2877.49601495 1440.28091501 25.803028376 ab
58515.8313154 smi -210.377725907 1619.1707644 24.8387127683 ab
58517.8313154 smi 16266.4481211 1588.93992353 28.8141119467 ab
58519.8313154 smi 250.471748941 1521.8742761 26.6660158026 ab
58520.8313154 smi 3793.4058846 466.311824805 27.6572024768 ab
58522.8313154 smi 1223.50730601 69.8984423731 26.5686260281 ab
58523.8313154 smi 2666.08820633 851.087770525 26.579142658 ab
58524.8313154 smi 4389.22111996 1802.80464336 26.5651556501 ab
58525.8313154 smi 2613.56598868 1104.81134229 27.1362493102 ab
58527.8313154 smi 2090.71708924 1813.20994997 25.6102696125 ab
58495.8310376 kst -23.6345307538 4.36610813295 25.47 ab
58496.0810376 kst -17.1014915091 4.25797983999 25.47 ab
58496.3310376 kst -24.7939985322 3.88392898496 25.47 ab
58496.5810376 kst -4.03968728709 3.22734472782 25.47 ab
58496.8310376 kst -6.11827989057 2.08594869153 25.47 ab
