@c -0.237080258198
@x1 -0.672924360708
@x0 0.000361936998504
@z 0.0990755597711
@t0 58629.2753638
time band flux fluxerr zp zpsys
58612.2753638 kst 6.67629859928 2.73543975408 25.47 ab
58612.5253638 kst 12.2611321939 3.09505734323 25.47 ab
58612.7753638 kst 7.97099947801 3.44836355224 25.47 ab
58613.0253638 kst 8.04616085278 3.79847850477 25.47 ab
58613.2753638 kst 16.5387640523 4.14954167606 25.47 ab
58613.5253638 kst 24.8220329407 4.49712601571 25.47 ab
58613.7753638 kst 21.2905705544 4.83805241784 25.47 ab
58614.0253638 kst 18.5389772073 5.17145779157 25.47 ab
58614.2753638 kst 24.4887722332 5.50249351173 25.47 ab
58614.5253638 kst 26.8558326555 5.82974894173 25.47 ab
58614.7753638 kst 32.1108500508 6.15127187639 25.47 ab
58615.0253638 kst 51.8934377593 6.46555280821 25.47 ab
58615.2753638 kst 50.7302763212 6.77495014974 25.47 ab
58615.5253638 kst 50.9386464047 7.08054624419 25.47 ab
58615.7753638 kst 49.3237326246 7.38151567647 25.47 ab
58616.0253638 kst 65.3512267925 7.67715500961 25.47 ab
58616.2753638 kst 71.4275685383 7.96725817375 25.47 ab
58616.5253638 kst 79.9509235645 8.2530442942 25.47 ab
58616.7753638 kst 72.709059388 8.53547303017 25.47 ab
58617.0253638 kst 83.32246541 8.81535397503 25.47 ab
58617.2753638 kst 85.0627303605 9.09328812522 25.47 ab
58617.5253638 kst 91.1128826731 9.36879864033 25.47 ab
58617.7753638 kst 96.3100682804 9.64239129459 25.47 ab
58618.0253638 kst 85.8758485841 9.9148367662 25.47 ab
58618.2753638 kst 97.5526518754 10.1868226674 25.47 ab
58618.5253638 kst 131.739566352 10.4582486949 25.47 ab
58618.7753638 kst 125.538728105 10.7288312657 25.47 ab
58619.0253638 kst 133.255006109 10.9990539976 25.47 ab
58619.2753638 kst 119.042975377 11.2693549877 25.47 ab
58619.5253638 kst 134.31817189 11.5413119746 25.47 ab
58619.7753638 kst 160.032003475 11.8178868624 25.47 ab
58620.0253638 kst 171.496632688 12.0936280197 25.47 ab
58620.2753638 kst 153.101034528 12.3627288822 25.47 ab
58620.5253638 kst 159.291353419 12.6200600298 25.47 ab
58620.7753638 kst 168.192220282 12.8694854875 25.47 ab
58621.0253638 kst 154.800633001 13.1125507857 25.47 ab
58621.2753638 kst 176.051104056 13.3467405168 25.47 ab
58621.5253638 kst 182.468503038 13.5696983296 25.47 ab
58621.7753638 kst 213.669777291 13.7807754538 25.47 ab
58622.0253638 kst 193.838584048 13.9825058493 25.47 ab
58622.2753638 kst 199.773987322 14.1750045257 25.47 ab
58622.5253638 kst 223.150896052 14.3582526469 25.47 ab
58622.7753638 kst 235.164046139 14.5323148688 25.47 ab
58623.0253638 kst 210.248992036 14.6980926477 25.47 ab
58623.2753638 kst 220.463076963 14.8555648863 25.47 ab
58623.5253638 kst 219.847740995 15.0044216813 25.47 ab
58623.7753638 kst 229.27475807 15.1443509566 25.47 ab
58624.0253638 kst 214.90086039 15.2753585426 25.47 ab
58624.2753638 kst 258.05588238 15.3980159536 25.47 ab
58624.5253638 kst 250.356642821 15.5128138534 25.47 ab
58624.7753638 kst 265.389263909 15.6202160449 25.47 ab
58625.0253638 kst 244.853599535 15.7203569205 25.47 ab
58625.2753638 kst 264.676683951 15.8126506547 25.47 ab
58625.5253638 kst 278.378152191 15.8980782275 25.47 ab
58625.7753638 kst 249.572928824 15.977761943 25.47 ab
58626.0253638 kst 254.30898785 16.0527774024 25.47 ab
58626.2753638 kst 293.562866933 16.1232285918 25.47 ab
58626.5253638 kst 264.019239709 16.188610695 25.47 ab
58626.7753638 kst 245.743191818 16.2485861238 25.47 ab
58627.0253638 kst 266.679615021 16.3028170953 25.47 ab
58627.2753638 kst 288.912492948 16.3512932206 25.47 ab
58627.5253638 kst 301.552735518 16.394414888 25.47 ab
58627.7753638 kst 280.510901272 16.4319468078 25.47 ab
58628.0253638 kst 264.902872238 16.4636286256 25.47 ab
58628.2753638 kst 284.527001108 16.4891653099 25.47 ab
58628.5253638 kst 253.578985014 16.5083072215 25.47 ab
58628.7753638 kst 269.060602525 16.5215966714 25.47 ab
58629.0253638 kst 261.056792806 16.5296959524 25.47 ab
58629.2753638 kst 260.636241556 16.5332607291 25.47 ab
58629.5253638 kst 264.825774505 16.532019409 25.47 ab
58629.7753638 kst 252.140541202 16.5256643407 25.47 ab
58630.0253638 kst 300.616677907 16.5147904422 25.47 ab
58630.2753638 kst 278.099669352 16.4999901397 25.47 ab
58630.5253638 kst 262.856767869 16.4816272851 25.47 ab
58630.7753638 kst 286.291116918 16.4591932334 25.47 ab
58631.0253638 kst 259.850850777 16.4327784986 25.47 ab
58631.2753638 kst 264.731031723 16.4025590624 25.47 ab
58631.5253638 kst 266.018705257 16.3686951911 25.47 ab
58631.7753638 kst 254.159822394 16.3309339781 25.47 ab
58632.0253638 kst 258.622009951 16.2892936928 25.47 ab
58632.2753638 kst 274.963570879 16.2440069882 25.47 ab
58632.5253638 kst 246.19844714 16.1953065486 25.47 ab
58632.7753638 kst 265.854349652 16.1432024016 25.47 ab
58633.0253638 kst 253.647724818 16.0874378729 25.47 ab
58633.2753638 kst 260.902281101 16.0281485253 25.47 ab
58633.5253638 kst 240.002480627 15.965481301 25.47 ab
58633.7753638 kst 263.125186407 15.8995309222 25.47 ab
58634.0253638 kst 229.973395408 15.8300056425 25.47 ab
58634.2753638 kst 254.561023485 15.7569848629 25.47 ab
58634.5253638 kst 247.529133974 15.6806553105 25.47 ab
58634.7753638 kst 258.610819838 15.6012050719 25.47 ab
58635.0253638 kst 247.692540592 15.5184873635 25.47 ab
58635.2753638 kst 212.491585999 15.4323453052 25.47 ab
58635.5253638 kst 228.037699571 15.3429193218 25.47 ab
58635.7753638 kst 209.196858241 15.2503509489 25.47 ab
58636.0253638 kst 235.276394049 15.1546855527 25.47 ab
58636.2753638 kst 225.111223757 15.0556635341 25.47 ab
58636.5253638 kst 202.434973106 14.9533193173 25.47 ab
58636.7753638 kst 214.520182966 14.8477211553 25.47 ab
58637.0253638 kst 214.567824823 14.7388557018 25.47 ab
58637.2753638 kst 218.646942859 14.6251256236 25.47 ab
58637.5253638 kst 222.645027874 14.507417966 25.47 ab
58637.7753638 kst 195.336275555 14.3878289688 25.47 ab
58638.0253638 kst 200.247024666 14.2685235442 25.47 ab
58638.2753638 kst 179.902039508 14.1498788369 25.47 ab
58638.5253638 kst 192.702941534 14.0301287474 25.47 ab
58638.7753638 kst 192.976575702 13.9104714276 25.47 ab
58639.0253638 kst 166.476186606 13.7922223529 25.47 ab
58639.2753638 kst 194.226289223 13.6765660457 25.47 ab
58639.5253638 kst 182.751994542 13.562969378 25.47 ab
58639.7753638 kst 211.132783568 13.4510644729 25.47 ab
58640.0253638 kst 186.061360827 13.3406960719 25.47 ab
58640.2753638 kst 181.192495003 13.2317035082 25.47 ab
58640.5253638 kst 177.564089425 13.1242022063 25.47 ab
58640.7753638 kst 164.958484487 13.0183115599 25.47 ab
58641.0253638 kst 180.968022391 12.9139235453 25.47 ab
58641.2753638 kst 151.427478959 12.8109260633 25.47 ab
58641.5253638 kst 150.987199366 12.7092827583 25.47 ab
58641.7753638 kst 163.787017931 12.6091798297 25.47 ab
58642.0253638 kst 144.252311699 12.5105675278 25.47 ab
58642.2753638 kst 153.448730332 12.4133691438 25.47 ab
58642.5253638 kst 159.766283705 12.3175171447 25.47 ab
58642.7753638 kst 172.126340223 12.2231949908 25.47 ab
58643.0253638 kst 149.562023527 12.1303920161 25.47 ab
58643.2753638 kst 155.374542413 12.038973072 25.47 ab
58643.5253638 kst 154.228690223 11.9487983604 25.47 ab
58643.7753638 kst 142.749416637 11.8598305767 25.47 ab
58644.0253638 kst 141.155109001 11.7722128848 25.47 ab
58644.2753638 kst 137.998903704 11.6859820241 25.47 ab
58644.5253638 kst 143.875121591 11.6011725154 25.47 ab
58644.7753638 kst 130.292376723 11.5178053242 25.47 ab
58645.0253638 kst 142.508829519 11.4358461319 25.47 ab
58645.2753638 kst 141.207676703 11.3554012504 25.47 ab
58645.5253638 kst 136.682525941 11.276605529 25.47 ab
58645.7753638 kst 144.080988285 11.199596338 25.47 ab
58646.0253638 kst 112.632838397 11.1243136778 25.47 ab
58646.2753638 kst 119.936210985 11.0507717889 25.47 ab
58646.5253638 kst 116.017758413 10.9791650724 25.47 ab
58646.7753638 kst 99.789589174 10.9096920684 25.47 ab
58647.0253638 kst 110.158377409 10.8427002111 25.47 ab
58647.2753638 kst 115.981659995 10.7784621129 25.47 ab
58647.5253638 kst 119.87838739 10.7163214609 25.47 ab
58647.7753638 kst 107.447104087 10.6555476119 25.47 ab
58648.0253638 kst 123.636952745 10.5954565654 25.47 ab
58648.2753638 kst 100.623260985 10.5366582983 25.47 ab
58648.5253638 kst 123.013842839 10.479174365 25.47 ab
58648.7753638 kst 112.448456298 10.4225402949 25.47 ab
58649.0253638 kst 90.6709891643 10.3662811612 25.47 ab
58649.2753638 kst 98.3961452828 10.3101791776 25.47 ab
58649.5253638 kst 98.500568854 10.2545450675 25.47 ab
58649.7753638 kst 120.718984155 10.1995195374 25.47 ab
58650.0253638 kst 107.451193539 10.1452416688 25.47 ab
58650.2753638 kst 116.611699667 10.0918162196 25.47 ab
58650.5253638 kst 98.6761780235 10.0391219035 25.47 ab
58650.7753638 kst 110.114160409 9.98722113204 25.47 ab
58651.0253638 kst 104.757120036 9.93622373176 25.47 ab
58651.2753638 kst 124.939874244 9.88624407059 25.47 ab
58651.5253638 kst 107.950499941 9.83775794208 25.47 ab
58651.7753638 kst 84.978114183 9.79056047385 25.47 ab
58652.0253638 kst 106.873848892 9.74392284023 25.47 ab
58652.2753638 kst 83.2204202147 9.69710195866 25.47 ab
58652.5253638 kst 94.1253051985 9.64973473118 25.47 ab
58652.7753638 kst 92.7999155558 9.60248285269 25.47 ab
58653.0253638 kst 91.8978869103 9.55507177316 25.47 ab
58653.2753638 kst 86.7680379362 9.50713788334 25.47 ab
58653.5253638 kst 87.4720891606 9.45832514505 25.47 ab
58653.7753638 kst 79.1904738885 9.40865984244 25.47 ab
58654.0253638 kst 86.8914660521 9.35832173886 25.47 ab
58654.2753638 kst 95.400418952 9.30743853562 25.47 ab
58654.5253638 kst 88.7303876643 9.25614062898 25.47 ab
58654.7753638 kst 94.7018034247 9.20441331772 25.47 ab
58655.0253638 kst 85.2442566083 9.15214486243 25.47 ab
58655.2753638 kst 95.5345721488 9.09943665964 25.47 ab
58655.5253638 kst 78.1288320397 9.04639486966 25.47 ab
58655.7753638 kst 78.3150772137 8.99308328197 25.47 ab
58656.0253638 kst 86.2562392485 8.93934045587 25.47 ab
58656.2753638 kst 67.4553263328 8.88525432984 25.47 ab
58656.5253638 kst 83.3875163205 8.83096625489 25.47 ab
58656.7753638 kst 80.1731033216 8.77661908195 25.47 ab
58657.0253638 kst 79.9414152805 8.72209341151 25.47 ab
58657.2753638 kst 63.5303309403 8.66735984992 25.47 ab
58657.5253638 kst 74.3697001422 8.6125847852 25.47 ab
58657.7753638 kst 78.6540328769 8.55793885972 25.47 ab
58658.0253638 kst 92.441656833 8.50352895627 25.47 ab
58658.2753638 kst 68.9482361854 8.44924407731 25.47 ab
58658.5253638 kst 73.0279880895 8.39506676548 25.47 ab
58658.7753638 kst 72.5117789402 8.3409894859 25.47 ab
58659.0253638 kst 63.334573772 8.28700678761 25.47 ab
58659.2753638 kst 58.4380467176 8.23314243727 25.47 ab
58659.5253638 kst 58.6537366714 8.17938630391 25.47 ab
58659.7753638 kst 69.8191841832 8.12571391263 25.47 ab
58660.0253638 kst 71.6385046453 8.07210013441 25.47 ab
58660.2753638 kst 63.0275328626 8.01855318305 25.47 ab
58660.5253638 kst 64.1811063975 7.96509427903 25.47 ab
58660.7753638 kst 57.496044107 7.91169455047 25.47 ab
58661.0253638 kst 73.0100372101 7.8583239374 25.47 ab
58661.2753638 kst 64.3324252155 7.80496268445 25.47 ab
58661.5253638 kst 43.973495363 7.75164629927 25.47 ab
58661.7753638 kst 51.6603442073 7.69835877198 25.47 ab
58662.0253638 kst 61.9739341787 7.64507310837 25.47 ab
58662.2753638 kst 56.9075965571 7.59175843278 25.47 ab
58662.5253638 kst 60.5095037402 7.53816553496 25.47 ab
58662.7753638 kst 47.1732055266 7.48441994367 25.47 ab
58663.0253638 kst 64.9883529604 7.43091127839 25.47 ab
58663.2753638 kst 51.7960426771 7.37804044294 25.47 ab
58663.5253638 kst 43.1485556637 7.32597654761 25.47 ab
58663.7753638 kst 45.8518675228 7.2743763199 25.47 ab
58664.0253638 kst 52.7106311987 7.22343891473 25.47 ab
58664.2753638 kst 52.914035883 7.17340617156 25.47 ab
58664.5253638 kst 57.8474203017 7.12451456651 25.47 ab
58664.7753638 kst 43.3916835542 7.07675561189 25.47 ab
58665.0253638 kst 51.2651985325 7.03002848929 25.47 ab
58665.2753638 kst 56.1068960433 6.98425925229 25.47 ab
58665.5253638 kst 48.9139834913 6.93937158575 25.47 ab
58665.7753638 kst 41.2712714386 6.89539830841 25.47 ab
58666.0253638 kst 44.38720177 6.8524214984 25.47 ab
58666.2753638 kst 46.2288080382 6.8103801211 25.47 ab
58666.5253638 kst 51.607324366 6.76921042497 25.47 ab
58666.7753638 kst 48.6166633777 6.72887761821 25.47 ab
58667.0253638 kst 36.6551615206 6.68948791672 25.47 ab
58667.2753638 kst 42.4742664676 6.65101289994 25.47 ab
58667.5253638 kst 38.9472811352 6.61339800226 25.47 ab
58667.7753638 kst 48.301062809 6.57658868823 25.47 ab
58668.0253638 kst 45.0328660633 6.54064917135 25.47 ab
58668.2753638 kst 39.7258420678 6.5056049323 25.47 ab
58668.5253638 kst 32.0554559952 6.47140784227 25.47 ab
58668.7753638 kst 36.4686990337 6.43800840241 25.47 ab
58669.0253638 kst 35.1868358437 6.40540338089 25.47 ab
58669.2753638 kst 42.4786057798 6.37366866221 25.47 ab
58669.5253638 kst 46.8073610592 6.34276661385 25.47 ab
58669.7753638 kst 35.0203194287 6.31265220773 25.47 ab
58670.0253638 kst 42.0655130974 6.28329137126 25.47 ab
58670.2753638 kst 41.1239157326 6.25478228985 25.47 ab
58670.5253638 kst 51.9231104981 6.22709482894 25.47 ab
58670.7753638 kst 46.5364461772 6.20014785732 25.47 ab
58671.0253638 kst 34.8409669004 6.17385854038 25.47 ab
58671.2753638 kst 41.7275446925 6.14837918169 25.47 ab
58671.5253638 kst 26.591664501 6.12378154484 25.47 ab
58671.7753638 kst 37.8637155876 6.09975357437 25.47 ab
58672.0253638 kst 46.424440636 6.07597694914 25.47 ab
58672.2753638 kst 50.0194204363 6.05222006698 25.47 ab
58672.5253638 kst 40.0906492741 6.02872564415 25.47 ab
58672.7753638 kst 41.4900749523 6.00548781595 25.47 ab
58673.0253638 kst 43.9162817879 5.9824446375 25.47 ab
58673.2753638 kst 37.9383221161 5.95953430352 25.47 ab
58673.5253638 kst 27.2142137103 5.93677112518 25.47 ab
58673.7753638 kst 29.4004282683 5.91418399124 25.47 ab
58674.0253638 kst 30.9882885972 5.89177222619 25.47 ab
58674.2753638 kst 34.7264202928 5.86953512844 25.47 ab
58674.5253638 kst 40.6305265173 5.84747399171 25.47 ab
58674.7753638 kst 36.252340297 5.82559336256 25.47 ab
58675.0253638 kst 26.9942052881 5.80389343399 25.47 ab
58675.2753638 kst 30.5475918875 5.78237416866 25.47 ab
58675.5253638 kst 28.4586399018 5.76103585172 25.47 ab
58675.7753638 kst 33.2082894177 5.73988251756 25.47 ab
58676.0253638 kst 35.2088166594 5.71891574421 25.47 ab
58676.2753638 kst 34.8390417352 5.69813601961 25.47 ab
58676.5253638 kst 26.6191723464 5.67754382036 25.47 ab
58676.7753638 kst 29.9447568018 5.65714152343 25.47 ab
58677.0253638 kst 37.0116012181 5.63693212236 25.47 ab
58677.2753638 kst 33.2969479914 5.6169165314 25.47 ab
58677.5253638 kst 33.6539628664 5.5970956544 25.47 ab
58677.7753638 kst 32.5182851117 5.57747086544 25.47 ab
58678.0253638 kst 21.5061827455 5.55804545768 25.47 ab
58678.2753638 kst 27.4263453005 5.53882096686 25.47 ab
58678.5253638 kst 21.5168385478 5.51979864781 25.47 ab
58678.7753638 kst 17.4395918299 5.50097977923 25.47 ab
58679.0253638 kst 25.6000642099 5.48236700061 25.47 ab
58679.2753638 kst 25.5649324498 5.46396254935 25.47 ab
58679.5253638 kst 33.2321510409 5.44576797597 25.47 ab
58679.7753638 kst 30.1183415679 5.42778482756 25.47 ab
58680.0253638 kst 36.5719033652 5.41001504614 25.47 ab
58680.2753638 kst 30.7452735995 5.39246122283 25.47 ab
58680.5253638 kst 32.6579055242 5.37512519714 25.47 ab
58680.7753638 kst 33.1993157034 5.35800877237 25.47 ab
58681.0253638 kst 32.0780767955 5.34111378968 25.47 ab
58681.2753638 kst 25.7218527622 5.32444255824 25.47 ab
58681.5253638 kst 26.277538085 5.30799721275 25.47 ab
58681.7753638 kst 32.4925256399 5.29177978326 25.47 ab
58682.0253638 kst 23.6873147787 5.27579229544 25.47 ab
58682.2753638 kst 29.0046053946 5.26003675314 25.47 ab
58682.5253638 kst 28.9429070353 5.24451530031 25.47 ab
58682.7753638 kst 35.0138434776 5.22923017252 25.47 ab
58683.0253638 kst 31.6529459651 5.21418359962 25.47 ab
58683.2753638 kst 35.7982627098 5.19968662995 25.47 ab
58683.5253638 kst 33.1091730874 5.1854424187 25.47 ab
58683.7753638 kst 28.6669248389 5.17115897122 25.47 ab
58684.0253638 kst 24.2610187485 5.15683596148 25.47 ab
58684.2753638 kst -0.0327041141171 0.1 25.47 ab
58684.5253638 kst -0.059518933628 0.1 25.47 ab
58684.7753638 kst -0.0156481966413 0.1 25.47 ab
58685.0253638 kst 0.0297801712408 0.1 25.47 ab
58685.2753638 kst -0.0695935328905 0.1 25.47 ab
58685.5253638 kst 0.0906040147553 0.1 25.47 ab
58685.7753638 kst -0.119360998706 0.1 25.47 ab
58686.0253638 kst 0.0634164915405 0.1 25.47 ab
58686.2753638 kst -0.0852970388242 0.1 25.47 ab
58686.5253638 kst 0.0343802900442 0.1 25.47 ab
58686.7753638 kst 0.120786016197 0.1 25.47 ab
58687.0253638 kst -0.0989855976115 0.1 25.47 ab
58687.2753638 kst -0.0425050775639 0.1 25.47 ab
58687.5253638 kst -0.0927513870882 0.1 25.47 ab
58687.7753638 kst 0.0181000173524 0.1 25.47 ab
58688.0253638 kst -0.00119402253398 0.1 25.47 ab
58688.2753638 kst -0.037131035598 0.1 25.47 ab
58688.5253638 kst 0.00838666607066 0.1 25.47 ab
58688.7753638 kst -0.169072563814 0.1 25.47 ab
58689.0253638 kst -0.0343810245375 0.1 25.47 ab
58689.2753638 kst -0.039486466161 0.1 25.47 ab
58689.5253638 kst -0.04125624288 0.1 25.47 ab
58689.7753638 kst 0.000945916609299 0.1 25.47 ab
58690.0253638 kst -0.0328161026426 0.1 25.47 ab
58690.2753638 kst -0.103853366518 0.1 25.47 ab
58690.5253638 kst -0.0113280778667 0.1 25.47 ab
58690.7753638 kst 0.0328537803008 0.1 25.47 ab
58691.0253638 kst 0.111280361852 0.1 25.47 ab
58691.2753638 kst 0.0904771594585 0.1 25.47 ab
58691.5253638 kst -0.0979137187389 0.1 25.47 ab
58691.7753638 kst -0.013556557255 0.1 25.47 ab
58692.0253638 kst -0.0371427894583 0.1 25.47 ab
58692.2753638 kst -0.0401441281824 0.1 25.47 ab
58692.5253638 kst -0.000816220812748 0.1 25.47 ab
58692.7753638 kst -0.0724147784559 0.1 25.47 ab
58693.0253638 kst 0.102597926301 0.1 25.47 ab
58693.2753638 kst 0.0566217623991 0.1 25.47 ab
58693.5253638 kst -0.0417139001881 0.1 25.47 ab
58693.7753638 kst 0.074552635783 0.1 25.47 ab
58694.0253638 kst 0.0785109228093 0.1 25.47 ab
