@c -0.53017981154
@x1 -2.98789220875
@x0 0.00308206374185
@z 0.0355279210067
@t0 58644.3609365
time band flux fluxerr zp zpsys
58634.3609365 smg 4022.99014127 1753.90825214 25.9474700778 ab
58638.3609365 smg 5246.7756616 2381.66902745 25.789138892 ab
58642.3609365 smg 37930.9901256 195.856687344 28.4378641463 ab
58647.3609365 smg 2897.74779764 2341.38547595 25.2788500771 ab
58651.3609365 smg 10549.9490583 528.739150408 27.4074921858 ab
58655.3609365 smg 2675.75631004 1023.81954658 26.2517528651 ab
58660.3609365 smg 3461.61825576 785.046777414 27.2215035763 ab
58664.3609365 smg 3559.04458454 1871.17414681 27.759261351 ab
58668.3609365 smg 243.150227763 597.715773164 26.6035962344 ab
58673.3609365 smg 292.588551423 640.782129536 25.2798780583 ab
58678.3609365 smg -5117.48403925 3927.37880369 27.213355032 ab
58683.3609365 smg 1427.73375418 1491.38540217 27.2316117065 ab
58688.3609365 smg 774.773005397 917.116006378 26.2504561958 ab
58693.3609365 smg 814.895250545 519.101766908 27.1070697626 ab
58634.3610754 smr 2145.80317713 1753.80599891 25.576378971 ab
58638.3610754 smr 1632.46802344 2381.38666754 25.3674152398 ab
58642.3610754 smr 1063.86027387 40.8370037433 25.2265297987 ab
58647.3610754 smr 274.297276175 2341.09121301 24.5745560808 ab
58651.3610754 smr 1190.87539954 519.142881161 24.7622375484 ab
58655.3610754 smr 286.470319503 1023.03945706 25.4310907673 ab
58660.3610754 smr 1231.61902294 783.366333913 25.0912181224 ab
58664.3610754 smr 5377.31630818 1870.57007484 25.7450207941 ab
58668.3610754 smr 653.529434008 597.580969398 25.6394558232 ab
58673.3610754 smr -794.503433433 640.854011734 25.1069621281 ab
58678.3610754 smr -1938.65221838 3927.31415768 25.6162343801 ab
58683.3610754 smr -680.874736052 1491.16444966 24.4583569543 ab
58688.3610754 smr 505.223967911 917.050442649 25.4602638226 ab
58693.3610754 smr 682.636541732 518.732372308 25.3376145123 ab
58634.3612142 smi 1602.53923467 1753.83330919 26.2286360645 ab
58638.3612142 smi -1176.23863775 2381.49373473 26.3461434976 ab
58642.3612142 smi 4900.23857821 74.3392216269 27.5553541184 ab
58647.3612142 smi 3018.30682309 2341.83566944 27.416214291 ab
58651.3612142 smi 1414.5431225 519.590774144 26.2297060425 ab
58655.3612142 smi 2916.12499877 1023.92933515 27.604124292 ab
58660.3612142 smi 7318.85913644 787.362059779 28.522052038 ab
58664.3612142 smi 1627.02337969 1870.68828191 26.6120466004 ab
58668.3612142 smi 1104.83699234 598.205481881 26.6777426179 ab
58673.3612142 smi 1158.55036306 641.604033776 27.0207803573 ab
58678.3612142 smi 4793.52737533 3927.37482735 27.1007487999 ab
58683.3612142 smi -31.5988087918 1491.27028235 26.8904787612 ab
58688.3612142 smi -37.6446025286 917.089114269 26.4564488844 ab
58693.3612142 smi -263.169635735 518.768456262 26.3862548444 ab
