@c 0.139404118578
@x1 0.151044470331
@x0 0.000500049185641
@z 0.0851194461032
@t0 58417.2691648
time band flux fluxerr zp zpsys
58402.2691648 smg 556.971079615 270.213415621 28.296620461 ab
58407.2691648 smg 2037.92416074 777.409796934 27.5098736988 ab
58412.2691648 smg 3814.6724101 70.6570114087 27.8152699736 ab
58416.2691648 smg 943.980321592 1296.69847502 26.9466081047 ab
58420.2691648 smg 1639.97796349 1524.8360687 27.7602148591 ab
58424.2691648 smg 1483.84113942 573.470493975 26.5185540489 ab
58429.2691648 smg 4957.45224018 7658.75067729 26.7398484864 ab
58434.2691648 smg 2850.94085139 2954.3045891 26.2314219578 ab
58439.2691648 smg -1247.08243533 1490.36527787 26.8286412025 ab
58443.2691648 smg -3525.77382247 2786.38217883 25.8095627009 ab
58448.2691648 smg 1791.8742737 842.387666124 27.9676102142 ab
58453.2691648 smg 219.83346026 132.275331856 27.1171399264 ab
58402.2693037 smr 307.86864626 268.552939408 25.2696291141 ab
58407.2693037 smr 1553.59796541 776.46040253 25.279188598 ab
58412.2693037 smr 423.154195527 38.6094499516 25.3922624974 ab
58416.2693037 smr 870.686610296 1296.05380123 24.868755886 ab
58420.2693037 smr 627.416440163 1523.74000269 25.6092594867 ab
58424.2693037 smr -146.383396804 572.783533616 24.8430754296 ab
58429.2693037 smr 2107.61844428 7658.69619172 24.1828780167 ab
58434.2693037 smr 4649.16255272 2954.27199048 24.985729406 ab
58439.2693037 smr 1807.31488598 1490.28570781 25.2344120772 ab
58443.2693037 smr -4993.14223713 2786.39090582 25.169592554 ab
58448.2693037 smr -155.33054035 842.047606142 24.9324798807 ab
58453.2693037 smr -117.254959971 131.757508018 25.0574298025 ab
58402.2694426 smi 178.361034165 268.899678563 26.8185946462 ab
58407.2694426 smi 1037.32726113 776.52855985 25.7528865971 ab
58412.2694426 smi 830.61858768 44.006917073 26.3568490448 ab
58416.2694426 smi 431.444419982 1296.33268391 26.5304239541 ab
58420.2694426 smi 2366.81760348 1524.27172064 27.4171474409 ab
58424.2694426 smi 2392.65175115 573.325293571 26.5530994291 ab
58429.2694426 smi 10863.3831788 7658.71713549 26.1325100533 ab
58434.2694426 smi -6584.96574809 2954.32474272 26.4353483773 ab
58439.2694426 smi 522.512629881 1490.34005018 26.0401892481 ab
58443.2694426 smi 6631.95712058 2786.6756333 27.6961371328 ab
58448.2694426 smi 906.856503665 842.765886603 27.45136186 ab
58453.2694426 smi 479.700448038 132.692969039 26.2556383541 ab
