@c 0.18235866906
@x1 -1.14908573032
@x0 0.00202139958774
@z 0.0436121212212
@t0 58524.818304
time band flux fluxerr zp zpsys
58514.818304 smg 2290.40931535 465.581733667 26.5198634777 ab
58516.818304 smg 28764.9829054 1192.96263675 29.0252696237 ab
58518.818304 smg 7226.72976622 264.54143355 27.1326678955 ab
58519.818304 smg 4465.41397615 1491.96356567 26.3118851185 ab
58521.818304 smg 4791.49536319 1125.15358724 26.5656453394 ab
58522.818304 smg 15948.5921676 7447.53919371 26.7855034899 ab
58523.818304 smg 5184.52467363 2278.27524565 25.942829882 ab
58525.818304 smg 3054.95146978 1638.08228282 26.2793555326 ab
58526.818304 smg 5217.47711913 883.139298375 26.6501880673 ab
58528.818304 smg 3810.01355593 658.595013362 26.1818142387 ab
58530.818304 smg 2944.79511371 292.155063239 26.2019832937 ab
58531.818304 smg 9773.70945761 1113.92199367 27.5069753432 ab
58532.818304 smg 999.909555134 2000.14855012 26.0590546422 ab
58533.818304 smg 2178.26292213 591.852601607 25.8767473907 ab
58534.818304 smg 10862.1562877 5056.28859647 27.7210233641 ab
58535.818304 smg 3126.85496692 1723.06426054 26.3926049567 ab
58537.818304 smg 8673.45193284 1759.96190327 27.7262178581 ab
58539.818304 smg 2494.00514631 405.310474121 26.3381176768 ab
58540.818304 smg 5417.44814626 393.156969495 27.6428467559 ab
58541.818304 smg 21.9837338783 1863.1936995 25.9398791935 ab
58542.818304 smg 8011.50849498 210.210084049 28.2101759031 ab
58544.818304 smg 2430.96333884 2164.18680214 26.1867364877 ab
58545.818304 smg 1449.05030265 49.8289593341 26.7082815094 ab
58546.818304 smg 2159.36171802 921.371649068 27.0904125266 ab
58547.818304 smg 1369.84272715 921.57447468 27.2880835653 ab
58549.818304 smg 2776.91300306 3692.86457538 27.0104078508 ab
58550.818304 smg 935.857746715 676.016413597 27.1856437967 ab
58552.818304 smg 10716.7210132 6045.26708 27.0219014468 ab
58554.818304 smg 2153.71294138 929.316730815 27.5317242501 ab
58555.818304 smg 976.129730564 745.319473592 25.8015621684 ab
58556.818304 smg 767.526215888 420.965910522 26.9279112662 ab
58557.818304 smg 775.107007507 691.607194501 27.3923613629 ab
58514.8184429 smr 686.759583895 464.436896983 25.4532476089 ab
58516.8184429 smr 2927.34536957 1180.86984867 25.6131543146 ab
58518.8184429 smr 1132.85204408 252.878688675 24.8931966959 ab
58519.8184429 smr 1221.00309825 1491.39307268 25.5061238589 ab
58521.8184429 smr 1590.46443928 1123.27286876 24.6962519705 ab
58522.8184429 smr 1515.74103679 7447.18580589 25.0128367184 ab
58523.8184429 smr 2380.91273591 2278.04979241 25.4087768299 ab
58525.8184429 smr 1666.3581437 1637.1533204 24.8005093178 ab
58526.8184429 smr 2130.85274654 880.653104274 25.0319211039 ab
58528.8184429 smr 452.875191042 656.767938953 24.7896252732 ab
58530.8184429 smr 1294.3455538 289.24844346 25.2050221372 ab
58531.8184429 smr 1487.02972293 1109.70317377 24.7607265486 ab
58532.8184429 smr 6108.55299047 1999.86872242 25.2050206519 ab
58533.8184429 smr 1973.28887499 591.504054313 25.3976846187 ab
58534.8184429 smr -545.34464016 5055.4341382 25.4414831162 ab
58535.8184429 smr 633.189987919 1722.71466901 25.5161421723 ab
58537.8184429 smr 2459.95639234 1757.93788957 24.9813001346 ab
58539.8184429 smr 1198.16836334 404.066244263 25.0144968483 ab
58540.8184429 smr 1200.37159047 387.322223898 25.2929003078 ab
58541.8184429 smr 1496.99982536 1863.19264156 25.3166979818 ab
58542.8184429 smr 1449.37056747 194.12612391 25.6288340171 ab
58544.8184429 smr 942.814798729 2164.25409413 25.621498441 ab
58545.8184429 smr 475.122492813 38.5797556616 24.6719406442 ab
58546.8184429 smr 810.4307239 920.673478225 25.0464690358 ab
58547.8184429 smr 282.975063563 920.871357394 25.3719226473 ab
58549.8184429 smr -3878.14314541 3692.77638294 25.329174884 ab
58550.8184429 smr 841.14482379 675.625670335 25.6671803205 ab
58552.8184429 smr -1952.26070517 6045.23699846 25.4967590908 ab
58554.8184429 smr -571.510424857 928.82412981 25.539597987 ab
58555.8184429 smr 533.887600712 745.476805727 25.2759857539 ab
58556.8184429 smr 1093.61390877 420.729642024 25.5482772847 ab
58557.8184429 smr 573.85690814 691.321359621 25.9210894511 ab
58514.8185818 smi 1582.61571294 465.78139855 26.5473727487 ab
58516.8185818 smi 10887.0857392 1183.9281301 27.6685387517 ab
58518.8185818 smi 2964.82630246 256.968892335 26.3023900473 ab
58519.8185818 smi 2907.14223246 1491.93370158 26.392038492 ab
58521.8185818 smi 6962.77340496 1126.04694996 27.1332401959 ab
58522.8185818 smi -5063.45582441 7447.40274155 26.6508355355 ab
58523.8185818 smi 7460.79529142 2279.87073617 27.5291866126 ab
58525.8185818 smi 1716.96697341 1637.34124672 25.6879080916 ab
58526.8185818 smi 3325.45709165 881.014982905 25.8805256142 ab
58528.8185818 smi 655.154205617 656.449517582 24.8193621794 ab
58530.8185818 smi 4564.01224017 293.998117273 26.8064461493 ab
58531.8185818 smi 52.7583565266 1110.47324966 26.3654280869 ab
58532.8185818 smi 9631.14897104 2001.69484861 27.7232835573 ab
58533.8185818 smi 1565.06573197 591.25516627 25.7605210433 ab
58534.8185818 smi 11331.881127 5056.21484041 27.9984261033 ab
58535.8185818 smi 8451.00061996 1723.8581374 27.4802818027 ab
58537.8185818 smi 3191.31655958 1758.53250143 26.8666467408 ab
58539.8185818 smi 4695.90181316 408.4895316 27.2946121447 ab
58540.8185818 smi 8406.93778902 397.973376446 28.0992600852 ab
58541.8185818 smi 1241.29201854 1863.96488714 27.1340311845 ab
58542.8185818 smi 9232.97677098 213.236787013 28.0286396958 ab
58544.8185818 smi 4244.80342186 2165.06199856 27.288048954 ab
58545.8185818 smi 1399.95002707 47.7218219476 25.8706778414 ab
58546.8185818 smi 2959.26404003 922.171424487 26.9118841609 ab
58547.8185818 smi 1983.87009065 921.118368309 25.928693539 ab
58549.8185818 smi -600.742217215 3693.19810974 27.0813088615 ab
58550.8185818 smi 1589.6338682 675.756840175 25.8835148493 ab
58552.8185818 smi -8025.3593805 6045.25056383 25.7099409723 ab
58554.8185818 smi 2133.13162351 929.093807775 26.0846204676 ab
58555.8185818 smi -105.86612902 745.545177433 25.4471563159 ab
58556.8185818 smi 2898.63277007 423.245520985 27.0901907332 ab
58557.8185818 smi 913.132662301 691.203050084 25.6794775671 ab
