@c 0.0376647415833
@x1 0.917663085214
@x0 0.00083952238111
@z 0.0665637507116
@t0 58592.2416015
time band flux fluxerr zp zpsys
58577.2416015 smg -700.835396864 793.422001388 26.0715263757 ab
58579.2416015 smg -366.083727685 1454.12892303 26.4149552523 ab
58580.2416015 smg -388.857662019 1674.07415363 27.1224163311 ab
58582.2416015 smg 977.257539281 1437.74840617 26.3698750499 ab
58584.2416015 smg 2369.1158971 1069.04448272 26.9978971227 ab
58586.2416015 smg 3306.54006569 263.202577751 27.136618031 ab
58588.2416015 smg -755.408339991 1177.98186723 25.2711395927 ab
58590.2416015 smg 3278.7648562 943.386549715 26.8918455006 ab
58592.2416015 smg 3189.08436779 1312.6776999 26.7961003377 ab
58593.2416015 smg 3924.15437285 1041.61280995 27.1671583825 ab
58595.2416015 smg -805.342140639 1727.20021284 25.8296877083 ab
58597.2416015 smg 4150.47830796 1504.98011804 26.8928901629 ab
58599.2416015 smg 1033.50420322 688.214927232 26.7192653792 ab
58601.2416015 smg 1436.98276731 891.062830759 26.6898251357 ab
58602.2416015 smg 1559.63843159 1323.0156959 27.148899917 ab
58604.2416015 smg 9432.32140319 7856.13127727 25.7186340338 ab
58605.2416015 smg 2326.99596986 254.98286233 26.8600304157 ab
58607.2416015 smg 1258.53288606 940.48905174 25.5142574783 ab
58609.2416015 smg 976.215766974 1943.33734736 26.0348379277 ab
58611.2416015 smg -458.747921594 394.053342881 26.3709303762 ab
58612.2416015 smg 675.874005671 3877.70983708 26.7979888176 ab
58613.2416015 smg 1344.8176733 1559.45594777 26.4596164997 ab
58614.2416015 smg 641.469396949 912.955368348 26.4445969622 ab
58615.2416015 smg -339.755885129 603.231298795 26.1672499387 ab
58617.2416015 smg 195.286317688 30.6055628133 25.4341703985 ab
58619.2416015 smg -419.428349618 1170.10909336 27.1454182626 ab
58621.2416015 smg 2910.19173956 1190.6131547 27.4284830908 ab
58623.2416015 smg -507.697280885 697.74031488 26.634834619 ab
58624.2416015 smg 451.229794609 400.410403976 26.5234031329 ab
58626.2416015 smg 1218.31739258 294.305089998 27.7717917741 ab
58627.2416015 smg 2098.8320819 56.2792886986 28.7460361033 ab
58628.2416015 smg 1038.12208939 767.378299071 27.5194490905 ab
58630.2416015 smg 476.987802213 928.335910258 25.8203547516 ab
58632.2416015 smg 637.954007659 870.580192438 27.2447128347 ab
58634.2416015 smg 1288.16273805 2132.31410238 27.8662127262 ab
