@c -0.366902106301
@x1 0.54165467193
@x0 0.000432266750622
@z 0.091161850565
@t0 57946.2523293
time band flux fluxerr zp zpsys
57930.2523293 kst 31.3476001835 5.71212812115 25.47 ab
57931.2523293 kst 46.6346203662 7.09565742429 25.47 ab
57932.2523293 kst 78.6821185886 8.41499961224 25.47 ab
57933.2523293 kst 95.7277632134 9.62149269597 25.47 ab
57934.2523293 kst 119.828806466 10.6963824739 25.47 ab
57935.2523293 kst 145.973353541 11.6954496631 25.47 ab
57936.2523293 kst 140.087183806 12.6492600175 25.47 ab
57937.2523293 kst 168.715171877 13.5834411788 25.47 ab
57938.2523293 kst 208.838953589 14.4232275296 25.47 ab
57939.2523293 kst 213.953551007 15.129095628 25.47 ab
57940.2523293 kst 264.472600782 15.7015610852 25.47 ab
57941.2523293 kst 262.467985565 16.144371292 25.47 ab
57942.2523293 kst 276.790920102 16.4657266573 25.47 ab
57943.2523293 kst 273.350153409 16.6952482114 25.47 ab
57944.2523293 kst 289.162653468 16.8640037794 25.47 ab
57945.2523293 kst 295.810333104 16.9638794002 25.47 ab
57946.2523293 kst 266.834014172 16.991493452 25.47 ab
57947.2523293 kst 267.410601254 16.9567898315 25.47 ab
57948.2523293 kst 290.813095667 16.8683972318 25.47 ab
57949.2523293 kst 269.278273229 16.7290385933 25.47 ab
57950.2523293 kst 281.030847148 16.5422490177 25.47 ab
57951.2523293 kst 264.047089126 16.3086195864 25.47 ab
57952.2523293 kst 242.025340956 16.0293468569 25.47 ab
57953.2523293 kst 236.388266776 15.7060965042 25.47 ab
57954.2523293 kst 230.094770818 15.338070458 25.47 ab
57955.2523293 kst 239.017687684 14.9331913568 25.47 ab
57956.2523293 kst 200.847001605 14.5187235784 25.47 ab
57957.2523293 kst 212.685199242 14.1078839974 25.47 ab
57958.2523293 kst 184.430015946 13.6956197788 25.47 ab
57959.2523293 kst 166.426432529 13.2783598024 25.47 ab
57960.2523293 kst 160.201746846 12.855060864 25.47 ab
57961.2523293 kst 145.395443857 12.4527901972 25.47 ab
57962.2523293 kst 146.857061241 12.0826374359 25.47 ab
57963.2523293 kst 159.36854332 11.7511335742 25.47 ab
57964.2523293 kst 124.351210046 11.4684269999 25.47 ab
57965.2523293 kst 103.632905571 11.2233737407 25.47 ab
57966.2523293 kst 88.7492345142 10.9896876365 25.47 ab
57967.2523293 kst 111.7904682 10.7560920209 25.47 ab
57968.2523293 kst 122.896200416 10.5275123158 25.47 ab
57969.2523293 kst 118.929175959 10.3072399884 25.47 ab
57970.2523293 kst 105.887489433 10.0997791898 25.47 ab
57971.2523293 kst 90.8516138027 9.90802692323 25.47 ab
57972.2523293 kst 91.2724056842 9.73286455148 25.47 ab
57973.2523293 kst 84.1671642767 9.57508095866 25.47 ab
57974.2523293 kst 86.4709368904 9.42664057977 25.47 ab
57975.2523293 kst 71.7543136161 9.26938280387 25.47 ab
57976.2523293 kst 82.0821602381 9.0978030349 25.47 ab
57977.2523293 kst 87.4025968705 8.91395596454 25.47 ab
57978.2523293 kst 76.9052765724 8.71868550991 25.47 ab
57979.2523293 kst 66.3328565823 8.51210490934 25.47 ab
57980.2523293 kst 74.1572083974 8.29663721792 25.47 ab
57981.2523293 kst 73.8548193082 8.08467753391 25.47 ab
57982.2523293 kst 51.4913181615 7.8835423281 25.47 ab
57983.2523293 kst 56.9700053983 7.69190035738 25.47 ab
57984.2523293 kst 54.6810463311 7.50923726046 25.47 ab
57985.2523293 kst 48.7849706691 7.33517081346 25.47 ab
57986.2523293 kst 49.6901341986 7.16941183466 25.47 ab
57987.2523293 kst 47.3640454945 7.0117219723 25.47 ab
57988.2523293 kst 39.9863558888 6.86197143209 25.47 ab
57989.2523293 kst 46.8848366341 6.7210257166 25.47 ab
57990.2523293 kst 43.299394633 6.58983103463 25.47 ab
57991.2523293 kst 48.835965233 6.46826861316 25.47 ab
57992.2523293 kst 41.0842090498 6.35606211525 25.47 ab
57993.2523293 kst 36.2280099655 6.25294101435 25.47 ab
57994.2523293 kst 34.8426453572 6.15860662402 25.47 ab
57995.2523293 kst 44.935354544 6.07272312519 25.47 ab
57996.2523293 kst 28.6886400992 5.9949292122 25.47 ab
57997.2523293 kst 43.3125282584 5.92484201226 25.47 ab
57998.2523293 kst 40.6464896769 5.862055739 25.47 ab
57999.2523293 kst 31.9565044418 5.80614660378 25.47 ab
58000.2523293 kst 30.0277087059 5.75761927026 25.47 ab
58001.2523293 kst -0.2223063326 0.1 25.47 ab
58002.2523293 kst 0.0317935614762 0.1 25.47 ab
58003.2523293 kst -0.144121303954 0.1 25.47 ab
58004.2523293 kst -0.0942537644421 0.1 25.47 ab
58005.2523293 kst 0.16540401726 0.1 25.47 ab
58006.2523293 kst 0.0809290698461 0.1 25.47 ab
58007.2523293 kst -0.16486807516 0.1 25.47 ab
58008.2523293 kst 0.115667737776 0.1 25.47 ab
58009.2523293 kst 0.0171556097535 0.1 25.47 ab
