@c -0.18933782795
@x1 -3.16260591532
@x0 0.000622443594204
@z 0.0767461233484
@t0 57931.1012741
time band flux fluxerr zp zpsys
57922.1012741 smg 380.332180953 476.55712441 27.6145908871 ab
57925.1012741 smg 1647.71565899 476.520827571 26.7996559177 ab
57928.1012741 smg 1224.74390959 476.474777174 26.4274113226 ab
57931.1012741 smg 3545.91352946 478.962557209 27.4503183786 ab
57934.1012741 smg 1948.22957927 477.177012186 26.8664184052 ab
57937.1012741 smg 4543.2912228 480.436544976 28.1028732984 ab
57940.1012741 smg 945.616452311 475.770180201 26.1981037838 ab
57943.1012741 smg 964.538249038 475.817764557 26.6627230349 ab
57946.1012741 smg 163.969433023 475.325468284 25.8969286883 ab
57949.1012741 smg -15.5625468924 475.716231131 27.4079843603 ab
57952.1012741 smg -172.266517203 475.279379473 26.5852667054 ab
57955.1012741 smg 281.189862369 475.360057499 27.161298918 ab
57958.1012741 smg 529.226156178 475.185368452 26.4456391669 ab
57922.101413 smr 236.622768423 342.206006646 26.2112661568 ab
57925.101413 smr -477.373705134 342.072893429 25.2023915876 ab
57928.101413 smr 43.175005368 342.52354463 25.7751268635 ab
57931.101413 smr 1600.86836833 344.262045046 26.8884878116 ab
57934.101413 smr 71.7299939893 342.230510341 25.157048989 ab
57937.101413 smr 279.102170886 342.300682012 25.4006314328 ab
57940.101413 smr 1145.90020889 341.99476415 24.8388206693 ab
57943.101413 smr 79.5731492877 342.223264111 25.698070643 ab
57946.101413 smr 377.105855384 342.200289082 25.75189207 ab
57949.101413 smr -146.929414932 342.177381751 25.8163761607 ab
57952.101413 smr -410.545301161 341.893175109 24.9577147703 ab
57955.101413 smr 201.229013705 341.95381883 25.4694370676 ab
57958.101413 smr 347.597625899 342.57715956 27.1755316919 ab
57922.1015519 smi 544.732054326 231.395476853 26.5568473539 ab
57925.1015519 smi 2519.50053343 236.142388571 27.9295168798 ab
57928.1015519 smi 754.853882266 231.924236987 26.2920387018 ab
57931.1015519 smi 973.062003832 233.251457418 26.9963055016 ab
57934.1015519 smi 3170.35166572 237.305045711 28.0640013819 ab
57937.1015519 smi 347.951110068 231.354137128 26.0110876769 ab
57940.1015519 smi 141.366579457 231.334913925 26.3242800396 ab
57943.1015519 smi 92.3312800406 230.716063222 25.323391244 ab
57946.1015519 smi 689.458770602 232.491200913 27.3228803042 ab
57949.1015519 smi 563.481362967 231.123962193 26.052774738 ab
57952.1015519 smi 573.993678872 231.660205728 26.6317410354 ab
57955.1015519 smi 140.654255663 231.302367033 26.25519693 ab
57958.1015519 smi 854.484171437 232.305652374 27.2852056716 ab
57922.1016908 smv 132.65784814 153.510781736 24.3311532013 ab
57925.1016908 smv 67.0276381818 154.220899646 25.4340496261 ab
57915.1012741 kst -23.5798347337 4.97690508916 25.47 ab
57916.1012741 kst -12.4621869241 4.13887573375 25.47 ab
57917.1012741 kst -8.9366308577 2.14912114691 25.47 ab
57918.1012741 kst 12.5694196659 3.74531182837 25.47 ab
57919.1012741 kst 32.0564404828 6.4025286054 25.47 ab
57920.1012741 kst 73.7552286393 8.72749674091 25.47 ab
57921.1012741 kst 123.767077891 10.949245115 25.47 ab
57922.1012741 kst 176.717467485 13.1686488566 25.47 ab
57923.1012741 kst 235.059834428 15.1612391241 25.47 ab
57924.1012741 kst 295.198663189 16.8090870834 25.47 ab
57925.1012741 kst 305.647633118 18.1500372541 25.47 ab
57926.1012741 kst 368.503095116 19.2402815176 25.47 ab
57927.1012741 kst 404.163339412 20.1063373954 25.47 ab
57928.1012741 kst 436.151656326 20.7753671863 25.47 ab
57929.1012741 kst 464.460105012 21.2689866126 25.47 ab
57930.1012741 kst 438.597095596 21.5794901913 25.47 ab
57931.1012741 kst 501.628544758 21.7022968004 25.47 ab
57932.1012741 kst 486.385311597 21.6720419386 25.47 ab
57933.1012741 kst 420.152103393 21.5156403226 25.47 ab
57934.1012741 kst 446.488214474 21.2382708727 25.47 ab
57935.1012741 kst 449.020318292 20.8463818878 25.47 ab
57936.1012741 kst 413.131785398 20.3519450929 25.47 ab
57937.1012741 kst 376.276464242 19.7619236331 25.47 ab
57938.1012741 kst 348.7283941 19.0767360487 25.47 ab
57939.1012741 kst 314.881267553 18.2847959566 25.47 ab
57940.1012741 kst 292.292493116 17.4318197543 25.47 ab
57941.1012741 kst 272.80028046 16.6297809382 25.47 ab
57942.1012741 kst 261.104918461 15.937039494 25.47 ab
57943.1012741 kst 238.851118747 15.3515339292 25.47 ab
57944.1012741 kst 238.044657698 14.8807926136 25.47 ab
57945.1012741 kst 211.768944924 14.5199023886 25.47 ab
57946.1012741 kst 206.122658285 14.1739433558 25.47 ab
57947.1012741 kst 215.613607304 13.8267686173 25.47 ab
57948.1012741 kst 194.082557292 13.4780139567 25.47 ab
57949.1012741 kst 188.410414183 13.1274310513 25.47 ab
57950.1012741 kst 192.305199106 12.7910449516 25.47 ab
57951.1012741 kst 136.567509008 12.4873406191 25.47 ab
57952.1012741 kst 167.02310937 12.2272876416 25.47 ab
57953.1012741 kst 140.795831687 12.0220626601 25.47 ab
57954.1012741 kst 149.554687553 11.8297077242 25.47 ab
57955.1012741 kst 142.982846906 11.5627430315 25.47 ab
57956.1012741 kst 139.426393023 11.1887576669 25.47 ab
57957.1012741 kst 103.099080328 10.7183281779 25.47 ab
57958.1012741 kst 99.4046201793 10.1583399728 25.47 ab
57959.1012741 kst 91.2827828907 9.55583418867 25.47 ab
57960.1012741 kst 78.7345497199 9.00362628783 25.47 ab
57961.1012741 kst 72.1856339255 8.49854482071 25.47 ab
57962.1012741 kst 54.445310119 8.03817302653 25.47 ab
57963.1012741 kst 67.8993390488 7.62032971322 25.47 ab
57964.1012741 kst 59.5646805647 7.24261138376 25.47 ab
57965.1012741 kst 57.6915819044 6.91049205698 25.47 ab
57966.1012741 kst 38.311887567 6.63122672962 25.47 ab
57967.1012741 kst 46.9964980439 6.40704782001 25.47 ab
57968.1012741 kst 43.1481944313 6.23674043825 25.47 ab
57969.1012741 kst 42.771838208 6.11887390769 25.47 ab
57970.1012741 kst 47.6739132152 6.0511657939 25.47 ab
57971.1012741 kst 38.3133749431 6.03048393598 25.47 ab
57972.1012741 kst 38.4880184953 6.05236690529 25.47 ab
57973.1012741 kst 29.0102714474 6.10481648442 25.47 ab
57974.1012741 kst 31.9295321536 6.13626510114 25.47 ab
57975.1012741 kst 36.7432997063 6.14157756742 25.47 ab
57976.1012741 kst 34.3337322755 6.12363320143 25.47 ab
57977.1012741 kst 37.3579470008 6.08503562669 25.47 ab
57978.1012741 kst 40.2621293993 6.02813296176 25.47 ab
57979.1012741 kst 36.205139061 5.95511448638 25.47 ab
