@c -0.101581740396
@x1 -0.786950711243
@x0 0.000460026066841
@z 0.0885320138139
@t0 57890.7125811
time band flux fluxerr zp zpsys
57884.7125811 smg 1065.82551983 476.086784405 26.5276518055 ab
57887.7125811 smg 826.323558379 475.673653495 25.7543119952 ab
57890.7125811 smg 4671.44092929 479.977180203 28.0009163488 ab
57893.7125811 smg 2848.21513809 477.548852338 27.3243685622 ab
57896.7125811 smg 892.068573693 476.100951631 26.5186619976 ab
57899.7125811 smg 347.699620598 475.74687404 26.2742048487 ab
57902.7125811 smg 1148.64487008 475.455514604 25.9145618401 ab
57905.7125811 smg 775.743720848 475.615813458 26.6056398416 ab
57908.7125811 smg 358.264532787 475.274453311 25.8263062961 ab
57911.7125811 smg -213.482874197 475.473013144 26.886640343 ab
57914.7125811 smg -223.476437728 475.475579031 27.1522544546 ab
57917.7125811 smg 126.730629487 475.32922593 26.9031750007 ab
57920.7125811 smg -376.846607392 475.206576405 26.4032022649 ab
57923.7125811 smg 1077.55993348 475.914240533 28.628593002 ab
57926.7125811 smg 1205.1442741 475.770083687 28.5634719836 ab
57929.7125811 smg 219.58988815 475.125982187 25.7530064975 ab
57932.7125811 smg -444.528818696 475.106470488 25.2539429242 ab
57935.7125811 smg 389.637308061 475.227430362 27.165116813 ab
57938.7125811 smg 808.804284663 475.414564159 28.1233862991 ab
57884.71272 smr 800.462537581 342.643633176 26.2977126013 ab
57887.71272 smr 1415.68528242 343.846196016 26.9924669277 ab
57890.71272 smr 348.19185146 342.259944103 25.4261839607 ab
57893.71272 smr 1261.82606446 342.536353947 25.8678749006 ab
57896.71272 smr 545.1527052 342.574466648 25.9934083907 ab
57899.71272 smr -245.553074947 342.006867252 24.9917355374 ab
57902.71272 smr 706.648330876 342.054807217 25.332771756 ab
57905.71272 smr -124.191944025 341.809517118 24.1370284579 ab
57908.71272 smr 83.2650765714 342.19004524 25.9798578854 ab
57911.71272 smr 766.209925196 342.566476623 26.7329132728 ab
57914.71272 smr 197.13871348 341.872652671 25.0572485209 ab
57917.71272 smr 243.926615404 342.391558409 26.7721262621 ab
57920.71272 smr 394.137040821 342.11865777 26.3969915579 ab
57923.71272 smr 470.879099991 342.372077945 27.1033962199 ab
57926.71272 smr 220.31337548 341.867413851 25.7209364427 ab
57929.71272 smr -143.221835078 341.844094608 25.6933992844 ab
57932.71272 smr -256.542118489 341.854647388 25.8884396956 ab
57935.71272 smr 674.977813704 341.850282763 25.9479627618 ab
57938.71272 smr 305.699040591 341.893995838 26.3272250144 ab
57884.7128589 smi 881.899104809 231.632411898 26.3828896814 ab
57887.7128589 smi 201.167614347 231.348522982 26.0091366866 ab
57890.7128589 smi 883.621527633 231.501047818 26.1900601376 ab
57893.7128589 smi 1043.60940006 232.547341911 26.9814780995 ab
57896.7128589 smi 470.78359599 232.144623659 26.8423513352 ab
57899.7128589 smi 497.731507505 230.712311438 25.1318587863 ab
57902.7128589 smi 382.942014338 230.965510451 26.0317029696 ab
57905.7128589 smi 425.729509476 231.029556706 26.2065186798 ab
57908.7128589 smi 770.728877504 231.760879448 27.0543944344 ab
57911.7128589 smi -221.446918187 230.744241416 25.4641466196 ab
57914.7128589 smi 296.804644171 231.568586829 26.8268549035 ab
57917.7128589 smi 369.606176132 231.10703274 26.3210375738 ab
57920.7128589 smi 757.601944948 230.865445726 25.9690841322 ab
57923.7128589 smi 211.728172689 231.313563547 26.9084961206 ab
57926.7128589 smi 212.64901508 231.100666467 26.8244302158 ab
57929.7128589 smi 113.694864862 230.749707309 26.2186245418 ab
57932.7128589 smi 83.5458681377 230.717312946 26.2599758291 ab
57935.7128589 smi 388.507127648 230.959855308 27.0527524309 ab
57938.7128589 smi 168.445172294 230.56774453 25.7685424275 ab
57884.7129978 smv 43.9236029571 153.93791562 24.7864655527 ab
57887.7129978 smv 311.174154182 154.273474686 25.1924535629 ab
