@c -0.290668563935
@x1 2.80056532225
@x0 0.0483324147531
@z 0.00914792416429
@t0 58114.1792731
time band flux fluxerr zp zpsys
58111.1792731 smg 107820.329627 330.020279742 26.558715465 ab
58115.1792731 smg 112290.763155 335.787227312 26.6002493304 ab
58119.1792731 smg 244810.672922 496.298390017 27.5218735735 ab
58123.1792731 smg 169818.95565 413.248314111 27.2527257813 ab
58127.1792731 smg 71937.7845584 269.124891373 26.5483788801 ab
58131.1792731 smg 76771.4766042 278.169520646 26.8905180268 ab
58135.1792731 smg 36872.558065 194.052600818 26.3747368049 ab
58111.179412 smr 21962.0699203 149.841668568 25.3417150183 ab
58115.179412 smr 21069.1367028 146.526965453 25.2274224315 ab
58119.179412 smr 24665.2081876 159.440919285 25.4372808093 ab
58123.179412 smr 21735.0309577 150.152440791 25.4544512265 ab
58127.179412 smr 11397.5519829 109.145122844 25.0270346227 ab
58131.179412 smr 10975.2276866 107.916579484 25.2132267936 ab
58135.179412 smr 10711.0382939 107.030373254 25.2187286504 ab
58111.1795509 smi 56853.0812901 240.648447804 27.0332883276 ab
58115.1795509 smi 29517.2419867 173.633468557 26.4724480528 ab
58119.1795509 smi 33000.2758206 183.055232815 26.6952313447 ab
58123.1795509 smi 22497.6168881 152.575299944 26.4697068691 ab
58127.1795509 smi 26851.2267521 166.026640319 26.9870299339 ab
58131.1795509 smi 12851.5069439 116.375672368 26.422739937 ab
58135.1795509 smi 19436.0891285 142.28990084 26.8686251137 ab
58098.1792731 kst 3423.7903553 59.3268759782 25.47 ab
58099.1792731 kst 5713.48817926 74.9591620897 25.47 ab
58100.1792731 kst 8132.35610683 90.0769953596 25.47 ab
58101.1792731 kst 10931.975716 104.34677931 25.47 ab
58102.1792731 kst 13673.728198 116.753169106 25.47 ab
58103.1792731 kst 16099.1253731 126.722534147 25.47 ab
58104.1792731 kst 18404.3944338 135.103773965 25.47 ab
58105.1792731 kst 20005.7653611 142.317493849 25.47 ab
58106.1792731 kst 21918.1582716 148.574771742 25.47 ab
58107.1792731 kst 23776.3812489 153.674873424 25.47 ab
58108.1792731 kst 24911.4502625 157.532887977 25.47 ab
58109.1792731 kst 25512.1003724 160.132737467 25.47 ab
58110.1792731 kst 26144.9187631 161.39962686 25.47 ab
58111.1792731 kst 26137.9743122 161.776390474 25.47 ab
58112.1792731 kst 26394.4670442 162.115780391 25.47 ab
58113.1792731 kst 26394.3579647 162.409279421 25.47 ab
58114.1792731 kst 26745.3475505 162.649108692 25.47 ab
58115.1792731 kst 26529.4309742 162.661585094 25.47 ab
58116.1792731 kst 26192.8501801 162.334555576 25.47 ab
58117.1792731 kst 26023.9765192 161.688055698 25.47 ab
58118.1792731 kst 25632.2894723 160.737060179 25.47 ab
58119.1792731 kst 25435.1093786 159.330932111 25.47 ab
58120.1792731 kst 24782.7738634 157.455905351 25.47 ab
58121.1792731 kst 24219.3110571 155.140706554 25.47 ab
58122.1792731 kst 23156.3976532 152.394981968 25.47 ab
58123.1792731 kst 22468.0691169 149.286433884 25.47 ab
58124.1792731 kst 21394.454617 145.841574597 25.47 ab
58125.1792731 kst 20132.2950541 142.016960973 25.47 ab
58126.1792731 kst 19019.7575438 137.741205096 25.47 ab
58127.1792731 kst 17576.4695786 133.015140781 25.47 ab
58128.1792731 kst 16351.9372974 128.686975091 25.47 ab
58129.1792731 kst 15554.5344421 125.080243391 25.47 ab
58130.1792731 kst 14649.7777239 122.337723301 25.47 ab
58131.1792731 kst 14390.4225449 120.652071212 25.47 ab
58132.1792731 kst 14287.8478098 119.353491477 25.47 ab
58133.1792731 kst 13854.7098117 117.840388586 25.47 ab
58134.1792731 kst 13552.4104086 116.050809097 25.47 ab
58135.1792731 kst 12831.6327221 113.975498399 25.47 ab
