@c 0.0776915135822
@x1 2.7808853719
@x0 0.000598432994696
@z 0.0781905106867
@t0 58077.5728411
time band flux fluxerr zp zpsys
58063.5728411 smg 2747.96910174 59.240079547 28.1373495273 ab
58068.5728411 smg 1975.11891155 51.8167237974 26.9772101351 ab
58073.5728411 smg 2691.57891013 58.4780645661 27.0865286499 ab
58078.5728411 smg 645.346569345 35.5036207973 25.4888016558 ab
58083.5728411 smg 3680.76961678 66.6003733291 27.5406911162 ab
58088.5728411 smg 2843.71898339 60.1145128687 27.4558361804 ab
58093.5728411 smg 806.924981878 38.9174435075 26.4336644704 ab
58098.5728411 smg 1516.80167585 47.0797311961 27.4274268911 ab
58103.5728411 smg 787.576506132 39.323425542 27.2016783847 ab
58108.5728411 smg 470.241825013 34.4118356466 26.8883059143 ab
58113.5728411 smg 184.906774741 29.1942348086 26.1644209788 ab
58118.5728411 smg 293.614202315 32.5941818699 27.1603763911 ab
58123.5728411 smg 187.736796081 29.9136804796 26.6928534419 ab
58063.57298 smr 247.543962107 29.6073897104 25.517177478 ab
58068.57298 smr 278.986617843 30.573461536 25.0610070976 ab
58073.57298 smr 324.485530058 30.8018345316 24.8646306271 ab
58078.57298 smr 381.806163176 31.9386520637 25.0001677155 ab
58083.57298 smr 659.305181585 36.4191418402 25.6111505272 ab
58088.57298 smr 338.88234685 31.1555012081 25.0423565015 ab
58093.57298 smr 396.383933674 31.4244684245 25.3450445794 ab
58098.57298 smr 192.762830074 28.8253124431 24.9302022814 ab
58103.57298 smr 230.632616379 29.394693617 25.097097095 ab
58108.57298 smr 253.280445121 30.2577905266 25.3373830779 ab
58113.57298 smr 258.84183619 29.5963593154 25.4019078312 ab
58118.57298 smr 102.618495505 27.4871852716 25.053033465 ab
58123.57298 smr 125.597490051 27.6778294183 25.3061513837 ab
58063.5731188 smi 2137.02029037 54.3165760062 28.1376387138 ab
58068.5731188 smi 702.502792598 37.4457580849 26.2192611061 ab
58073.5731188 smi 2723.745014 58.3358241238 27.6034058633 ab
58078.5731188 smi 2685.3980225 57.8177461994 27.6468971831 ab
58083.5731188 smi 2472.43988171 57.0308194374 27.6322970593 ab
58088.5731188 smi 325.741271265 31.2655190637 25.6173427999 ab
58093.5731188 smi 246.418708755 29.7577382979 25.7199946309 ab
58098.5731188 smi 1243.72686937 45.0988174068 27.5950909689 ab
58103.5731188 smi 943.55662638 40.9929022902 27.0941301971 ab
58108.5731188 smi 1422.68455486 46.6419285709 27.2566155073 ab
58113.5731188 smi 921.321480167 40.1764367965 26.8291594685 ab
58118.5731188 smi 260.639203317 32.3187271521 26.1173419388 ab
58123.5731188 smi 434.211985844 34.5765364986 26.7708387521 ab
58060.5728411 kst 70.2257160761 8.33336175846 25.47 ab
58061.5728411 kst 120.929489933 10.4785764751 25.47 ab
58062.5728411 kst 146.487794467 12.5776736839 25.47 ab
58063.5728411 kst 202.364656424 14.583421603 25.47 ab
58064.5728411 kst 243.487219218 16.3508494159 25.47 ab
58065.5728411 kst 340.947299052 17.7732676879 25.47 ab
58066.5728411 kst 351.669864272 18.9610254619 25.47 ab
58067.5728411 kst 442.213658754 19.9759218692 25.47 ab
58068.5728411 kst 400.937867969 20.8550935175 25.47 ab
58069.5728411 kst 450.89470248 21.5977090107 25.47 ab
58070.5728411 kst 491.408279748 22.1962775815 25.47 ab
58071.5728411 kst 508.778201591 22.6485578549 25.47 ab
58072.5728411 kst 541.951764664 22.9471515805 25.47 ab
58073.5728411 kst 527.343271396 23.0987888194 25.47 ab
58074.5728411 kst 567.030341497 23.1610745402 25.47 ab
58075.5728411 kst 546.605638502 23.2069677527 25.47 ab
58076.5728411 kst 484.772382813 23.2278150277 25.47 ab
58077.5728411 kst 537.963877415 23.2219056325 25.47 ab
58078.5728411 kst 537.970470439 23.1858969775 25.47 ab
58079.5728411 kst 528.77970938 23.1186463424 25.47 ab
58080.5728411 kst 500.589087371 23.0222474674 25.47 ab
58081.5728411 kst 549.041119882 22.8993029336 25.47 ab
58082.5728411 kst 524.439211002 22.7301518327 25.47 ab
58083.5728411 kst 532.627107084 22.5063768186 25.47 ab
58084.5728411 kst 476.0851606 22.2299753906 25.47 ab
58085.5728411 kst 530.51249857 21.9032932293 25.47 ab
58086.5728411 kst 474.26566226 21.5278215673 25.47 ab
58087.5728411 kst 428.305588403 21.1045646568 25.47 ab
58088.5728411 kst 404.384088702 20.6308428444 25.47 ab
58089.5728411 kst 402.626071972 20.0999514912 25.47 ab
58090.5728411 kst 392.814552929 19.503697268 25.47 ab
58091.5728411 kst 353.130337504 18.847363823 25.47 ab
58092.5728411 kst 355.329528693 18.2454334088 25.47 ab
58093.5728411 kst 325.39349892 17.7272874788 25.47 ab
58094.5728411 kst 307.126966227 17.3085996193 25.47 ab
58095.5728411 kst 253.024189892 17.0146710624 25.47 ab
58096.5728411 kst 279.376640686 16.784867805 25.47 ab
58097.5728411 kst 248.178386325 16.5511123576 25.47 ab
58098.5728411 kst 260.195822358 16.2940044178 25.47 ab
58099.5728411 kst 257.412658651 16.0155711898 25.47 ab
58100.5728411 kst 258.406262465 15.7458343446 25.47 ab
58101.5728411 kst 242.686519268 15.5463942691 25.47 ab
58102.5728411 kst 227.043399538 15.4400545506 25.47 ab
58103.5728411 kst 222.44341303 15.4159222331 25.47 ab
58104.5728411 kst 252.968322819 15.4612840032 25.47 ab
58105.5728411 kst 249.735257317 15.5189432378 25.47 ab
58106.5728411 kst 237.343619063 15.4951520384 25.47 ab
58107.5728411 kst 246.870124682 15.4011536394 25.47 ab
58108.5728411 kst 245.590178755 15.2460514766 25.47 ab
58109.5728411 kst 237.507394752 15.0365429295 25.47 ab
58110.5728411 kst 221.692282567 14.7756791569 25.47 ab
58111.5728411 kst 198.997684922 14.4814541135 25.47 ab
58112.5728411 kst 185.898615064 14.1740592581 25.47 ab
58113.5728411 kst 195.127621656 13.8606335953 25.47 ab
58114.5728411 kst 194.765905399 13.5399217211 25.47 ab
58115.5728411 kst 182.09169103 13.2118729916 25.47 ab
58116.5728411 kst 177.007970005 12.8765054531 25.47 ab
58117.5728411 kst 149.577921647 12.5338896592 25.47 ab
58118.5728411 kst 134.37722957 12.1843006034 25.47 ab
58119.5728411 kst 113.865947148 11.8314998804 25.47 ab
58120.5728411 kst 140.783780961 11.5058912751 25.47 ab
58121.5728411 kst 119.639641206 11.2126530348 25.47 ab
58122.5728411 kst 124.949696439 10.9513384237 25.47 ab
58123.5728411 kst 118.552525529 10.7209569057 25.47 ab
58124.5728411 kst 115.754093341 10.5203167977 25.47 ab
58125.5728411 kst 125.774464313 10.3479743304 25.47 ab
58126.5728411 kst 117.577183653 10.2022435268 25.47 ab
58127.5728411 kst 97.5299195517 10.0812197651 25.47 ab
58128.5728411 kst 92.2827010261 9.98281474984 25.47 ab
58129.5728411 kst 109.751411637 9.90479992283 25.47 ab
58130.5728411 kst 87.974598558 9.84603124864 25.47 ab
58131.5728411 kst 0.152183569588 0.1 25.47 ab
58132.5728411 kst 0.0674634886456 0.1 25.47 ab
58133.5728411 kst -0.0554842404131 0.1 25.47 ab
58134.5728411 kst -0.134357057324 0.1 25.47 ab
58135.5728411 kst -0.0350717569274 0.1 25.47 ab
58136.5728411 kst 0.0072173936092 0.1 25.47 ab
58137.5728411 kst 0.0655442065077 0.1 25.47 ab
58138.5728411 kst -0.0806910513128 0.1 25.47 ab
58139.5728411 kst 0.0394219198714 0.1 25.47 ab
58140.5728411 kst 0.0498152524439 0.1 25.47 ab
58141.5728411 kst -0.097982993763 0.1 25.47 ab
58142.5728411 kst -0.0823391446885 0.1 25.47 ab
58143.5728411 kst 0.098122870284 0.1 25.47 ab
