@c -0.374626429553
@x1 0.681561994958
@x0 0.00054856940325
@z 0.0814771756701
@t0 57894.2477115
time band flux fluxerr zp zpsys
57887.2477115 smg 628.110535663 36.3982168829 25.9433230069 ab
57892.2477115 smg 1419.56305213 45.9052816402 26.5405542313 ab
57897.2477115 smg 1183.18291967 42.8064069002 26.3683681854 ab
57902.2477115 smg 771.8646243 38.2213218696 26.1809457139 ab
57907.2477115 smg 1037.45277416 41.4981312851 26.8146633402 ab
57912.2477115 smg 723.443949364 37.7756047277 26.8861660662 ab
57917.2477115 smg 306.836086257 31.5279835335 26.3987951209 ab
57922.2477115 smg 361.597930665 33.8931105302 27.1457471686 ab
57927.2477115 smg 82.5632100583 28.9029721832 26.3275199277 ab
57887.2478504 smr 439.365175487 32.775021413 25.963123227 ab
57892.2478504 smr 269.559899689 30.8972640131 25.4142109441 ab
57897.2478504 smr 345.132576274 31.5739583949 25.5017578396 ab
57902.2478504 smr 198.926999354 28.4823277585 24.9684591078 ab
57907.2478504 smr 101.369293289 27.4721190894 24.8737043253 ab
57912.2478504 smr 141.3085049 29.1494603469 25.5263622514 ab
57917.2478504 smr 107.983573958 28.1583409988 25.3724055402 ab
57922.2478504 smr 162.897053217 27.8652985131 25.3940728872 ab
57927.2478504 smr 98.2732055753 26.7877119029 25.1488198027 ab
57887.2479893 smi 1112.90962314 42.9851818416 27.5163407932 ab
57892.2479893 smi 219.842677933 30.1600240721 25.8239943406 ab
57897.2479893 smi 986.059292274 41.1427661982 27.3403747205 ab
57902.2479893 smi 248.221667718 31.7159583162 26.316332397 ab
57907.2479893 smi 182.384087705 28.6481270549 25.8686937677 ab
57912.2479893 smi 230.322510598 29.8890955924 26.3077411138 ab
57917.2479893 smi 1130.5069782 43.1757156547 28.0668566598 ab
57922.2479893 smi 229.793497117 30.7166606208 26.3962371482 ab
57927.2479893 smi 268.721816927 31.719952833 26.6836822954 ab
57878.2477115 kst 33.5717309059 6.27230044338 25.47 ab
57878.4977115 kst 40.3925225716 6.66590145284 25.47 ab
57878.7477115 kst 56.9365248117 7.05845406328 25.47 ab
57878.9977115 kst 67.7833674032 7.44650761393 25.47 ab
57879.2477115 kst 60.8088684223 7.82930375622 25.47 ab
57879.4977115 kst 55.7507240917 8.2124790928 25.47 ab
57879.7477115 kst 86.4720677764 8.59199261163 25.47 ab
57879.9977115 kst 83.7788266087 8.96336095275 25.47 ab
57880.2477115 kst 76.6719799611 9.32316805079 25.47 ab
57880.4977115 kst 91.0432025455 9.67684538801 25.47 ab
57880.7477115 kst 103.014775165 10.0245331555 25.47 ab
57880.9977115 kst 101.922500617 10.3629360289 25.47 ab
57881.2477115 kst 120.086023729 10.6891565052 25.47 ab
57881.4977115 kst 123.776085687 11.0028274609 25.47 ab
57881.7477115 kst 134.966642796 11.3071722628 25.47 ab
57881.9977115 kst 125.780984314 11.6038186252 25.47 ab
57882.2477115 kst 123.99640643 11.8942005735 25.47 ab
57882.4977115 kst 148.489861476 12.1792084057 25.47 ab
57882.7477115 kst 155.775079247 12.4583168376 25.47 ab
57882.9977115 kst 165.050119854 12.7324473743 25.47 ab
57883.2477115 kst 171.879306878 13.0026215962 25.47 ab
57883.4977115 kst 168.487988775 13.2697184495 25.47 ab
57883.7477115 kst 181.178117226 13.5334157593 25.47 ab
57883.9977115 kst 174.30230112 13.7939133148 25.47 ab
57884.2477115 kst 203.429108017 14.051797753 25.47 ab
57884.4977115 kst 220.590545912 14.3076117464 25.47 ab
57884.7477115 kst 203.356182778 14.5638514636 25.47 ab
57884.9977115 kst 231.907388507 14.8203189834 25.47 ab
57885.2477115 kst 200.2165169 15.072516309 25.47 ab
57885.4977115 kst 268.64648922 15.3162260283 25.47 ab
57885.7477115 kst 254.640864648 15.5493530913 25.47 ab
57885.9977115 kst 242.442012776 15.7762808308 25.47 ab
57886.2477115 kst 250.612092727 15.9956632211 25.47 ab
57886.4977115 kst 250.083584801 16.2055167318 25.47 ab
57886.7477115 kst 296.289644828 16.404107585 25.47 ab
57886.9977115 kst 280.450015139 16.5929426889 25.47 ab
57887.2477115 kst 285.328570659 16.7727765594 25.47 ab
57887.4977115 kst 303.641204962 16.943437395 25.47 ab
57887.7477115 kst 294.100215275 17.1047456757 25.47 ab
57887.9977115 kst 312.463662774 17.2572154003 25.47 ab
57888.2477115 kst 291.67559052 17.4013251026 25.47 ab
57888.4977115 kst 316.358507315 17.5366297261 25.47 ab
57888.7477115 kst 299.551748683 17.662683556 25.47 ab
57888.9977115 kst 296.963263521 17.7790674176 25.47 ab
57889.2477115 kst 348.589595348 17.886045368 25.47 ab
57889.4977115 kst 298.103600807 17.9845037 25.47 ab
57889.7477115 kst 340.993531438 18.0753183061 25.47 ab
57889.9977115 kst 363.932010179 18.1591664039 25.47 ab
57890.2477115 kst 294.176375734 18.2345846965 25.47 ab
57890.4977115 kst 372.645453479 18.3025947493 25.47 ab
57890.7477115 kst 342.207187968 18.365175773 25.47 ab
57890.9977115 kst 345.268331196 18.4242739096 25.47 ab
57891.2477115 kst 324.117900573 18.4803839514 25.47 ab
57891.4977115 kst 325.459631413 18.5324314914 25.47 ab
57891.7477115 kst 374.100115256 18.5801346372 25.47 ab
57891.9977115 kst 343.775600769 18.6232120241 25.47 ab
57892.2477115 kst 347.696059866 18.661557332 25.47 ab
57892.4977115 kst 342.450875823 18.6955155869 25.47 ab
57892.7477115 kst 336.420398602 18.7249102132 25.47 ab
57892.9977115 kst 366.285670964 18.7495138709 25.47 ab
57893.2477115 kst 346.084228013 18.7690874972 25.47 ab
57893.4977115 kst 348.095387927 18.783467821 25.47 ab
57893.7477115 kst 330.957955374 18.7929968054 25.47 ab
57893.9977115 kst 368.798319103 18.7981024052 25.47 ab
57894.2477115 kst 352.649914958 18.7992087766 25.47 ab
57894.4977115 kst 325.132586321 18.7961285199 25.47 ab
57894.7477115 kst 335.802998063 18.788674051 25.47 ab
57894.9977115 kst 365.01516895 18.7772651899 25.47 ab
57895.2477115 kst 288.773339094 18.7623200909 25.47 ab
57895.4977115 kst 358.654815644 18.7440446197 25.47 ab
57895.7477115 kst 349.202031108 18.7220705173 25.47 ab
57895.9977115 kst 373.042520916 18.6965215962 25.47 ab
57896.2477115 kst 374.707019971 18.6675655354 25.47 ab
57896.4977115 kst 353.330598643 18.6353336257 25.47 ab
57896.7477115 kst 339.144257472 18.5995787787 25.47 ab
57896.9977115 kst 314.706661084 18.5603805222 25.47 ab
57897.2477115 kst 328.580752581 18.5179454651 25.47 ab
57897.4977115 kst 346.683786556 18.4724802523 25.47 ab
57897.7477115 kst 340.657116346 18.4239720708 25.47 ab
57897.9977115 kst 361.065107759 18.3722756923 25.47 ab
57898.2477115 kst 324.450891469 18.3173752527 25.47 ab
57898.4977115 kst 346.007954016 18.2592530158 25.47 ab
57898.7477115 kst 329.425249168 18.1978300857 25.47 ab
57898.9977115 kst 311.801799572 18.1329940825 25.47 ab
57899.2477115 kst 316.793414871 18.0648819814 25.47 ab
57899.4977115 kst 343.557390977 17.993645102 25.47 ab
57899.7477115 kst 309.712209799 17.9193973284 25.47 ab
57899.9977115 kst 321.856430119 17.8418841488 25.47 ab
57900.2477115 kst 271.807207353 17.7611498393 25.47 ab
57900.4977115 kst 321.137062588 17.6773499104 25.47 ab
57900.7477115 kst 297.492550039 17.5906407044 25.47 ab
57900.9977115 kst 316.373526762 17.5009075779 25.47 ab
57901.2477115 kst 303.658072417 17.4080254729 25.47 ab
57901.4977115 kst 278.403457001 17.3120750812 25.47 ab
57901.7477115 kst 304.886382401 17.2131372239 25.47 ab
57901.9977115 kst 299.9093584 17.110782467 25.47 ab
57902.2477115 kst 322.73316684 17.0043424503 25.47 ab
57902.4977115 kst 308.004546766 16.8951200699 25.47 ab
57902.7477115 kst 258.954351338 16.7845478282 25.47 ab
57902.9977115 kst 276.459089347 16.6738292955 25.47 ab
57903.2477115 kst 282.42446971 16.5616870473 25.47 ab
57903.4977115 kst 271.849932571 16.4483370041 25.47 ab
57903.7477115 kst 243.494345379 16.3346092684 25.47 ab
57903.9977115 kst 274.988741314 16.2213548275 25.47 ab
57904.2477115 kst 257.476912775 16.1086744319 25.47 ab
57904.4977115 kst 236.040576795 15.9961101862 25.47 ab
57904.7477115 kst 282.315284751 15.8834943819 25.47 ab
57904.9977115 kst 276.839366192 15.7706545191 25.47 ab
57905.2477115 kst 251.157364847 15.6575458047 25.47 ab
57905.4977115 kst 254.107487054 15.544331573 25.47 ab
57905.7477115 kst 256.503409887 15.4308629296 25.47 ab
57905.9977115 kst 225.934983214 15.3169701118 25.47 ab
57906.2477115 kst 243.000937959 15.2024929436 25.47 ab
57906.4977115 kst 217.225468319 15.0874582555 25.47 ab
57906.7477115 kst 236.995980908 14.9719398033 25.47 ab
57906.9977115 kst 205.906179303 14.8559973953 25.47 ab
57907.2477115 kst 244.836401515 14.7396842695 25.47 ab
57907.4977115 kst 234.954948205 14.6220921032 25.47 ab
57907.7477115 kst 215.970282728 14.5035551054 25.47 ab
57907.9977115 kst 188.763896889 14.3855111726 25.47 ab
57908.2477115 kst 179.594083116 14.2694456848 25.47 ab
57908.4977115 kst 216.416447415 14.1560372148 25.47 ab
57908.7477115 kst 192.246534033 14.0442403214 25.47 ab
57908.9977115 kst 205.77598655 13.9343775612 25.47 ab
57909.2477115 kst 190.15085272 13.8268544431 25.47 ab
57909.4977115 kst 192.362750069 13.7220121795 25.47 ab
57909.7477115 kst 194.45800637 13.619613582 25.47 ab
57909.9977115 kst 200.104641656 13.5197685741 25.47 ab
57910.2477115 kst 166.256912606 13.42270708 25.47 ab
57910.4977115 kst 169.215888127 13.3286603799 25.47 ab
57910.7477115 kst 182.130630009 13.237522936 25.47 ab
57910.9977115 kst 175.077148055 13.1493517494 25.47 ab
