@c 0.40137290402
@x1 -3.73334288934
@x0 0.00177236704546
@z 0.0464786275226
@t0 57957.0401435
time band flux fluxerr zp zpsys
57942.0401435 smg -1297.15665876 46.0724109325 27.7680740874 ab
57947.0401435 smg 1806.36425759 50.7615618439 27.6173720916 ab
57952.0401435 smg 1666.62840715 47.894204555 25.6588206351 ab
57957.0401435 smg 5410.44797883 78.4057319728 26.6003780436 ab
57962.0401435 smg 1898.50008038 50.8102398596 25.6664668408 ab
57967.0401435 smg 2868.98939703 59.3370248583 26.5885340097 ab
57972.0401435 smg 804.95561781 38.3319949396 25.8530581594 ab
57977.0401435 smg 1402.50638571 46.3113660703 27.2325580924 ab
57982.0401435 smg 129.869768752 28.7731976936 25.4810948656 ab
57987.0401435 smg 534.928898616 34.5152576273 27.2750557475 ab
57992.0401435 smg 594.917693002 36.5215334882 27.4919473125 ab
57997.0401435 smg 389.897449263 33.323351343 26.9397164798 ab
57942.0402824 smr -76.3476117203 27.0798009361 25.1065586372 ab
57947.0402824 smr 566.734300845 34.308035044 25.318228576 ab
57952.0402824 smr 1258.64019767 43.0693523013 24.8859153807 ab
57957.0402824 smr 2966.02954004 60.321312437 25.5641763327 ab
57962.0402824 smr 2027.00682838 51.6376547163 25.2295235119 ab
57967.0402824 smr 1225.29156247 42.6288800946 25.0940541047 ab
57972.0402824 smr 1594.37511768 47.6151012033 25.5812654514 ab
57977.0402824 smr 893.698953582 38.9902615463 25.0835552331 ab
57982.0402824 smr 625.776927962 36.7370853358 25.1977402291 ab
57987.0402824 smr 565.156308439 34.9292840676 25.7408764159 ab
57992.0402824 smr 103.556653329 26.7015391135 24.7047255516 ab
57997.0402824 smr 178.045030872 28.5005638067 25.3048185567 ab
57942.0404213 smi -90.1829006297 26.9663410895 25.0744770213 ab
57947.0404213 smi 4155.84096222 71.2451434557 27.5463432978 ab
57952.0404213 smi 13452.8104671 118.740560029 27.494990705 ab
57957.0404213 smi 2863.36964254 59.6518623833 25.7255772431 ab
57962.0404213 smi 24372.2461418 158.72466069 28.2071725086 ab
57967.0404213 smi 931.926591973 38.8343791758 25.1639190513 ab
57972.0404213 smi 3802.68173687 67.3821714459 26.6941207635 ab
57977.0404213 smi 2309.15296223 54.0957597528 25.9471717437 ab
57982.0404213 smi 1843.2222544 49.9853497105 25.8076139991 ab
57987.0404213 smi 3573.35852214 65.0766829387 27.1618298078 ab
57992.0404213 smi 894.324348384 40.1050688186 26.6435599532 ab
57997.0404213 smi 2298.90692759 55.7707356229 28.1078710494 ab
57941.0401435 kst -154.414408326 12.4142900708 25.47 ab
57941.2901435 kst -138.072344007 12.359147653 25.47 ab
57941.5401435 kst -149.914550189 12.2208568105 25.47 ab
57941.7901435 kst -158.437829214 11.9848916203 25.47 ab
57942.0401435 kst -153.03847655 11.6593633325 25.47 ab
57942.2901435 kst -133.798195819 11.2519703615 25.47 ab
57942.5401435 kst -114.831728804 10.7688102024 25.47 ab
57942.7901435 kst -110.486263573 10.1973949481 25.47 ab
57943.0401435 kst -76.6691810537 9.50207990029 25.47 ab
57943.2901435 kst -67.5813128309 8.63058879163 25.47 ab
57943.5401435 kst -48.1376380392 7.50423756276 25.47 ab
57943.7901435 kst -29.7262675575 6.02829170982 25.47 ab
