@c 0.176205911272
@x1 0.404548940412
@x0 0.000583993967488
@z 0.0791002434244
@t0 58073.0990758
time band flux fluxerr zp zpsys
58058.0990758 smg 346.076403347 32.1283677789 26.8267924568 ab
58063.0990758 smg 680.077235342 37.1473303191 26.3147451796 ab
58068.0990758 smg 6879.17944523 88.1475676563 28.2517102324 ab
58073.0990758 smg 1632.80447056 48.34679967 26.5595604832 ab
58078.0990758 smg 3500.26025287 65.0318724207 27.511282113 ab
58083.0990758 smg 2189.92923274 54.4144097576 27.3042112475 ab
58088.0990758 smg 3002.94330495 61.3455295892 28.0292575452 ab
58058.0992147 smr 82.8411007362 27.7735308344 25.5920863674 ab
58063.0992147 smr 330.24184306 30.4593889143 25.2920357631 ab
58068.0992147 smr 761.793123991 37.7647648479 25.7694156112 ab
58073.0992147 smr 452.623029015 33.0584262034 25.067055421 ab
58078.0992147 smr 585.398620312 34.9113762615 25.3351345984 ab
58083.0992147 smr 334.943921487 31.6374071841 25.0782966152 ab
58088.0992147 smr 505.752119398 34.5096060688 25.7282281379 ab
58058.0993536 smi 84.0850071946 26.7158101682 25.2580963835 ab
58063.0993536 smi 476.564378247 33.5027538204 25.8513238513 ab
58068.0993536 smi 7902.89043456 93.5092922531 28.5284568237 ab
58073.0993536 smi 3205.61793317 62.0093603321 27.5304576763 ab
58078.0993536 smi 311.530477095 31.3446764866 25.2284821544 ab
58083.0993536 smi 2516.37410364 56.9596349848 27.6709195725 ab
58088.0993536 smi 1288.34101567 44.6543055093 27.1995364098 ab
58056.0990758 kst 14.5489365742 5.62219842103 25.47 ab
58056.3490758 kst 37.6817281517 6.12572891355 25.47 ab
58056.5990758 kst 32.5453210081 6.64008120548 25.47 ab
58056.8490758 kst 53.7862994032 7.15466006615 25.47 ab
58057.0990758 kst 56.3105261066 7.66734344479 25.47 ab
58057.3490758 kst 71.6333439771 8.18512661095 25.47 ab
58057.5990758 kst 81.2060812105 8.70229775878 25.47 ab
58057.8490758 kst 78.8825810071 9.2138952248 25.47 ab
58058.0990758 kst 97.2138445585 9.71758982177 25.47 ab
58058.3490758 kst 109.572075183 10.2213570646 25.47 ab
58058.5990758 kst 106.736573357 10.721099156 25.47 ab
58058.8490758 kst 123.933034975 11.2108861326 25.47 ab
58059.0990758 kst 140.196015066 11.6858723897 25.47 ab
58059.3490758 kst 148.138942554 12.1517325989 25.47 ab
58059.5990758 kst 154.106085112 12.6104304202 25.47 ab
58059.8490758 kst 168.733496019 13.0577616413 25.47 ab
58060.0990758 kst 165.160388541 13.490056751 25.47 ab
58060.3490758 kst 217.375499892 13.9061392106 25.47 ab
58060.5990758 kst 202.773590584 14.3101642407 25.47 ab
58060.8490758 kst 215.7378396 14.7043369379 25.47 ab
58061.0990758 kst 234.165110419 15.0905220244 25.47 ab
58061.3490758 kst 244.827958645 15.4700391159 25.47 ab
58061.5990758 kst 245.646516303 15.8422005665 25.47 ab
58061.8490758 kst 263.721137227 16.2080870686 25.47 ab
58062.0990758 kst 262.13911081 16.5690492679 25.47 ab
58062.3490758 kst 316.1159555 16.9262882306 25.47 ab
58062.5990758 kst 314.309939264 17.2795033406 25.47 ab
58062.8490758 kst 311.227626575 17.628802837 25.47 ab
58063.0990758 kst 330.837324877 17.9749609691 25.47 ab
58063.3490758 kst 303.934292818 18.3186915496 25.47 ab
58063.5990758 kst 322.880066286 18.6631313081 25.47 ab
58063.8490758 kst 378.554362124 19.008955067 25.47 ab
58064.0990758 kst 365.241213404 19.3496881767 25.47 ab
58064.3490758 kst 395.048253566 19.6791990699 25.47 ab
58064.5990758 kst 384.662018087 19.9937928647 25.47 ab
58064.8490758 kst 385.827360613 20.2997647855 25.47 ab
58065.0990758 kst 415.095292353 20.5956136692 25.47 ab
58065.3490758 kst 416.577350288 20.8784845188 25.47 ab
58065.5990758 kst 469.55047684 21.1457881132 25.47 ab
58065.8490758 kst 419.262202074 21.3993624417 25.47 ab
58066.0990758 kst 451.504618088 21.6405346192 25.47 ab
58066.3490758 kst 469.951363223 21.8690791334 25.47 ab
58066.5990758 kst 481.830283851 22.0847584018 25.47 ab
58066.8490758 kst 476.153271522 22.2881802023 25.47 ab
58067.0990758 kst 492.610627816 22.4801322139 25.47 ab
58067.3490758 kst 509.327778912 22.6600176694 25.47 ab
58067.5990758 kst 481.478228337 22.8272288897 25.47 ab
58067.8490758 kst 534.539813794 22.9811514079 25.47 ab
58068.0990758 kst 529.973284919 23.1220091481 25.47 ab
58068.3490758 kst 594.79823704 23.2511473135 25.47 ab
58068.5990758 kst 552.68462464 23.3699237048 25.47 ab
58068.8490758 kst 523.00969774 23.4794525946 25.47 ab
58069.0990758 kst 535.172296758 23.5775369326 25.47 ab
58069.3490758 kst 562.979424372 23.6655262857 25.47 ab
58069.5990758 kst 566.444557711 23.7464118897 25.47 ab
58069.8490758 kst 586.074980863 23.8231358419 25.47 ab
58070.0990758 kst 622.219503414 23.8965340747 25.47 ab
58070.3490758 kst 615.357373006 23.9649316359 25.47 ab
58070.5990758 kst 586.500627392 24.0279790734 25.47 ab
58070.8490758 kst 600.470417231 24.0853316596 25.47 ab
58071.0990758 kst 567.271341929 24.1368496798 25.47 ab
58071.3490758 kst 589.33528666 24.1829660844 25.47 ab
58071.5990758 kst 567.258639728 24.2234624887 25.47 ab
58071.8490758 kst 613.651045992 24.2580507961 25.47 ab
58072.0990758 kst 572.609650361 24.2864365129 25.47 ab
58072.3490758 kst 550.218123901 24.3084839661 25.47 ab
58072.5990758 kst 606.293776556 24.3245579407 25.47 ab
58072.8490758 kst 533.92819805 24.3350931601 25.47 ab
58073.0990758 kst 560.357372087 24.3405196085 25.47 ab
58073.3490758 kst 604.816451771 24.3406355515 25.47 ab
58073.5990758 kst 629.6143185 24.3352595538 25.47 ab
58073.8490758 kst 572.756689032 24.3248465822 25.47 ab
58074.0990758 kst 581.400367259 24.3098490551 25.47 ab
58074.3490758 kst 562.778024438 24.2904745026 25.47 ab
58074.5990758 kst 556.496746089 24.2663161977 25.47 ab
58074.8490758 kst 564.102291887 24.2375395556 25.47 ab
58075.0990758 kst 609.955773121 24.2043564835 25.47 ab
58075.3490758 kst 560.727143151 24.1669313395 25.47 ab
58075.5990758 kst 573.042771616 24.1249770128 25.47 ab
58075.8490758 kst 577.163798222 24.0785811378 25.47 ab
58076.0990758 kst 585.736256959 24.0279689986 25.47 ab
58076.3490758 kst 574.965384435 23.973365783 25.47 ab
58076.5990758 kst 572.170554938 23.9150023195 25.47 ab
58076.8490758 kst 520.809518899 23.8526337692 25.47 ab
58077.0990758 kst 549.328222186 23.7858003511 25.47 ab
58077.3490758 kst 602.53814696 23.7140347438 25.47 ab
58077.5990758 kst 576.457395626 23.6370017587 25.47 ab
58077.8490758 kst 551.133573297 23.5548838764 25.47 ab
58078.0990758 kst 607.111736656 23.4678110503 25.47 ab
58078.3490758 kst 561.168429504 23.3759005061 25.47 ab
58078.5990758 kst 547.041346557 23.279208716 25.47 ab
58078.8490758 kst 574.696917462 23.1773884732 25.47 ab
58079.0990758 kst 560.960135104 23.0705642264 25.47 ab
58079.3490758 kst 528.868925206 22.9589845063 25.47 ab
58079.5990758 kst 514.481779699 22.8428955912 25.47 ab
58079.8490758 kst 474.719649288 22.7220654795 25.47 ab
58080.0990758 kst 531.129948594 22.5963359571 25.47 ab
58080.3490758 kst 507.396272786 22.4658491216 25.47 ab
58080.5990758 kst 488.45519034 22.33074729 25.47 ab
58080.8490758 kst 550.478342773 22.1900686562 25.47 ab
58081.0990758 kst 529.694266543 22.0428538894 25.47 ab
58081.3490758 kst 485.947563199 21.8916213997 25.47 ab
58081.5990758 kst 492.246074098 21.7390601576 25.47 ab
58081.8490758 kst 426.892272924 21.5872199266 25.47 ab
58082.0990758 kst 462.9686097 21.4335910998 25.47 ab
58082.3490758 kst 456.504053588 21.2788807572 25.47 ab
58082.5990758 kst 392.904483972 21.1246962414 25.47 ab
58082.8490758 kst 459.208579955 20.9726675886 25.47 ab
58083.0990758 kst 395.665278775 20.8227396085 25.47 ab
58083.3490758 kst 435.608835499 20.6741714978 25.47 ab
58083.5990758 kst 421.366584977 20.5267439433 25.47 ab
58083.8490758 kst 383.395737052 20.3802310677 25.47 ab
58084.0990758 kst 416.704332486 20.234635059 25.47 ab
58084.3490758 kst 395.586562376 20.0901793243 25.47 ab
58084.5990758 kst 395.982222282 19.9466892596 25.47 ab
58084.8490758 kst 354.819512963 19.8039760241 25.47 ab
58085.0990758 kst 417.765352444 19.6618891114 25.47 ab
58085.3490758 kst 414.250313665 19.5205616272 25.47 ab
58085.5990758 kst 389.35249488 19.3800518163 25.47 ab
58085.8490758 kst 378.043135097 19.2403899342 25.47 ab
58086.0990758 kst 376.750242457 19.1015751563 25.47 ab
58086.3490758 kst 391.934018985 18.9628769443 25.47 ab
58086.5990758 kst 343.500257194 18.8248109422 25.47 ab
58086.8490758 kst 346.844142222 18.6885276125 25.47 ab
58087.0990758 kst 336.383665373 18.5552108528 25.47 ab
58087.3490758 kst 358.110525305 18.4251489331 25.47 ab
58087.5990758 kst 365.552513674 18.2976448902 25.47 ab
58087.8490758 kst 330.373389192 18.1730609414 25.47 ab
58088.0990758 kst 319.332016903 18.0517816264 25.47 ab
58088.3490758 kst 326.753823345 17.934068756 25.47 ab
58088.5990758 kst 334.531298363 17.8196721525 25.47 ab
58088.8490758 kst 334.508787951 17.7088081956 25.47 ab
58089.0990758 kst 290.935560865 17.6017693669 25.47 ab
58089.3490758 kst 320.573352645 17.4988285961 25.47 ab
58089.5990758 kst 270.184830702 17.3997836857 25.47 ab
58089.8490758 kst 308.808296101 17.3047871708 25.47 ab
58090.0990758 kst 251.983822232 17.2142124902 25.47 ab
58090.3490758 kst 305.672281537 17.1284377413 25.47 ab
58090.5990758 kst 280.981644432 17.0486253922 25.47 ab
58090.8490758 kst 309.701176726 16.9746788094 25.47 ab
58091.0990758 kst 261.593070029 16.9046046521 25.47 ab
58091.3490758 kst 302.612281755 16.8363675097 25.47 ab
