@c -0.249949215928
@x1 -3.06087486467
@x0 0.0213856146083
@z 0.0137059425443
@t0 58050.3757351
time band flux fluxerr zp zpsys
58033.3757351 kst -516.668979773 22.9943144684 25.47 ab
58033.6257351 kst -555.209919127 24.5083950889 25.47 ab
58033.8757351 kst -660.233659548 25.7830925956 25.47 ab
58034.1257351 kst -700.135502922 26.631534354 25.47 ab
58034.3757351 kst -735.29898729 26.9964681725 25.47 ab
58034.6257351 kst -710.534224042 27.0237559791 25.47 ab
58034.8757351 kst -710.15639674 26.7584253851 25.47 ab
58035.1257351 kst -722.645981128 26.2346800526 25.47 ab
58035.3757351 kst -648.576866319 25.4396102477 25.47 ab
58035.6257351 kst -599.64991857 24.3116721139 25.47 ab
58035.8757351 kst -520.134053433 22.8511987035 25.47 ab
58036.1257351 kst -468.723599094 21.0451923444 25.47 ab
58036.3757351 kst -349.917003306 18.8355681221 25.47 ab
58036.6257351 kst -229.829159489 16.0180439558 25.47 ab
58036.8757351 kst -155.193140299 12.1368338424 25.47 ab
58037.1257351 kst -22.0434940436 5.09938564596 25.47 ab
58037.3757351 kst 116.168986503 10.3559432752 25.47 ab
58037.6257351 kst 231.932000471 15.8472568156 25.47 ab
58037.8757351 kst 403.849116499 20.1948272975 25.47 ab
58038.1257351 kst 565.329238066 24.0762432964 25.47 ab
58038.3757351 kst 761.453251798 27.7163543629 25.47 ab
58038.6257351 kst 1024.85763252 31.1778078703 25.47 ab
58038.8757351 kst 1218.2502348 34.5110175094 25.47 ab
58039.1257351 kst 1411.6939716 37.7490365241 25.47 ab
58039.3757351 kst 1677.86561967 40.9122536417 25.47 ab
58039.6257351 kst 1908.26745274 44.0142560305 25.47 ab
58039.8757351 kst 2173.3632707 47.0730917564 25.47 ab
58040.1257351 kst 2459.80227737 50.1029151535 25.47 ab
58040.3757351 kst 2736.27972577 53.1121411515 25.47 ab
58040.6257351 kst 3112.03595422 56.098261578 25.47 ab
58040.8757351 kst 3571.03826542 59.0688319565 25.47 ab
58041.1257351 kst 3901.39375316 62.0313727375 25.47 ab
58041.3757351 kst 4272.9389974 65.0059310082 25.47 ab
58041.6257351 kst 4566.13370232 68.0393518974 25.47 ab
58041.8757351 kst 5048.7515621 71.0478523541 25.47 ab
58042.1257351 kst 5445.69133952 73.9442888962 25.47 ab
58042.3757351 kst 5890.15258109 76.6720738221 25.47 ab
58042.6257351 kst 6375.47958707 79.3115258191 25.47 ab
58042.8757351 kst 6604.89406925 81.8544451482 25.47 ab
58043.1257351 kst 7041.40441046 84.2689226766 25.47 ab
58043.3757351 kst 7475.5464107 86.5307948385 25.47 ab
58043.6257351 kst 7885.81874465 88.6698041425 25.47 ab
58043.8757351 kst 8168.07330273 90.7001852931 25.47 ab
58044.1257351 kst 8686.2630706 92.6253572406 25.47 ab
58044.3757351 kst 9018.94185409 94.4487853172 25.47 ab
58044.6257351 kst 9360.13522172 96.180977654 25.47 ab
58044.8757351 kst 9573.51992193 97.8240073827 25.47 ab
58045.1257351 kst 9968.64006374 99.3766999637 25.47 ab
58045.3757351 kst 10300.9481714 100.838118013 25.47 ab
