@c 0.311175349656
@x1 0.407236476157
@x0 0.000482539336226
@z 0.0865620109789
@t0 57825.590704
time band flux fluxerr zp zpsys
57808.590704 kst 38.8590432138 5.72862632761 25.47 ab
57808.840704 kst 42.1018069252 6.22291578662 25.47 ab
57809.090704 kst 52.1967135472 6.72250434109 25.47 ab
57809.340704 kst 45.5994823386 7.21902228673 25.47 ab
57809.590704 kst 66.2942457492 7.71849687054 25.47 ab
57809.840704 kst 43.2353236125 8.22062597887 25.47 ab
57810.090704 kst 84.3857967275 8.71996044069 25.47 ab
57810.340704 kst 91.4584104795 9.21223015496 25.47 ab
57810.590704 kst 91.5420940276 9.69975056434 25.47 ab
57810.840704 kst 93.6225712333 10.1871195699 25.47 ab
57811.090704 kst 116.428525903 10.6681603367 25.47 ab
57811.340704 kst 125.376381392 11.1375858936 25.47 ab
57811.590704 kst 128.786342841 11.5929755824 25.47 ab
57811.840704 kst 174.06981039 12.0422033484 25.47 ab
57812.090704 kst 164.253320419 12.4829075187 25.47 ab
57812.340704 kst 171.704171155 12.9112471388 25.47 ab
57812.590704 kst 192.117593263 13.3239096582 25.47 ab
57812.840704 kst 150.781934898 13.7223177156 25.47 ab
57813.090704 kst 190.970428243 14.1098948215 25.47 ab
57813.340704 kst 208.251975436 14.488575725 25.47 ab
57813.590704 kst 206.151830145 14.8600794176 25.47 ab
57813.840704 kst 237.599828503 15.2250095479 25.47 ab
57814.090704 kst 267.816403549 15.5829538294 25.47 ab
57814.340704 kst 261.965004426 15.935240055 25.47 ab
57814.590704 kst 260.193001255 16.2831227457 25.47 ab
57814.840704 kst 256.682696602 16.6275224199 25.47 ab
57815.090704 kst 300.550808644 16.9678486645 25.47 ab
57815.340704 kst 291.444215434 17.3045911523 25.47 ab
57815.590704 kst 316.413830241 17.6384713954 25.47 ab
57815.840704 kst 303.959542708 17.9702128682 25.47 ab
57816.090704 kst 316.368839741 18.3040044849 25.47 ab
57816.340704 kst 321.889454852 18.6375029346 25.47 ab
57816.590704 kst 375.840088781 18.964526499 25.47 ab
57816.840704 kst 367.54259801 19.2793085383 25.47 ab
57817.090704 kst 368.375671062 19.5806284087 25.47 ab
57817.340704 kst 413.123371396 19.8740222952 25.47 ab
57817.590704 kst 425.855179377 20.1569954469 25.47 ab
57817.840704 kst 447.260317757 20.4268421105 25.47 ab
57818.090704 kst 409.022567316 20.6814928233 25.47 ab
57818.340704 kst 439.280016976 20.923497493 25.47 ab
57818.590704 kst 417.217475023 21.1534716464 25.47 ab
57818.840704 kst 451.527971898 21.3711901157 25.47 ab
57819.090704 kst 451.281552587 21.5764226763 25.47 ab
57819.340704 kst 465.453907895 21.770089905 25.47 ab
57819.590704 kst 496.523439892 21.9525673078 25.47 ab
57819.840704 kst 525.910180327 22.1232653277 25.47 ab
57820.090704 kst 507.425192396 22.2815944003 25.47 ab
57820.340704 kst 491.764114635 22.4269658176 25.47 ab
57820.590704 kst 502.425658443 22.5598052267 25.47 ab
57820.840704 kst 505.329900004 22.6814837197 25.47 ab
57821.090704 kst 558.202188973 22.7933489506 25.47 ab
57821.340704 kst 578.126146221 22.8962892754 25.47 ab
57821.590704 kst 507.460249347 22.9879843492 25.47 ab
57821.840704 kst 548.119814826 23.0702700297 25.47 ab
57822.090704 kst 560.272860726 23.146108811 25.47 ab
57822.340704 kst 526.007186237 23.218414347 25.47 ab
