@c 0.250015813932
@x1 2.06684323726
@x0 0.00107598751226
@z 0.0591110351933
@t0 57969.4608631
time band flux fluxerr zp zpsys
57961.4608631 smg 5469.289286 79.7703653263 27.4553398 ab
57966.4608631 smg 4022.85216521 69.351808704 26.8861141567 ab
57971.4608631 smg 3223.9547562 62.676525637 26.6383155361 ab
57976.4608631 smg 4536.84362678 71.7552153031 27.1188387367 ab
57981.4608631 smg 2861.46735393 59.4385216057 26.87292368 ab
57986.4608631 smg 1124.2000825 42.9882086874 26.2749765008 ab
57991.4608631 smg 1763.06656376 49.6545666185 27.0840563046 ab
57996.4608631 smg 481.283033451 33.6327724661 25.9910282429 ab
58001.4608631 smg 364.735675532 32.2972893745 26.0564267994 ab
58006.4608631 smg 431.340201213 34.0343497294 26.6290783635 ab
58011.4608631 smg 902.778871433 40.9363977312 27.6400241684 ab
58016.4608631 smg 2855.94345381 60.5498431516 29.0110790532 ab
57961.461002 smr 839.180479011 37.6867271672 25.2293164966 ab
57966.461002 smr 522.170634553 33.6674405812 24.5440829335 ab
57971.461002 smr 783.691174435 37.1773598926 24.8740369031 ab
57976.461002 smr 769.813550684 37.2962633938 24.9633358789 ab
57981.461002 smr 518.213597445 33.8678104797 24.7988230713 ab
57986.461002 smr 629.659528144 36.6542333856 25.3687127828 ab
57991.461002 smr 646.676691685 35.5513763786 25.3174170839 ab
57996.461002 smr 570.960795135 35.3741696223 25.3193600691 ab
58001.461002 smr 406.142771793 32.8499384231 25.1188658272 ab
58006.461002 smr 450.800236513 32.3025440459 25.2803096241 ab
58011.461002 smr 271.551558965 29.7606495971 25.0777734983 ab
58016.461002 smr 288.975140323 30.8027501332 25.4842067844 ab
57961.4611409 smi 1018.87680626 41.3746063498 25.7189975324 ab
57966.4611409 smi 3798.04112434 67.5734069647 27.1020417781 ab
57971.4611409 smi 1503.05298125 47.3087989803 26.2181451303 ab
57976.4611409 smi 1238.15651703 43.4990341493 26.0410923516 ab
57981.4611409 smi 4760.48587009 73.9010466778 27.7956442504 ab
57986.4611409 smi 1043.47878055 40.5516618435 26.416594563 ab
57991.4611409 smi 1051.07519912 41.3784223476 26.4388806873 ab
57996.4611409 smi 1683.189415 49.5015172699 26.770679686 ab
58001.4611409 smi 2005.72315352 51.2043173482 26.7664303601 ab
58006.4611409 smi 5868.43719601 81.3151441767 28.1347910151 ab
58011.4611409 smi 2306.89494367 54.9243922509 27.4332611631 ab
58016.4611409 smi 771.959866986 38.9786057242 26.6196761834 ab
