@c -0.465362205359
@x1 1.85106936433
@x0 0.00139689664413
@z 0.0521398494308
@t0 58043.5551716
time band flux fluxerr zp zpsys
58038.5551716 smg 8238.51172302 95.4548431045 27.605042306 ab
58043.5551716 smg 3047.35082547 60.3709961048 26.4144184165 ab
58048.5551716 smg 11934.4901128 112.383481613 28.0309661229 ab
58053.5551716 smg 6389.83776385 84.8069928176 27.5846928896 ab
58058.5551716 smg 2624.49050367 56.9515057989 26.9298475192 ab
58063.5551716 smg 2173.07768144 54.0554525832 27.1661455258 ab
58068.5551716 smg 375.212659029 31.7263230117 25.6096281791 ab
58073.5551716 smg 925.877900869 40.7051091392 26.9805541743 ab
58038.5553105 smr 555.14669907 35.7234843819 25.4789255267 ab
58043.5553105 smr 672.187503966 36.9504820767 25.500832511 ab
58048.5553105 smr 634.631717338 36.0514266192 25.4260112349 ab
58053.5553105 smr 379.815098677 31.4512249046 24.9812154577 ab
58058.5553105 smr 187.583107939 28.8504323646 24.7288938681 ab
58063.5553105 smr 233.204576631 28.4298081411 24.736303463 ab
58068.5553105 smr 257.212845889 30.9791256127 25.3152111306 ab
58073.5553105 smr 270.668765894 31.0870758126 25.4042933905 ab
58038.5554494 smi 765.55096244 38.7370844909 26.4134482385 ab
58043.5554494 smi 2459.22214706 56.4687102183 27.7255868683 ab
58048.5554494 smi 1188.3894821 44.1268293446 27.0505128689 ab
58053.5554494 smi 415.704151259 32.6478713746 26.0343424121 ab
58058.5554494 smi 132.012968282 26.7476475933 24.9012301596 ab
58063.5554494 smi 326.749430508 31.7676450031 26.2504570244 ab
58068.5554494 smi 780.806748036 39.134791674 27.1277221769 ab
58073.5554494 smi 1215.51946334 43.8375429643 27.3393639813 ab
