@c -0.107756133694
@x1 -3.15380278669
@x0 0.00882031417314
@z 0.0212232002069
@t0 58051.5206706
time band flux fluxerr zp zpsys
58046.5206706 smg 37427.2177454 512.464431929 27.4874630022 ab
58051.5206706 smg 79793.262299 551.929629607 27.9638856148 ab
58056.5206706 smg 4819.63466396 480.251957916 25.1455556695 ab
58061.5206706 smg 16961.3840883 492.512146804 26.9705862233 ab
58066.5206706 smg 6261.53784688 480.56647664 26.2937317435 ab
58071.5206706 smg 7883.42579128 483.433583799 27.400027907 ab
58076.5206706 smg 4498.02652229 479.943556884 27.2939426941 ab
58081.5206706 smg 429.818805413 475.830562505 25.8549822232 ab
58086.5206706 smg 1360.98248274 476.857361197 26.849141651 ab
58046.5208095 smr 5719.50005709 349.283499176 25.4482758554 ab
58051.5208095 smr 4183.66046049 348.914975577 25.1386053481 ab
58056.5208095 smr 6459.74027899 351.604782223 25.5903308697 ab
58061.5208095 smr 16542.2103436 365.325626758 27.028714679 ab
58066.5208095 smr 6748.61838235 351.497257627 26.206325209 ab
58071.5208095 smr 4330.44465932 348.183611821 25.8682753659 ab
58076.5208095 smr 3043.3028324 345.717520317 25.6594563347 ab
58081.5208095 smr 1888.3810778 344.700645293 26.0426070825 ab
58086.5208095 smr 1462.49319793 343.764786912 26.3705868755 ab
58046.5209484 smi 7211.98422635 246.054528127 26.2074053616 ab
58051.5209484 smi 5808.76745747 243.185598043 25.9280067612 ab
58056.5209484 smi 9269.60589007 250.297205634 26.6000799802 ab
58061.5209484 smi 2606.43030415 236.577894426 25.77462436 ab
58066.5209484 smi 7885.49087398 247.261627824 26.8383028492 ab
58071.5209484 smi 8101.56257736 247.683409286 26.7154170033 ab
58076.5209484 smi 12372.6833276 255.517089677 27.2249850453 ab
58081.5209484 smi 1710.12138721 233.929615779 25.6551583061 ab
58086.5209484 smi 784.310503266 232.472351921 25.7789774619 ab
58046.5210873 smv 3547.43957633 164.444403914 25.5529459482 ab
58051.5210873 smv 5869.80366045 171.734416486 25.5559982609 ab
