@c -0.0283173952091
@x1 2.40970898749
@x0 3.43246936259
@z 0.00109207482672
@t0 57996.1908152
time band flux fluxerr zp zpsys
57983.1908152 smg 3941015.6547 2042.00938973 26.8662789749 ab
57988.1908152 smg 17879323.262 4256.20577282 27.6338515237 ab
57993.1908152 smg 9500714.43532 3119.44130495 26.7015240838 ab
57998.1908152 smg 7373217.37755 2756.62807759 26.4290899971 ab
58003.1908152 smg 4987838.68923 2283.79124895 26.1293502766 ab
58008.1908152 smg 4323744.36241 2132.81126665 26.2207165625 ab
58013.1908152 smg 3954567.75263 2044.81142263 26.4637860346 ab
58018.1908152 smg 3505165.67248 1931.76375471 26.6675885602 ab
58023.1908152 smg 2342229.38508 1602.00997923 26.4896872451 ab
57983.1909541 smr 1379233.93927 1221.79504412 25.9050906879 ab
57988.1909541 smr 3603630.08969 1928.37138475 26.1461368285 ab
57993.1909541 smr 243757.182632 600.911837965 22.9733716983 ab
57998.1909541 smr 4368206.61396 2118.00117632 26.0384882153 ab
58003.1909541 smr 1058044.96094 1084.43273055 24.5934425198 ab
58008.1909541 smr 4669779.67008 2187.79467612 26.5211477067 ab
58013.1909541 smr 5509017.09694 2371.72516659 26.9749626575 ab
58018.1909541 smr 1024398.43348 1069.10856458 25.1920284703 ab
58023.1909541 smr 671011.427804 887.207318539 24.6645338665 ab
57983.191093 smi 2204646.66513 1502.87160023 26.892266773 ab
57988.191093 smi 6846837.89257 2626.45051466 27.2265042481 ab
57993.191093 smi 3352826.1611 1845.57125439 26.3333668627 ab
57998.191093 smi 10154400.6026 3194.92025026 27.7087131872 ab
58003.191093 smi 3950402.72979 2001.02788875 26.848716827 ab
58008.191093 smi 4209845.21658 2065.32905693 27.2482297967 ab
58013.191093 smi 2242961.00804 1515.45986224 26.8393601564 ab
58018.191093 smi 1976404.46007 1425.28448106 26.6232778205 ab
58023.191093 smi 632038.150047 827.463308492 25.0390095078 ab
57983.1912319 smv 1060622.10282 1041.47027295 25.4945498719 ab
57988.1912319 smv 1605054.77546 1275.90768615 24.9772856069 ab
57980.1908152 kst 302232.082725 550.41449032 25.47 ab
57980.4408152 kst 343425.97371 586.511487424 25.47 ab
57980.6908152 kst 387883.518337 622.917614291 25.47 ab
57980.9408152 kst 433616.631597 659.112848467 25.47 ab
57981.1908152 kst 483156.007507 694.687366213 25.47 ab
57981.4408152 kst 533915.647775 729.855461656 25.47 ab
57981.6908152 kst 584803.029608 764.783047447 25.47 ab
57981.9408152 kst 640227.254175 799.260873029 25.47 ab
57982.1908152 kst 694808.636164 833.115891026 25.47 ab
57982.4408152 kst 751500.647378 866.73531221 25.47 ab
57982.6908152 kst 810158.940179 900.083733194 25.47 ab
57982.9408152 kst 869162.968628 932.633130631 25.47 ab
57983.1908152 kst 930176.015199 963.927753937 25.47 ab
57983.4408152 kst 988499.857096 994.343315733 25.47 ab
57983.6908152 kst 1049714.43424 1024.04975632 25.47 ab
57983.9408152 kst 1109507.90942 1052.60049468 25.47 ab
57984.1908152 kst 1165907.73495 1079.59395219 25.47 ab
57984.4408152 kst 1222558.041 1105.04623337 25.47 ab
57984.6908152 kst 1274559.92798 1129.30733958 25.47 ab
57984.9408152 kst 1329102.89784 1152.56485284 25.47 ab
57985.1908152 kst 1380890.1961 1174.98829746 25.47 ab
57985.4408152 kst 1431737.32088 1196.59438149 25.47 ab
57985.6908152 kst 1482686.96018 1217.39546151 25.47 ab
57985.9408152 kst 1531557.10999 1237.50206667 25.47 ab
57986.1908152 kst 1581114.5411 1257.01624147 25.47 ab
57986.4408152 kst 1626856.52141 1275.9538485 25.47 ab
57986.6908152 kst 1675295.22749 1294.31690152 25.47 ab
57986.9408152 kst 1724187.6756 1312.16094734 25.47 ab
57987.1908152 kst 1766257.9024 1329.53810125 25.47 ab
57987.4408152 kst 1811017.25998 1346.59061017 25.47 ab
57987.6908152 kst 1857076.68425 1363.26317695 25.47 ab
57987.9408152 kst 1902158.5336 1379.34655867 25.47 ab
57988.1908152 kst 1943435.16263 1394.64085445 25.47 ab
57988.4408152 kst 1987010.92087 1409.22025472 25.47 ab
57988.6908152 kst 2023148.15001 1423.17827273 25.47 ab
57988.9408152 kst 2062300.71723 1436.4011135 25.47 ab
57989.1908152 kst 2098749.51405 1448.77823805 25.47 ab
57989.4408152 kst 2131623.38788 1460.34365735 25.47 ab
57989.6908152 kst 2166611.46701 1471.16651035 25.47 ab
57989.9408152 kst 2194768.7563 1481.21258886 25.47 ab
57990.1908152 kst 2221512.15643 1490.4474822 25.47 ab
57990.4408152 kst 2245174.55699 1498.91628939 25.47 ab
57990.6908152 kst 2267407.92484 1506.64104828 25.47 ab
57990.9408152 kst 2288238.55633 1513.56474377 25.47 ab
57991.1908152 kst 2309028.43944 1519.63015968 25.47 ab
57991.4408152 kst 2323114.57305 1524.7523088 25.47 ab
57991.6908152 kst 2335945.02777 1529.00762186 25.47 ab
57991.9408152 kst 2346336.91434 1532.56974049 25.47 ab
57992.1908152 kst 2358058.16813 1535.609472 25.47 ab
57992.4408152 kst 2364793.47138 1537.96457235 25.47 ab
57992.6908152 kst 2370963.44225 1539.62959557 25.47 ab
57992.9408152 kst 2375018.58846 1540.97054275 25.47 ab
57993.1908152 kst 2379136.70905 1542.35165569 25.47 ab
57993.4408152 kst 2382490.01638 1543.82572498 25.47 ab
57993.6908152 kst 2388655.43665 1545.21433399 25.47 ab
57993.9408152 kst 2392283.05314 1546.5151148 25.47 ab
57994.1908152 kst 2395760.73703 1547.72569328 25.47 ab
57994.4408152 kst 2397389.90745 1548.84935813 25.47 ab
57994.6908152 kst 2402523.11553 1549.88633715 25.47 ab
57994.9408152 kst 2405750.31662 1550.82998801 25.47 ab
57995.1908152 kst 2409413.91164 1551.67366913 25.47 ab
57995.4408152 kst 2411644.29576 1552.43805598 25.47 ab
57995.6908152 kst 2412365.64179 1553.11920719 25.47 ab
57995.9408152 kst 2416050.71206 1553.67446281 25.47 ab
57996.1908152 kst 2414566.48309 1554.06119897 25.47 ab
57996.4408152 kst 2413158.31114 1554.28496981 25.47 ab
57996.6908152 kst 2417284.42169 1554.36310272 25.47 ab
57996.9408152 kst 2417855.56061 1554.27061055 25.47 ab
57997.1908152 kst 2412646.31197 1553.98244912 25.47 ab
57997.4408152 kst 2413820.61544 1553.48955743 25.47 ab
57997.6908152 kst 2408392.47345 1552.80582789 25.47 ab
57997.9408152 kst 2407043.08344 1551.94027178 25.47 ab
