@c 0.108477295033
@x1 3.48420058914
@x0 0.00094163583904
@z 0.0630109507118
@t0 57935.693226
time band flux fluxerr zp zpsys
57930.693226 smg 8696.13613958 484.142617794 27.8624275052 ab
57935.693226 smg 398.699824577 476.117751976 25.5114413212 ab
57940.693226 smg 2987.38233399 478.30580791 26.8135864235 ab
57945.693226 smg 2533.73368746 477.538472384 26.6553822857 ab
57950.693226 smg 3448.76358913 478.755135142 27.3880988236 ab
57955.693226 smg 1132.13870465 475.722893428 25.8147215991 ab
57960.693226 smg 2512.83191653 477.062638372 27.4524232788 ab
57965.693226 smg 1270.09446669 475.757784169 26.5602590955 ab
57970.693226 smg 3081.61284675 476.883802378 28.0004318925 ab
57975.693226 smg 481.833209489 475.734344194 27.2132914753 ab
57980.693226 smg -997.053886247 475.240867527 25.8818675446 ab
57985.693226 smg -80.9466434024 475.327652926 26.4354543594 ab
57930.6933649 smr 938.777683603 343.059833982 25.4977085218 ab
57935.6933649 smr 820.774057671 342.621965584 25.0049896949 ab
57940.6933649 smr 1080.78660953 343.700744007 25.8616421476 ab
57945.6933649 smr 1298.06896003 343.742626801 26.0060721437 ab
57950.6933649 smr 450.51092513 342.544084438 25.3448916045 ab
57955.6933649 smr 1916.30324468 344.039860467 26.5999341645 ab
57960.6933649 smr 940.694899942 343.12341109 26.0570313149 ab
57965.6933649 smr 2547.44234175 345.386460858 27.090044276 ab
57970.6933649 smr 566.51507485 342.878732168 26.0612056521 ab
57975.6933649 smr 317.945152147 342.166221691 25.3332971726 ab
57980.6933649 smr 653.245064123 342.686519797 26.4611761847 ab
57985.6933649 smr 325.152794333 342.529266501 26.4667765693 ab
57930.6935038 smi 2529.52117646 235.494158216 26.9638702668 ab
57935.6935038 smi 327.373415671 231.881926277 25.7833167772 ab
57940.6935038 smi 1527.38471715 233.531563351 26.6214475357 ab
57945.6935038 smi 913.36704332 231.912368944 25.9182447802 ab
57950.6935038 smi 921.229532224 232.569365407 26.8708248103 ab
57955.6935038 smi 309.338559643 230.928645473 25.438384854 ab
57960.6935038 smi 587.637470633 231.842064356 26.3641582707 ab
57965.6935038 smi 1769.46732202 234.317537271 27.0046680231 ab
57970.6935038 smi 5109.39341078 241.439795525 28.1426768844 ab
57975.6935038 smi 828.185630561 231.687842502 26.0119162075 ab
57980.6935038 smi 479.202484382 231.519382938 26.2308355852 ab
57985.6935038 smi 656.003910124 232.323040969 27.062428154 ab
57930.6936426 smv 355.078016192 154.544274822 24.5674658294 ab
57935.6936426 smv 1007.93180497 156.717150135 25.9967964374 ab
57919.693226 kst 192.267709234 13.4027231245 25.47 ab
57919.943226 kst 203.48535688 14.1041198649 25.47 ab
57920.193226 kst 226.303702881 14.8053248212 25.47 ab
57920.443226 kst 229.768847893 15.5016940919 25.47 ab
57920.693226 kst 265.977076342 16.1889698243 25.47 ab
57920.943226 kst 283.638135788 16.8672508086 25.47 ab
57921.193226 kst 314.458797388 17.5480891437 25.47 ab
57921.443226 kst 363.567138196 18.2202248466 25.47 ab
57921.693226 kst 388.641201019 18.8710360284 25.47 ab
57921.943226 kst 328.938644638 19.4909994379 25.47 ab
57922.193226 kst 431.914346218 20.0960139548 25.47 ab
57922.443226 kst 452.809714389 20.6837743739 25.47 ab
57922.693226 kst 465.964961893 21.2429452101 25.47 ab
57922.943226 kst 490.674183398 21.7632715358 25.47 ab
57923.193226 kst 502.381964676 22.2452175855 25.47 ab
57923.443226 kst 477.422280922 22.6978297305 25.47 ab
57923.693226 kst 502.58730112 23.1250641187 25.47 ab
57923.943226 kst 562.718995093 23.5304982709 25.47 ab
57924.193226 kst 535.385924669 23.9159031346 25.47 ab
57924.443226 kst 612.173354011 24.2805286989 25.47 ab
57924.693226 kst 595.799838315 24.6263535209 25.47 ab
57924.943226 kst 662.09147635 24.9553174743 25.47 ab
57925.193226 kst 657.145960854 25.268900681 25.47 ab
57925.443226 kst 659.261133081 25.566772574 25.47 ab
57925.693226 kst 658.848329529 25.8496748164 25.47 ab
57925.943226 kst 693.505059849 26.1185293195 25.47 ab
57926.193226 kst 689.369546159 26.3741492801 25.47 ab
57926.443226 kst 704.043069203 26.616450399 25.47 ab
57926.693226 kst 776.995386221 26.8459370175 25.47 ab
57926.943226 kst 722.030878825 27.0634294128 25.47 ab
57927.193226 kst 758.852342419 27.2697050556 25.47 ab
57927.443226 kst 743.813634293 27.4651448955 25.47 ab
57927.693226 kst 835.753379376 27.6497007467 25.47 ab
57927.943226 kst 776.411312233 27.8234425842 25.47 ab
57928.193226 kst 805.564252033 27.9864260553 25.47 ab
57928.443226 kst 809.490782975 28.1390019871 25.47 ab
57928.693226 kst 783.572379854 28.2816231192 25.47 ab
57928.943226 kst 809.009567172 28.4137792884 25.47 ab
57929.193226 kst 795.374327617 28.534924594 25.47 ab
57929.443226 kst 804.282278409 28.6448065658 25.47 ab
57929.693226 kst 863.810693394 28.7444629502 25.47 ab
57929.943226 kst 826.05154906 28.8333472768 25.47 ab
57930.193226 kst 862.073974368 28.9106321608 25.47 ab
57930.443226 kst 840.92928617 28.9754255548 25.47 ab
57930.693226 kst 768.939718199 29.0265325358 25.47 ab
57930.943226 kst 844.616028263 29.0656137871 25.47 ab
57931.193226 kst 857.272150567 29.0950895567 25.47 ab
57931.443226 kst 888.28095175 29.1173586313 25.47 ab
57931.693226 kst 872.240995348 29.1298555068 25.47 ab
57931.943226 kst 860.042836035 29.1320517526 25.47 ab
57932.193226 kst 879.360540068 29.1291206005 25.47 ab
57932.443226 kst 845.769210412 29.1262319163 25.47 ab
57932.693226 kst 875.143360036 29.1260780176 25.47 ab
57932.943226 kst 814.214118274 29.125254735 25.47 ab
57933.193226 kst 835.563805273 29.123588344 25.47 ab
57933.443226 kst 895.269486212 29.1211119724 25.47 ab
57933.693226 kst 801.303770472 29.1178561494 25.47 ab
57933.943226 kst 856.078032434 29.1138164593 25.47 ab
57934.193226 kst 797.355882732 29.1089663254 25.47 ab
57934.443226 kst 907.155413565 29.1032791068 25.47 ab
57934.693226 kst 860.336124329 29.0967365315 25.47 ab
57934.943226 kst 903.907487317 29.0894575871 25.47 ab
57935.193226 kst 832.694538612 29.0813593864 25.47 ab
57935.443226 kst 819.958853326 29.0722708808 25.47 ab
57935.693226 kst 872.934357178 29.0620207169 25.47 ab
57935.943226 kst 777.46829116 29.0506287148 25.47 ab
57936.193226 kst 839.494143186 29.0381762444 25.47 ab
57936.443226 kst 883.587474645 29.0245838218 25.47 ab
57936.693226 kst 840.83653089 29.0097716862 25.47 ab
57936.943226 kst 821.439996966 28.9936695558 25.47 ab
57937.193226 kst 823.591368225 28.9763025785 25.47 ab
57937.443226 kst 841.997818406 28.957749622 25.47 ab
57937.693226 kst 821.535478202 28.9380901856 25.47 ab
57937.943226 kst 845.367686148 28.9174003927 25.47 ab
57938.193226 kst 812.045462888 28.8956780492 25.47 ab
57938.443226 kst 818.776137641 28.8728430415 25.47 ab
57938.693226 kst 839.920264975 28.8488115497 25.47 ab
57938.943226 kst 831.926075343 28.8235784451 25.47 ab
57939.193226 kst 857.545704246 28.798412268 25.47 ab
57939.443226 kst 815.557210691 28.7723451828 25.47 ab
57939.693226 kst 833.570889101 28.7434693156 25.47 ab
57939.943226 kst 844.959920253 28.709868539 25.47 ab
57940.193226 kst 862.374202069 28.671388409 25.47 ab
57940.443226 kst 830.700680096 28.6290337078 25.47 ab
57940.693226 kst 755.630499227 28.5825431814 25.47 ab
57940.943226 kst 851.504967522 28.5316520453 25.47 ab
57941.193226 kst 800.568925633 28.4761053011 25.47 ab
57941.443226 kst 814.730007133 28.4159430967 25.47 ab
57941.693226 kst 786.655095286 28.3514385445 25.47 ab
57941.943226 kst 793.770309928 28.2828697208 25.47 ab
57942.193226 kst 801.569666759 28.2104276039 25.47 ab
57942.443226 kst 765.59109372 28.1337957938 25.47 ab
57942.693226 kst 759.961942273 28.0530490792 25.47 ab
57942.943226 kst 823.528492418 27.968354392 25.47 ab
57943.193226 kst 816.315252582 27.8798822822 25.47 ab
57943.443226 kst 743.237405438 27.7877493789 25.47 ab
57943.693226 kst 747.567201925 27.6916867911 25.47 ab
57943.943226 kst 709.267365085 27.5913339501 25.47 ab
57944.193226 kst 790.415067327 27.4863231201 25.47 ab
57944.443226 kst 763.738260621 27.3766906841 25.47 ab
57944.693226 kst 704.976728574 27.2625358699 25.47 ab
57944.943226 kst 732.821289977 27.1435336013 25.47 ab
57945.193226 kst 752.815748328 27.0193504658 25.47 ab
57945.443226 kst 722.336775319 26.8897976632 25.47 ab
