@c -0.0873733027416
@x1 1.87351351757
@x0 0.00332458569312
@z 0.0342397606476
@t0 57992.9227073
time band flux fluxerr zp zpsys
57976.9227073 kst 302.596659062 16.6445379675 25.47 ab
57977.1727073 kst 276.224621525 17.7808936711 25.47 ab
57977.4227073 kst 339.174195021 18.9086051347 25.47 ab
57977.6727073 kst 372.533854282 20.0348156223 25.47 ab
57977.9227073 kst 434.307751822 21.1641733268 25.47 ab
57978.1727073 kst 513.460604992 22.286067934 25.47 ab
57978.4227073 kst 522.449405866 23.3919195479 25.47 ab
57978.6727073 kst 615.942395866 24.4911332112 25.47 ab
57978.9227073 kst 649.11852269 25.5898165337 25.47 ab
57979.1727073 kst 735.649176846 26.6680197047 25.47 ab
57979.4227073 kst 780.568399062 27.7087373499 25.47 ab
57979.6727073 kst 868.209108396 28.7130798502 25.47 ab
57979.9227073 kst 850.0467798 29.7001758426 25.47 ab
57980.1727073 kst 952.310205989 30.6552434203 25.47 ab
57980.4227073 kst 1018.84086147 31.5640806012 25.47 ab
57980.6727073 kst 1068.80104247 32.4185688875 25.47 ab
57980.9227073 kst 1092.62237525 33.2314963071 25.47 ab
57981.1727073 kst 1134.96892537 34.0101324345 25.47 ab
57981.4227073 kst 1202.51162259 34.7600443765 25.47 ab
57981.6727073 kst 1266.7473987 35.4852689555 25.47 ab
57981.9227073 kst 1324.08995256 36.1844461202 25.47 ab
57982.1727073 kst 1397.50478332 36.8603430607 25.47 ab
57982.4227073 kst 1429.09174292 37.5163230299 25.47 ab
57982.6727073 kst 1415.94354846 38.155180693 25.47 ab
57982.9227073 kst 1570.77029875 38.7762924142 25.47 ab
57983.1727073 kst 1546.56640553 39.3807275502 25.47 ab
57983.4227073 kst 1614.57647672 39.9702440389 25.47 ab
57983.6727073 kst 1629.56829166 40.5467022847 25.47 ab
57983.9227073 kst 1665.25763579 41.1150279514 25.47 ab
57984.1727073 kst 1729.41737507 41.6714895317 25.47 ab
57984.4227073 kst 1780.48157046 42.2094250964 25.47 ab
57984.6727073 kst 1836.57445404 42.7225604083 25.47 ab
57984.9227073 kst 1840.15653032 43.2144334854 25.47 ab
57985.1727073 kst 1851.5413042 43.6875070473 25.47 ab
57985.4227073 kst 1941.07016811 44.1382998678 25.47 ab
57985.6727073 kst 1977.43409712 44.5634413711 25.47 ab
57985.9227073 kst 2082.94972891 44.9634687793 25.47 ab
57986.1727073 kst 2000.35132049 45.3411628975 25.47 ab
57986.4227073 kst 2086.85202829 45.6956900921 25.47 ab
