@c 0.157406097007
@x1 6.46856061984
@x0 0.000376027411613
@z 0.0973207909467
@t0 57969.4144495
time band flux fluxerr zp zpsys
57959.4144495 smg 1230.90463345 476.249292308 26.5300359155 ab
57964.4144495 smg 1953.79922551 477.111370783 27.078638753 ab
57969.4144495 smg -654.96415963 475.518689409 25.5402850948 ab
57974.4144495 smg -281.005427795 475.451442498 25.3791679495 ab
57979.4144495 smg 883.651104148 476.875083369 27.1139434742 ab
57984.4144495 smg 3601.28858789 478.41444932 28.0010386498 ab
57989.4144495 smg 1370.99399537 476.39793885 27.278716863 ab
57994.4144495 smg 398.081811482 475.388219701 26.1454106572 ab
57999.4144495 smg 1634.20893351 476.96126197 28.3843576566 ab
57959.4145884 smr 1684.81980247 344.603956244 27.1970928672 ab
57964.4145884 smr 542.781493484 342.140601074 25.0113949148 ab
57969.4145884 smr 974.21015462 342.805234683 26.074495256 ab
57974.4145884 smr 838.418531123 342.778259271 26.0518953403 ab
57979.4145884 smr -96.2369798247 342.560821232 25.8049235212 ab
57984.4145884 smr 461.205629571 342.100514943 25.2371600709 ab
57989.4145884 smr -572.613791652 342.005249387 25.0977126874 ab
57994.4145884 smr 426.534374104 341.887058507 24.5498305585 ab
57999.4145884 smr 424.348105749 342.17328843 25.5426931443 ab
57959.4147272 smi 687.954230398 231.437181138 25.9192238452 ab
57964.4147272 smi 976.950665541 233.482117231 27.3825331773 ab
57969.4147272 smi 93.7251576087 230.974221255 25.7422282282 ab
57974.4147272 smi 658.426448684 232.36394568 26.8634064684 ab
57979.4147272 smi 886.27850926 232.358886576 26.8433405467 ab
57984.4147272 smi -167.554497274 230.811376223 25.8454537394 ab
57989.4147272 smi 646.852100495 231.388129466 27.1197870308 ab
57994.4147272 smi 336.542394694 231.119596863 26.6057023234 ab
57999.4147272 smi 324.093216334 231.725859211 26.41620312 ab
57959.4148661 smv 129.385837256 154.179487228 25.4165835283 ab
57964.4148661 smv -88.1796844354 153.602057899 23.5607064215 ab
