@c -0.0742970675151
@x1 1.04183488095
@x0 0.0010358526918
@z 0.0601982967509
@t0 58103.3822106
time band flux fluxerr zp zpsys
58093.3822106 smg 1408.58817423 477.076284724 26.7826284365 ab
58098.3822106 smg 1423.28125874 476.73505917 26.0577109261 ab
58103.3822106 smg 4226.07812493 478.91736471 26.8786427636 ab
58108.3822106 smg 6322.11182758 482.509955449 27.7186514459 ab
58113.3822106 smg 1902.99724733 477.329870594 26.6670363959 ab
58118.3822106 smg 9461.18809654 484.564119862 28.6193634824 ab
58123.3822106 smg 2025.28500634 477.153495499 27.3649015343 ab
58128.3822106 smg 1986.79498807 476.56782405 27.4262507967 ab
58093.3823495 smr 1126.26248619 343.41783248 26.4889283029 ab
58098.3823495 smr 626.949123592 342.815151943 25.4841964639 ab
58103.3823495 smr 725.627280266 342.636160794 25.1472079765 ab
58108.3823495 smr 1452.69578468 344.027932649 26.1731505796 ab
58113.3823495 smr 827.782286613 343.537185791 26.126234875 ab
58118.3823495 smr 1498.05485985 343.968163874 26.6319755418 ab
58123.3823495 smr 551.626683998 342.419812988 25.5206557482 ab
58128.3823495 smr 608.217471341 342.38701088 25.5663846655 ab
58093.3824884 smi 587.870702152 232.359336957 26.442199582 ab
58098.3824884 smi 2221.03261314 235.648069276 27.1685883483 ab
58103.3824884 smi 2674.55883492 236.140068892 27.3357532463 ab
58108.3824884 smi 2629.9450854 236.203991872 27.4305584211 ab
58113.3824884 smi 943.756377567 232.685535912 26.6765096663 ab
58118.3824884 smi 2683.40404373 236.054719263 27.9935818653 ab
58123.3824884 smi 718.606650564 231.504213083 26.1892852517 ab
58128.3824884 smi 1783.8754078 233.850531801 27.3771522827 ab
58093.3826273 smv 401.731751399 155.256570176 25.6782049742 ab
58098.3826273 smv 836.175118403 155.992171351 25.4839865061 ab
