@c 0.227475826384
@x1 -1.91713198755
@x0 0.00101999020102
@z 0.0606451351515
@t0 57836.0873941
time band flux fluxerr zp zpsys
57833.0873941 smg 4818.92405489 480.552896634 27.2927318702 ab
57838.0873941 smg 5156.43526895 480.385352504 27.2119237518 ab
57843.0873941 smg 1337.11829673 476.96081529 26.359374945 ab
57848.0873941 smg 2166.44027151 477.219887528 26.9677596276 ab
57853.0873941 smg 1346.53703918 476.012290667 26.6242146162 ab
57858.0873941 smg 831.961469276 475.828789609 26.9077284431 ab
57863.0873941 smg 566.499056074 475.418193787 26.4954032446 ab
57868.0873941 smg -165.224153067 475.357333708 26.6563871028 ab
57873.0873941 smg 364.846423487 475.27780426 26.4360124569 ab
57878.0873941 smg 910.184153265 475.612407315 27.6102380094 ab
57883.0873941 smg 240.267561294 475.340688506 26.9591182387 ab
57833.0875329 smr 1950.26633046 344.770510484 26.1381538739 ab
57838.0875329 smr 3344.64692778 346.611826269 26.5415466568 ab
57843.0875329 smr 5169.37266074 349.014645971 27.1435484428 ab
57848.0875329 smr 1317.300918 343.282108096 25.8214653851 ab
57853.0875329 smr 1131.54434097 343.347958646 26.0294537937 ab
57858.0875329 smr 385.105060523 341.941358871 24.0806193994 ab
57863.0875329 smr 387.623122082 342.506663643 25.7557671099 ab
57868.0875329 smr 572.42647303 342.518709985 26.2044579796 ab
57873.0875329 smr 732.721143352 342.105422389 25.7728367408 ab
57878.0875329 smr -119.719136839 342.22627504 26.1928678338 ab
57883.0875329 smr 436.306969214 342.237217579 26.3139876339 ab
57833.0876718 smi 1968.57840223 235.031264085 26.3530389598 ab
57838.0876718 smi 5912.83129025 241.679489136 27.4010491967 ab
57843.0876718 smi 2176.51929795 234.990191144 26.6374347615 ab
57848.0876718 smi 1818.35454296 235.23585616 27.1405481597 ab
57853.0876718 smi 959.127937934 233.62083925 26.5897970269 ab
57858.0876718 smi 4837.69573974 241.014957461 27.8229919379 ab
57863.0876718 smi 1432.1071754 234.641102271 26.9696685795 ab
57868.0876718 smi 155.642915464 231.514951912 25.9136289124 ab
57873.0876718 smi 779.892022966 231.990141011 26.7976347182 ab
57878.0876718 smi 588.291389626 231.313656456 26.4105798255 ab
57883.0876718 smi 902.10179158 232.404067575 27.4720539631 ab
57833.0878107 smv 611.710858828 155.151570639 25.7315699708 ab
57838.0878107 smv -99.9003917875 153.738636144 23.7815378954 ab
