@c -0.106930716313
@x1 -1.35060985812
@x0 0.00108583737016
@z 0.0588532171003
@t0 57923.4568867
time band flux fluxerr zp zpsys
57917.4568867 smg 4864.87101249 75.0505578965 27.4658484637 ab
57922.4568867 smg 5805.0889187 80.5532001891 27.3318785438 ab
57927.4568867 smg 2160.30257164 53.9281530227 26.406935575 ab
57932.4568867 smg 3878.99878393 68.1447436963 27.3745773209 ab
57937.4568867 smg 555.131297815 34.4944307836 25.6967503816 ab
57917.4570256 smr 543.636132804 33.8940630947 25.2155720738 ab
57922.4570256 smr 339.708657523 31.0325757258 24.5338811839 ab
57927.4570256 smr 748.316693445 37.4458526105 25.3398154323 ab
57932.4570256 smr 530.183224088 34.4400863861 25.2527309416 ab
57937.4570256 smr 342.964043688 30.9338553715 24.9830364628 ab
57917.4571645 smi 547.102392211 34.6775758477 25.5663241683 ab
57922.4571645 smi 947.688738527 39.7877063947 26.0058536142 ab
57927.4571645 smi 3546.39355979 65.2592803656 27.584039059 ab
57932.4571645 smi 487.581839674 34.1069190075 25.8366048841 ab
57937.4571645 smi 2463.03828291 57.3295594005 27.8202510395 ab
57907.4568867 kst 1.98712009723 3.57899171594 25.47 ab
57907.7068867 kst 20.967335122 4.36026990407 25.47 ab
57907.9568867 kst 30.5285906419 5.10427274166 25.47 ab
57908.2068867 kst 29.0495339295 5.81786105339 25.47 ab
57908.4568867 kst 42.5141829791 6.50115977645 25.47 ab
57908.7068867 kst 40.6575991754 7.15468529571 25.47 ab
57908.9568867 kst 45.8597906332 7.79122885336 25.47 ab
57909.2068867 kst 75.5683637246 8.41485081195 25.47 ab
57909.4568867 kst 63.9990077439 9.02503956357 25.47 ab
57909.7068867 kst 82.9620388981 9.62136696595 25.47 ab
57909.9568867 kst 99.1090514792 10.2063803452 25.47 ab
57910.2068867 kst 129.091701897 10.7831546998 25.47 ab
57910.4568867 kst 122.250285242 11.3526996039 25.47 ab
57910.7068867 kst 148.021486666 11.9158171447 25.47 ab
57910.9568867 kst 158.479718436 12.4729773854 25.47 ab
57911.2068867 kst 162.032841981 13.024948619 25.47 ab
57911.4568867 kst 182.693743109 13.5730764698 25.47 ab
57911.7068867 kst 182.863722214 14.1185051808 25.47 ab
57911.9568867 kst 220.108620253 14.6617347282 25.47 ab
57912.2068867 kst 240.809865099 15.2019788633 25.47 ab
57912.4568867 kst 247.893246625 15.7405691887 25.47 ab
57912.7068867 kst 261.502116822 16.2788833829 25.47 ab
57912.9568867 kst 287.558278248 16.8179308532 25.47 ab
57913.2068867 kst 296.179012905 17.3565632412 25.47 ab
57913.4568867 kst 315.721198671 17.8951474711 25.47 ab
57913.7068867 kst 378.210448641 18.4345766708 25.47 ab
57913.9568867 kst 375.782255134 18.975780605 25.47 ab
57914.2068867 kst 356.402199258 19.5277228283 25.47 ab
57914.4568867 kst 421.566938489 20.0843113735 25.47 ab
57914.7068867 kst 422.134708652 20.6311833555 25.47 ab
57914.9568867 kst 464.456278185 21.1554511268 25.47 ab
57915.2068867 kst 454.483488366 21.6573386525 25.47 ab
57915.4568867 kst 507.966199963 22.1470167632 25.47 ab
57915.7068867 kst 488.86030878 22.6187883991 25.47 ab
57915.9568867 kst 545.829036408 23.0672066558 25.47 ab
57916.2068867 kst 556.514714685 23.4895920209 25.47 ab
57916.4568867 kst 589.240528648 23.8917095324 25.47 ab
57916.7068867 kst 588.113194543 24.2743146574 25.47 ab
57916.9568867 kst 653.29784298 24.6374990744 25.47 ab
57917.2068867 kst 704.002217412 24.9815441388 25.47 ab
57917.4568867 kst 638.685428478 25.3083641264 25.47 ab
