@c 0.601833491364
@x1 -1.33107565492
@x0 0.000568858435216
@z 0.0800895431498
@t0 58065.7205093
time band flux fluxerr zp zpsys
58048.7205093 kst 0.563524605132 0.6870094167 25.47 ab
58048.9705093 kst 2.33067935977 2.28518680557 25.47 ab
58049.2205093 kst 7.73238195835 3.30832284496 25.47 ab
58049.4705093 kst 21.6692022635 4.18134992562 25.47 ab
58049.7205093 kst 24.6065282652 4.98211202408 25.47 ab
58049.9705093 kst 26.4180434895 5.75278283386 25.47 ab
58050.2205093 kst 45.1034937028 6.49389251587 25.47 ab
58050.4705093 kst 52.7307762112 7.20482340024 25.47 ab
58050.7205093 kst 60.757999193 7.88726525248 25.47 ab
58050.9705093 kst 86.5006653545 8.55542772881 25.47 ab
58051.2205093 kst 83.8062610669 9.21034231078 25.47 ab
58051.4705093 kst 104.484359417 9.85065844794 25.47 ab
58051.7205093 kst 112.545586741 10.4753972444 25.47 ab
58051.9705093 kst 126.08675043 11.0885811012 25.47 ab
58052.2205093 kst 126.98563969 11.692956397 25.47 ab
58052.4705093 kst 148.668391184 12.2887885998 25.47 ab
58052.7205093 kst 179.123067574 12.8762766794 25.47 ab
58052.9705093 kst 193.665875335 13.4557930456 25.47 ab
58053.2205093 kst 192.928005331 14.0287820848 25.47 ab
58053.4705093 kst 185.230990198 14.5968065432 25.47 ab
58053.7205093 kst 232.827337661 15.1611886244 25.47 ab
58053.9705093 kst 240.039599906 15.7226592837 25.47 ab
58054.2205093 kst 277.192039345 16.2803618603 25.47 ab
58054.4705093 kst 279.787537433 16.8356048555 25.47 ab
58054.7205093 kst 295.046811474 17.3898463479 25.47 ab
58054.9705093 kst 331.126671298 17.9443000471 25.47 ab
58055.2205093 kst 351.803849766 18.4980621128 25.47 ab
58055.4705093 kst 351.05343691 19.0511841062 25.47 ab
58055.7205093 kst 400.542362707 19.6045815845 25.47 ab
58055.9705093 kst 360.735499398 20.1590695436 25.47 ab
58056.2205093 kst 440.055526917 20.7215398061 25.47 ab
58056.4705093 kst 464.460008381 21.292315736 25.47 ab
58056.7205093 kst 468.919396413 21.8566425382 25.47 ab
58056.9705093 kst 484.964618119 22.4011125051 25.47 ab
58057.2205093 kst 538.986150349 22.9184791811 25.47 ab
58057.4705093 kst 591.661431715 23.422495591 25.47 ab
58057.7205093 kst 585.44773086 23.9097975523 25.47 ab
58057.9705093 kst 540.174159574 24.3746607154 25.47 ab
58058.2205093 kst 578.958519414 24.8120718109 25.47 ab
58058.4705093 kst 630.631019191 25.2260252085 25.47 ab
58058.7205093 kst 646.676184365 25.6193609987 25.47 ab
58058.9705093 kst 693.713340717 25.99209925 25.47 ab
58059.2205093 kst 705.706651728 26.3442105507 25.47 ab
58059.4705093 kst 766.525804741 26.6769251208 25.47 ab
58059.7205093 kst 733.982134058 26.9915448039 25.47 ab
58059.9705093 kst 756.89571653 27.2874002787 25.47 ab
58060.2205093 kst 827.420740117 27.5638040942 25.47 ab
58060.4705093 kst 756.743031254 27.8201345334 25.47 ab
58060.7205093 kst 768.899325619 28.0571028703 25.47 ab
58060.9705093 kst 787.293188922 28.2764849691 25.47 ab
58061.2205093 kst 831.241786682 28.4800013849 25.47 ab
58061.4705093 kst 798.825618238 28.6690283255 25.47 ab
58061.7205093 kst 892.937723734 28.8410429876 25.47 ab
58061.9705093 kst 797.162439283 28.9979209189 25.47 ab
58062.2205093 kst 796.257285682 29.1433726252 25.47 ab
58062.4705093 kst 863.16472913 29.2810181432 25.47 ab
58062.7205093 kst 858.459268602 29.4119679304 25.47 ab
58062.9705093 kst 814.83072125 29.5342762853 25.47 ab
58063.2205093 kst 869.654917805 29.6473589254 25.47 ab
58063.4705093 kst 850.562583682 29.7506351354 25.47 ab
58063.7205093 kst 884.652443706 29.8438933209 25.47 ab
58063.9705093 kst 830.358335718 29.9279193725 25.47 ab
58064.2205093 kst 924.285360666 30.0023574816 25.47 ab
58064.4705093 kst 898.598199661 30.0667336874 25.47 ab
