@c -0.109600426278
@x1 -4.83410133458
@x0 0.00510772186769
@z 0.0277555555658
@t0 58060.8335656
time band flux fluxerr zp zpsys
58051.8335656 smg 1618.73593846 48.225561106 26.538407811 ab
58056.8335656 smg 4123.8735553 69.2021997807 25.6214773066 ab
58061.8335656 smg 38210.1711468 197.736195205 27.7724528439 ab
58066.8335656 smg 4445.52887875 72.4980735526 25.7812426888 ab
58071.8335656 smg 11508.2269184 109.73909613 27.4416269308 ab
58076.8335656 smg 6377.13792674 84.7161832941 27.637410001 ab
58051.8337045 smr 950.401280075 39.7803723869 25.3404173758 ab
58056.8337045 smr 3481.60632595 64.2417680581 25.5051061594 ab
58061.8337045 smr 4930.28369443 74.5209917678 25.6835234639 ab
58066.8337045 smr 1982.66176481 50.8172612221 24.8829109317 ab
58071.8337045 smr 2115.91119266 52.7082497472 25.5285009231 ab
58076.8337045 smr 1374.24392176 44.8946238993 25.0768344574 ab
58051.8338434 smi 2865.48743781 60.0376127422 26.7611213641 ab
58056.8338434 smi 17812.3408601 135.760591725 27.6403568052 ab
58061.8338434 smi 7553.69162679 91.0871689541 26.6567407218 ab
58066.8338434 smi 5716.405573 80.5472417501 26.6349881977 ab
58071.8338434 smi 2264.93957818 55.3033800946 26.187656122 ab
58076.8338434 smi 4235.85100599 69.2709644473 26.5332538252 ab
