@c -0.460635904806
@x1 2.05884154763
@x0 0.000672225279294
@z 0.0739941595407
@t0 57774.7349729
time band flux fluxerr zp zpsys
57758.7349729 kst 63.7361585452 8.04067800027 25.47 ab
57758.9849729 kst 60.1492059467 8.47758909691 25.47 ab
57759.2349729 kst 79.1435671143 8.91383700354 25.47 ab
57759.4849729 kst 95.3446460521 9.34608281387 25.47 ab
57759.7349729 kst 105.752272097 9.77173885536 25.47 ab
57759.9849729 kst 112.717646968 10.1969834082 25.47 ab
57760.2349729 kst 128.912263258 10.6204260716 25.47 ab
57760.4849729 kst 121.732041607 11.035234018 25.47 ab
57760.7349729 kst 132.465762219 11.4355525408 25.47 ab
57760.9849729 kst 154.358090585 11.823065932 25.47 ab
57761.2349729 kst 152.357968034 12.2041089225 25.47 ab
57761.4849729 kst 164.223625559 12.5732468769 25.47 ab
57761.7349729 kst 188.606787101 12.925440285 25.47 ab
57761.9849729 kst 162.614688708 13.2573439942 25.47 ab
57762.2349729 kst 193.110895894 13.5733042624 25.47 ab
57762.4849729 kst 193.103732997 13.8761551166 25.47 ab
57762.7349729 kst 202.928531495 14.167921766 25.47 ab
57762.9849729 kst 194.289497813 14.4503439932 25.47 ab
57763.2349729 kst 205.700785263 14.7230805887 25.47 ab
57763.4849729 kst 242.186467661 14.9867070394 25.47 ab
57763.7349729 kst 224.93609944 15.2424570508 25.47 ab
57763.9849729 kst 232.044293714 15.4914694925 25.47 ab
57764.2349729 kst 227.294307594 15.7340151521 25.47 ab
57764.4849729 kst 282.843462558 15.9699798713 25.47 ab
57764.7349729 kst 279.543151788 16.2000130508 25.47 ab
57764.9849729 kst 261.510874754 16.4247220201 25.47 ab
57765.2349729 kst 270.535671639 16.6452136535 25.47 ab
57765.4849729 kst 282.772716186 16.8624459974 25.47 ab
57765.7349729 kst 282.314272046 17.0742943364 25.47 ab
57765.9849729 kst 284.7761258 17.2785494965 25.47 ab
57766.2349729 kst 305.46876154 17.4734747532 25.47 ab
57766.4849729 kst 336.761461507 17.661359311 25.47 ab
57766.7349729 kst 347.423902255 17.8420506823 25.47 ab
57766.9849729 kst 352.107663375 18.0143736888 25.47 ab
57767.2349729 kst 327.575712304 18.1771941602 25.47 ab
57767.4849729 kst 334.267251907 18.3310882507 25.47 ab
57767.7349729 kst 349.09746271 18.4768123294 25.47 ab
57767.9849729 kst 337.048976384 18.6140705447 25.47 ab
57768.2349729 kst 344.208242742 18.7425645019 25.47 ab
57768.4849729 kst 342.392350185 18.8624777514 25.47 ab
57768.7349729 kst 316.83304989 18.9744708692 25.47 ab
57768.9849729 kst 371.995699823 19.0780508314 25.47 ab
57769.2349729 kst 358.736714249 19.1726830755 25.47 ab
57769.4849729 kst 380.352362759 19.2577762684 25.47 ab
57769.7349729 kst 372.327960369 19.3331165337 25.47 ab
57769.9849729 kst 412.981361628 19.3998734044 25.47 ab
57770.2349729 kst 408.070884387 19.459336127 25.47 ab
57770.4849729 kst 368.965520538 19.5126740298 25.47 ab
57770.7349729 kst 411.082749992 19.5578613354 25.47 ab
57770.9849729 kst 404.474818611 19.5956966587 25.47 ab
57771.2349729 kst 398.372771392 19.6289988041 25.47 ab
57771.4849729 kst 386.508201784 19.660562638 25.47 ab
57771.7349729 kst 408.020258605 19.6913538882 25.47 ab
57771.9849729 kst 384.233487996 19.7196499694 25.47 ab
57772.2349729 kst 394.505163936 19.7452717839 25.47 ab
57772.4849729 kst 410.94278689 19.7680627256 25.47 ab
57772.7349729 kst 372.501001271 19.7879457501 25.47 ab
57772.9849729 kst 381.028197631 19.805108503 25.47 ab
57773.2349729 kst 421.29302909 19.8194460606 25.47 ab
57773.4849729 kst 403.9452019 19.8308151625 25.47 ab
57773.7349729 kst 369.711915605 19.8390725918 25.47 ab
57773.9849729 kst 399.690720413 19.8441741527 25.47 ab
57774.2349729 kst 384.069220886 19.8462570488 25.47 ab
57774.4849729 kst 381.349352796 19.8454763815 25.47 ab
57774.7349729 kst 410.689261753 19.8419859908 25.47 ab
57774.9849729 kst 364.479870658 19.8356939718 25.47 ab
57775.2349729 kst 432.158789568 19.8265360988 25.47 ab
57775.4849729 kst 377.909038245 19.8147062514 25.47 ab
57775.7349729 kst 396.334737183 19.8003976366 25.47 ab
57775.9849729 kst 380.963876049 19.7836810336 25.47 ab
57776.2349729 kst 383.91898757 19.7643691754 25.47 ab
57776.4849729 kst 417.872969793 19.7425693698 25.47 ab
57776.7349729 kst 376.211329296 19.7184091445 25.47 ab
57776.9849729 kst 371.646050298 19.6919838266 25.47 ab
57777.2349729 kst 369.495334224 19.66313403 25.47 ab
57777.4849729 kst 434.183000699 19.6319138807 25.47 ab
57777.7349729 kst 337.314099184 19.598444272 25.47 ab
57777.9849729 kst 419.573442615 19.5628480512 25.47 ab
57778.2349729 kst 389.349186091 19.5253293062 25.47 ab
57778.4849729 kst 390.65250196 19.4857021311 25.47 ab
57778.7349729 kst 400.582572004 19.4435913728 25.47 ab
57778.9849729 kst 352.90201503 19.3986177559 25.47 ab
57779.2349729 kst 379.52813568 19.3505766257 25.47 ab
57779.4849729 kst 354.591883655 19.299670575 25.47 ab
57779.7349729 kst 359.255753872 19.2459544731 25.47 ab
57779.9849729 kst 364.557663273 19.1894758406 25.47 ab
57780.2349729 kst 370.225006763 19.130234904 25.47 ab
57780.4849729 kst 312.298162397 19.0680612927 25.47 ab
57780.7349729 kst 382.118125666 19.0030661563 25.47 ab
57780.9849729 kst 360.29053445 18.9354053212 25.47 ab
57781.2349729 kst 336.032524836 18.8652247093 25.47 ab
57781.4849729 kst 372.306365672 18.7923695412 25.47 ab
