@c -0.237937743742
@x1 -5.35567575864
@x0 0.000694819224292
@z 0.072840849262
@t0 58049.1523581
time band flux fluxerr zp zpsys
58038.1523581 smg -468.606287114 35.5310887814 27.8007403392 ab
58043.1523581 smg 2267.3607657 55.0019801495 27.4385814518 ab
58048.1523581 smg 2196.68634214 53.5962455776 26.7705284403 ab
58053.1523581 smg 4204.2236312 70.7088046536 27.6733369538 ab
58058.1523581 smg 1060.08811111 42.4652441366 26.8465576009 ab
58063.1523581 smg 287.882410669 31.8536391109 26.5218647221 ab
58068.1523581 smg 145.103752724 28.9074793089 27.1178317946 ab
58073.1523581 smg -1.82583459804 26.5713270763 26.1641780925 ab
58078.1523581 smg -80.6267069069 28.811173261 27.7834036926 ab
58083.1523581 smg -7.65443208712 26.0793576381 25.9868691251 ab
58088.1523581 smg 7.83494236252 28.4245501368 27.147783894 ab
58038.152497 smr 48.2403108695 25.3074689157 25.1573238967 ab
58043.152497 smr 202.799615158 29.6530499667 25.247913383 ab
58048.152497 smr 386.579032027 32.3728052171 25.2821438291 ab
58053.152497 smr 501.999957684 34.468940644 25.565667298 ab
58058.152497 smr 360.84792477 31.1077245266 25.4192719364 ab
58063.152497 smr 216.697611455 29.6587451067 25.3827216539 ab
58068.152497 smr 250.200390508 30.5376779027 25.7119690924 ab
58073.152497 smr 88.869696329 26.1241151006 24.7132776357 ab
58078.152497 smr 18.3346943552 25.3199478234 24.8362519541 ab
58083.152497 smr -23.5826732057 25.2231206874 25.1433686369 ab
58088.152497 smr 6.00450906498 24.7530982178 24.6734636 ab
58038.1526358 smi 187.761968705 29.1878766692 26.7862623614 ab
58043.1526358 smi 539.5362472 34.984586294 26.1571074725 ab
58048.1526358 smi 1981.46332309 51.9997981017 27.2806771079 ab
58053.1526358 smi 1173.27753775 43.9329213769 26.9318877408 ab
58058.1526358 smi 281.308132756 31.5940583246 26.0519055393 ab
58063.1526358 smi 311.181787148 31.8145291432 26.144693162 ab
58068.1526358 smi 528.740695441 34.8664901385 26.3875558033 ab
58073.1526358 smi 331.67456664 31.6454855798 25.8831916231 ab
58078.1526358 smi 193.653113131 28.8535186613 25.8391012572 ab
58083.1526358 smi 103.956724197 27.1622752462 26.2147791206 ab
58088.1526358 smi 24.0567920398 27.1182142407 26.9415041822 ab
