@c 0.100902812186
@x1 3.06567645494
@x0 0.0141773361871
@z 0.0167949104376
@t0 58047.9748657
time band flux fluxerr zp zpsys
58035.9748657 smg 36834.707426 193.5955736 27.23393681 ab
58040.9748657 smg 21352.6007917 148.382154431 26.052738178 ab
58045.9748657 smg 40710.9631546 203.732655135 26.6469128278 ab
58050.9748657 smg 82452.3311867 288.374741744 27.4437095492 ab
58055.9748657 smg 118199.575229 344.988501327 27.9563076142 ab
58060.9748657 smg 15518.0356154 126.486600828 25.9922235738 ab
58035.9750046 smr 4896.25757038 74.8891865155 25.1556119662 ab
58040.9750046 smr 10542.5708455 105.871805002 25.4290942338 ab
58045.9750046 smr 5595.43874941 78.6390291652 24.5835663659 ab
58050.9750046 smr 9579.65989595 101.271199441 25.1222134574 ab
58055.9750046 smr 7718.76942078 91.7956190629 25.0087370851 ab
58060.9750046 smr 8875.77930132 97.8037014905 25.484503841 ab
58035.9751435 smi 6457.27237128 84.1142653055 25.6949067575 ab
58040.9751435 smi 14408.2259902 121.613567311 26.0988529726 ab
58045.9751435 smi 19984.4824737 144.499487863 26.4908431199 ab
58050.9751435 smi 47391.1504994 218.571091817 27.6266084151 ab
58055.9751435 smi 5840.22775388 80.1826925496 25.4923057466 ab
58060.9751435 smi 5612.86836651 79.1030414226 25.8531069768 ab
