@c 0.256477025207
@x1 2.08471630509
@x0 0.000480647149581
@z 0.0867224320434
@t0 57764.3648184
time band flux fluxerr zp zpsys
57756.3648184 smg 3707.60270876 66.4361634652 27.8326335336 ab
57761.3648184 smg 1843.85440228 50.4990231805 26.8804626461 ab
57766.3648184 smg 2509.41561496 56.9298760749 27.2409230234 ab
57771.3648184 smg 1479.75894733 47.0541129001 26.8240265612 ab
57776.3648184 smg 4241.10101716 70.7835332838 28.1914015845 ab
57781.3648184 smg 1339.27183545 45.9491051239 27.3387867246 ab
57786.3648184 smg 756.874153236 38.848310451 27.1081913301 ab
57791.3648184 smg 574.620283932 36.0516822765 27.1606373966 ab
57796.3648184 smg 783.761842045 38.1207041713 27.6845649226 ab
57801.3648184 smg 189.146014509 30.1003525902 26.6708219541 ab
57756.3649573 smr 548.477269941 34.2804203367 25.5917219353 ab
57761.3649573 smr 587.030571298 36.0504381693 25.5783311272 ab
57766.3649573 smr 820.066767344 37.8460129488 25.7206673065 ab
57771.3649573 smr 637.776648409 34.9148652809 25.4678414276 ab
57776.3649573 smr 326.888539964 30.2039259776 24.937447045 ab
57781.3649573 smr 304.81524244 31.6184689015 25.4334856896 ab
57786.3649573 smr 283.234323179 30.4420399541 25.3262381254 ab
57791.3649573 smr 297.205966531 29.6300088693 25.2234749322 ab
57796.3649573 smr 185.301576792 29.411674839 25.2822491262 ab
57801.3649573 smr 261.651132666 29.9732621453 25.6207132686 ab
57756.3650962 smi 345.614178779 31.5999122299 25.3291618354 ab
57761.3650962 smi 1127.82353476 42.942602161 26.574195288 ab
57766.3650962 smi 720.327949425 37.2679117083 26.0698785401 ab
57771.3650962 smi 1222.83237893 44.5907065531 26.7765780392 ab
57776.3650962 smi 2343.1609903 56.229234029 27.7532882623 ab
57781.3650962 smi 644.647781353 37.0920985993 26.7221032102 ab
57786.3650962 smi 352.386326418 31.7724588922 25.9263923377 ab
57791.3650962 smi 296.444254913 30.3066995538 25.5039608649 ab
57796.3650962 smi 449.303546647 32.6065656099 25.8052870141 ab
57801.3650962 smi 903.60368575 40.3801797148 26.8653313237 ab
57747.3648184 kst 52.369940951 7.73321116304 25.47 ab
57747.6148184 kst 66.0387190145 8.24121925236 25.47 ab
57747.8648184 kst 89.7063817459 8.75036891653 25.47 ab
57748.1148184 kst 84.2448214554 9.25438283202 25.47 ab
57748.3648184 kst 84.9001985501 9.75847247849 25.47 ab
57748.6148184 kst 112.849741489 10.262921136 25.47 ab
57748.8648184 kst 130.570324168 10.7637462907 25.47 ab
57749.1148184 kst 145.968549921 11.2576717947 25.47 ab
57749.3648184 kst 136.921791978 11.7481198077 25.47 ab
57749.6148184 kst 152.694737637 12.2390805323 25.47 ab
57749.8648184 kst 173.471961598 12.7223155178 25.47 ab
57750.1148184 kst 151.50256371 13.1906138926 25.47 ab
57750.3648184 kst 170.419505858 13.6406718345 25.47 ab
57750.6148184 kst 217.463229654 14.0831692152 25.47 ab
57750.8648184 kst 224.497022604 14.5139324142 25.47 ab
57751.1148184 kst 226.513407991 14.9267429596 25.47 ab
57751.3648184 kst 243.880364022 15.3161149257 25.47 ab
57751.6148184 kst 235.210751826 15.6840966177 25.47 ab
57751.8648184 kst 265.446660717 16.0354758446 25.47 ab
57752.1148184 kst 289.789344144 16.3726939657 25.47 ab
57752.3648184 kst 293.451966465 16.6979546005 25.47 ab
57752.6148184 kst 279.178914435 17.0121605832 25.47 ab
57752.8648184 kst 309.698842239 17.3148580384 25.47 ab
57753.1148184 kst 274.195249941 17.6074456898 25.47 ab
57753.3648184 kst 320.321534436 17.8912631176 25.47 ab
57753.6148184 kst 303.165587705 18.1673477482 25.47 ab
57753.8648184 kst 348.573061586 18.4353431473 25.47 ab
57754.1148184 kst 354.422967622 18.6957567583 25.47 ab
57754.3648184 kst 379.534285192 18.9492908393 25.47 ab
57754.6148184 kst 380.026520296 19.1966246954 25.47 ab
57754.8648184 kst 389.23538532 19.4395525286 25.47 ab
57755.1148184 kst 406.450542656 19.6772645484 25.47 ab
57755.3648184 kst 382.725203509 19.9075248582 25.47 ab
57755.6148184 kst 396.028258145 20.1281930041 25.47 ab
57755.8648184 kst 395.902097206 20.3389506638 25.47 ab
57756.1148184 kst 432.26541458 20.542094566 25.47 ab
57756.3648184 kst 456.499696493 20.7365460281 25.47 ab
57756.6148184 kst 446.016824469 20.9211214266 25.47 ab
57756.8648184 kst 428.090984108 21.0949400106 25.47 ab
57757.1148184 kst 451.734232801 21.2593591134 25.47 ab
57757.3648184 kst 471.396508351 21.4144731963 25.47 ab
57757.6148184 kst 480.481922493 21.5599286433 25.47 ab
57757.8648184 kst 434.85262407 21.6953750597 25.47 ab
57758.1148184 kst 470.647636384 21.8215011065 25.47 ab
57758.3648184 kst 432.822181612 21.9385318682 25.47 ab
57758.6148184 kst 503.08673802 22.0458509342 25.47 ab
57758.8648184 kst 473.272106251 22.1428415889 25.47 ab
57759.1148184 kst 468.986493311 22.2287208892 25.47 ab
