@c -0.042973949351
@x1 -4.48686686785
@x0 0.00629211017168
@z 0.0250568991156
@t0 57947.542822
time band flux fluxerr zp zpsys
57939.542822 smg 7231.64768586 89.3581080111 27.0501381925 ab
57944.542822 smg 27872.8384371 169.562016967 27.3207601224 ab
57949.542822 smg 12990.8238713 117.183035936 26.3813208025 ab
57954.542822 smg 11220.3163227 109.203633247 26.5917457317 ab
57959.542822 smg 2876.80871194 59.7562199618 25.7986125976 ab
57964.542822 smg 1468.44729275 46.825911753 25.8832487722 ab
57969.542822 smg 2426.45691606 55.8673641772 27.0718521436 ab
57974.542822 smg 1566.29419542 48.1972127701 27.6362351299 ab
57979.542822 smg 630.815659247 36.8298760236 27.056275664 ab
57984.542822 smg 631.078081882 36.5063382528 26.5987461956 ab
57989.542822 smg 1400.67756016 46.6059754843 27.3080700019 ab
57939.5429608 smr 1286.37303267 43.4539214368 24.8472987929 ab
57944.5429608 smr 2226.50875858 53.115319273 24.6165508295 ab
57949.5429608 smr 3413.9122813 62.660502977 24.9517089328 ab
57954.5429608 smr 3787.22090872 66.7163313792 25.3820409131 ab
57959.5429608 smr 1723.88840201 49.4219026647 25.0646825944 ab
57964.5429608 smr 1644.42158939 47.5534400274 24.9609854529 ab
57969.5429608 smr 2078.30099122 52.6662641406 25.4349542614 ab
57974.5429608 smr 1382.01660782 44.9183637344 25.6740745321 ab
57979.5429608 smr 315.083834793 31.3984129411 25.5593730045 ab
57984.5429608 smr 45.1854108151 26.6047607836 25.1514800752 ab
57989.5429608 smr 158.069060686 27.3594979052 24.6402980113 ab
57939.5430997 smi 4825.11869984 74.1424754339 26.4962398795 ab
57944.5430997 smi 5640.86749272 79.3685501017 26.0522462258 ab
57949.5430997 smi 12933.3290877 116.747339264 26.9364271738 ab
57954.5430997 smi 10270.8191258 105.515376002 27.0538047318 ab
57959.5430997 smi 6465.6101018 83.718374303 26.8953046803 ab
57964.5430997 smi 3950.07157077 67.5000630663 26.1131025153 ab
57969.5430997 smi 9812.79427972 102.049860441 26.9576390718 ab
57974.5430997 smi 1488.83805409 45.9545722946 25.3837650122 ab
57979.5430997 smi 873.162044617 38.7544220024 25.8030962136 ab
57984.5430997 smi 998.280516804 42.0693561368 27.1611314415 ab
57989.5430997 smi 189.471928106 29.4050999961 25.3493706524 ab
57931.542822 kst -468.831314302 21.7889373527 25.47 ab
57931.792822 kst -465.353249703 22.1415797791 25.47 ab
57932.042822 kst -497.597249118 22.3765066953 25.47 ab
57932.292822 kst -538.677871716 22.5067612356 25.47 ab
57932.542822 kst -558.900641069 22.5167470135 25.47 ab
57932.792822 kst -497.376584379 22.419185574 25.47 ab
57933.042822 kst -506.98253448 22.2310607143 25.47 ab
57933.292822 kst -463.73091593 21.9689605591 25.47 ab
57933.542822 kst -467.98942166 21.6370920414 25.47 ab
57933.792822 kst -459.059110353 21.2090449904 25.47 ab
57934.042822 kst -436.920573595 20.651606213 25.47 ab
57934.292822 kst -426.578456641 19.93019283 25.47 ab
57934.542822 kst -387.558880123 19.0645942337 25.47 ab
57934.792822 kst -327.646939832 18.0125431762 25.47 ab
57935.042822 kst -298.619330661 16.6857943679 25.47 ab
57935.292822 kst -226.276037118 14.9540295533 25.47 ab
57935.542822 kst -156.680529665 12.6612947427 25.47 ab
57935.792822 kst -90.6933261411 9.44315150277 25.47 ab
57936.042822 kst -17.5098656417 3.22229299355 25.47 ab
57936.292822 kst 77.3355715188 8.71293583808 25.47 ab
57936.542822 kst 160.276553565 13.0218944442 25.47 ab
57936.792822 kst 253.115624494 16.4541096249 25.47 ab
57937.042822 kst 388.339561685 19.4838396545 25.47 ab
57937.292822 kst 487.014420523 22.2804258615 25.47 ab
57937.542822 kst 663.203911232 24.9203845994 25.47 ab
57937.792822 kst 793.73103331 27.4477854643 25.47 ab
57938.042822 kst 881.910083306 29.8954993475 25.47 ab
57938.292822 kst 1029.22978943 32.2856448185 25.47 ab
57938.542822 kst 1172.7791885 34.6689119971 25.47 ab
57938.792822 kst 1425.07640146 37.0465649004 25.47 ab
57939.042822 kst 1505.08600149 39.3438898292 25.47 ab
57939.292822 kst 1738.64980027 41.5019416687 25.47 ab
57939.542822 kst 1899.09694528 43.5211179287 25.47 ab
57939.792822 kst 2069.50770546 45.4669201638 25.47 ab
57940.042822 kst 2264.60425105 47.3186081932 25.47 ab
57940.292822 kst 2411.9012233 49.0556622019 25.47 ab
57940.542822 kst 2487.06585272 50.6723122455 25.47 ab
57940.792822 kst 2716.19835129 52.1986858955 25.47 ab
57941.042822 kst 2912.93441701 53.6417686866 25.47 ab
57941.292822 kst 3022.38969557 55.0056849903 25.47 ab
57941.542822 kst 3177.22740397 56.2953072871 25.47 ab
57941.792822 kst 3341.32646887 57.5186551808 25.47 ab
57942.042822 kst 3363.69219832 58.6768093092 25.47 ab
57942.292822 kst 3481.22882786 59.7698948642 25.47 ab
57942.542822 kst 3703.01793048 60.7988896099 25.47 ab
57942.792822 kst 3761.8292048 61.7701525727 25.47 ab
57943.042822 kst 3917.65457561 62.6849254611 25.47 ab
57943.292822 kst 4093.68658042 63.5432540541 25.47 ab
57943.542822 kst 4214.3782919 64.3454346541 25.47 ab
57943.792822 kst 4323.01563101 65.0952465683 25.47 ab
57944.042822 kst 4286.76659134 65.7941377052 25.47 ab
57944.292822 kst 4480.55374849 66.4425761256 25.47 ab
57944.542822 kst 4565.33042553 67.0411977646 25.47 ab
57944.792822 kst 4413.1150461 67.5941042336 25.47 ab
57945.042822 kst 4691.36296997 68.1003538074 25.47 ab
57945.292822 kst 4606.36382627 68.5571242612 25.47 ab
57945.542822 kst 4736.04795548 68.9617474861 25.47 ab
57945.792822 kst 4793.0768232 69.3175325121 25.47 ab
57946.042822 kst 4817.0850314 69.6252671144 25.47 ab
57946.292822 kst 4804.02080565 69.8828842824 25.47 ab
57946.542822 kst 4897.91747681 70.0881934059 25.47 ab
57946.792822 kst 4920.48265585 70.2357720571 25.47 ab
57947.042822 kst 4901.05923265 70.3304506478 25.47 ab
57947.292822 kst 4935.22650354 70.3826021079 25.47 ab
57947.542822 kst 5120.01684024 70.4024775049 25.47 ab
57947.792822 kst 4917.45677493 70.3873468373 25.47 ab
