@c 0.244031846491
@x1 -1.72460800474
@x0 0.000404218017154
@z 0.0940790127272
@t0 57870.4241361
time band flux fluxerr zp zpsys
57855.4241361 smg 3.66072244112 27.1863591052 26.5145198678 ab
57860.4241361 smg 540.037088003 35.2235124197 26.8475149765 ab
57865.4241361 smg 581.059340862 34.5338391236 25.9215636631 ab
57870.4241361 smg 4544.01973296 72.6005024231 28.0525298826 ab
57875.4241361 smg 974.968234883 41.3851046797 26.6077451276 ab
57880.4241361 smg 1759.18678807 50.2143655228 27.6238804234 ab
57885.4241361 smg 250.988186024 29.7953674755 25.8894593549 ab
57855.4242749 smr 14.7390648333 25.1329602367 24.7964172268 ab
57860.4242749 smr 77.9455376809 26.4350670818 24.6742993292 ab
57865.4242749 smr 298.818429011 30.1680456275 25.0672995226 ab
57870.4242749 smr 515.505119333 34.0907835488 25.4738265746 ab
57875.4242749 smr 220.693051192 29.0054592721 24.6644376454 ab
57880.4242749 smr 311.214520327 30.8548109137 25.2821054297 ab
57885.4242749 smr 254.885534615 29.9237756204 25.3241956925 ab
57855.4244138 smi 258.50655008 31.2042681239 27.4604415102 ab
57860.4244138 smi 426.537546383 34.0119760839 26.2882896505 ab
57865.4244138 smi 3016.69625664 61.2821724973 27.6209135286 ab
57870.4244138 smi 2969.67036353 61.3980793136 27.5838395298 ab
57875.4244138 smi 1322.10626079 45.1387954766 26.8127802372 ab
57880.4244138 smi 2847.28377344 59.7855556827 28.0291683652 ab
57885.4244138 smi 417.840738568 33.402359488 26.1250821975 ab
57853.4241361 kst -5.02464425505 1.95171496759 25.47 ab
57853.6741361 kst -2.13446525287 1.29124894539 25.47 ab
57853.9241361 kst 0.351787814487 0.940759896037 25.47 ab
57854.1741361 kst 4.06095831148 1.94400740078 25.47 ab
57854.4241361 kst 6.85072123006 2.66663004399 25.47 ab
57854.6741361 kst 11.9506576509 3.29065571023 25.47 ab
57854.9241361 kst 14.9044851667 3.85584495311 25.47 ab
57855.1741361 kst 18.1347849701 4.37818294056 25.47 ab
57855.4241361 kst 21.9115266437 4.87480620642 25.47 ab
57855.6741361 kst 31.5975613911 5.35406135516 25.47 ab
57855.9241361 kst 34.8110184903 5.81895201111 25.47 ab
57856.1741361 kst 37.1225573154 6.27147736989 25.47 ab
57856.4241361 kst 37.4977593986 6.71332462561 25.47 ab
57856.6741361 kst 42.1304737432 7.14705713248 25.47 ab
57856.9241361 kst 72.2459698633 7.57498442819 25.47 ab
57857.1741361 kst 72.2418339943 7.99890495974 25.47 ab
57857.4241361 kst 74.1796885813 8.4199963193 25.47 ab
57857.6741361 kst 67.9610424474 8.83795380897 25.47 ab
57857.9241361 kst 89.7122842307 9.25339955408 25.47 ab
57858.1741361 kst 99.3887705925 9.66702534563 25.47 ab
57858.4241361 kst 93.4667091911 10.0793898719 25.47 ab
57858.6741361 kst 115.65084416 10.4899871442 25.47 ab
57858.9241361 kst 117.786529379 10.8991871702 25.47 ab
57859.1741361 kst 133.777997576 11.3079915811 25.47 ab
57859.4241361 kst 130.61707022 11.7172620321 25.47 ab
57859.6741361 kst 149.312841536 12.1271065669 25.47 ab
57859.9241361 kst 158.140411037 12.5367429538 25.47 ab
57860.1741361 kst 175.373110689 12.9467804337 25.47 ab
57860.4241361 kst 174.374342951 13.3578082631 25.47 ab
57860.6741361 kst 182.999512211 13.7713963265 25.47 ab
57860.9241361 kst 219.730351931 14.1942592284 25.47 ab
57861.1741361 kst 205.450367145 14.6181496073 25.47 ab
57861.4241361 kst 244.449435294 15.0326426718 25.47 ab
57861.6741361 kst 255.702523349 15.4284236656 25.47 ab
57861.9241361 kst 237.434820969 15.8090117765 25.47 ab
57862.1741361 kst 257.245337833 16.1801670771 25.47 ab
57862.4241361 kst 281.181047941 16.5376272036 25.47 ab
57862.6741361 kst 259.02726461 16.8774634005 25.47 ab
57862.9241361 kst 257.232470202 17.1977421084 25.47 ab
57863.1741361 kst 324.444987043 17.5029013789 25.47 ab
57863.4241361 kst 330.776942185 17.793611145 25.47 ab
57863.6741361 kst 326.01572897 18.0700015878 25.47 ab
57863.9241361 kst 330.26408756 18.3322293671 25.47 ab
57864.1741361 kst 305.95201637 18.5816602264 25.47 ab
57864.4241361 kst 328.283738681 18.818539312 25.47 ab
57864.6741361 kst 372.812944418 19.0425048868 25.47 ab
57864.9241361 kst 368.436186783 19.2531865398 25.47 ab
57865.1741361 kst 371.416222629 19.4505782532 25.47 ab
57865.4241361 kst 356.486288655 19.6355590973 25.47 ab
57865.6741361 kst 367.280777447 19.8088677575 25.47 ab
57865.9241361 kst 376.220246374 19.9711920788 25.47 ab
57866.1741361 kst 408.479527291 20.1228663187 25.47 ab
57866.4241361 kst 385.652227315 20.2630726504 25.47 ab
57866.6741361 kst 437.694714027 20.3931089341 25.47 ab
57866.9241361 kst 440.738143517 20.5145591236 25.47 ab
